 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.41957300e+03 -2.88325065e-01  1.00000000e+00 -7.30336076e-21 -2.41957300e+03  2.88325065e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.41957299e+03 -2.94568823e-01  1.00000000e+00 -7.18059566e-21 -2.41957299e+03  2.94568823e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.41957299e+03 -3.00921042e-01  1.00000000e+00 -7.05926663e-21 -2.41957299e+03  3.00921042e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.41957299e+03 -3.07384059e-01  1.00000000e+00 -6.93939657e-21 -2.41957299e+03  3.07384059e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.41957299e+03 -3.13960254e-01  1.00000000e+00 -6.82100512e-21 -2.41957299e+03  3.13960254e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.41957299e+03 -3.20652050e-01  1.00000000e+00 -6.70410891e-21 -2.41957299e+03  3.20652050e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.41957299e+03 -3.27461909e-01  1.00000000e+00 -6.58872175e-21 -2.41957299e+03  3.27461909e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.41957298e+03 -3.34392339e-01  1.00000000e+00 -6.47485481e-21 -2.41957298e+03  3.34392339e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.41957298e+03 -3.41445891e-01  1.00000000e+00 -6.36251684e-21 -2.41957298e+03  3.41445891e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.41957298e+03 -3.48625164e-01  1.00000000e+00 -6.25171431e-21 -2.41957298e+03  3.48625164e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.41957298e+03 -3.55932800e-01  1.00000000e+00 -6.14245157e-21 -2.41957298e+03  3.55932800e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
