 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.60566895e+03 -3.08124082e-01  1.00000000e+00 -7.80487568e-21  2.60566895e+03 -3.08124082e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.60566895e+03 -3.14771220e-01  1.00000000e+00 -7.67306187e-21  2.60566895e+03 -3.14771220e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.60566895e+03 -3.21534255e-01  1.00000000e+00 -7.54282910e-21  2.60566895e+03 -3.21534255e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.60566895e+03 -3.28415679e-01  1.00000000e+00 -7.41419902e-21  2.60566895e+03 -3.28415679e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.60566895e+03 -3.35418025e-01  1.00000000e+00 -7.28718997e-21  2.60566895e+03 -3.35418025e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.60566894e+03 -3.42543872e-01  1.00000000e+00 -7.16181722e-21  2.60566894e+03 -3.42543872e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.60566894e+03 -3.49795843e-01  1.00000000e+00 -7.03809317e-21  2.60566894e+03 -3.49795843e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.60566894e+03 -3.57176608e-01  1.00000000e+00 -6.91602753e-21  2.60566894e+03 -3.57176608e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.60566894e+03 -3.64688886e-01  1.00000000e+00 -6.79562757e-21  2.60566894e+03 -3.64688886e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.60566894e+03 -3.72335441e-01  1.00000000e+00 -6.67689822e-21  2.60566894e+03 -3.72335441e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.60566893e+03 -3.80119089e-01  1.00000000e+00 -6.55984227e-21  2.60566893e+03 -3.80119089e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.60566893e+03 -3.88042697e-01  1.00000000e+00 -6.44446055e-21  2.60566893e+03 -3.88042697e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.60566893e+03 -3.96109182e-01  1.00000000e+00 -6.33075202e-21  2.60566893e+03 -3.96109182e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.60566893e+03 -4.04321513e-01  1.00000000e+00 -6.21871396e-21  2.60566893e+03 -4.04321513e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.60566892e+03 -4.12682715e-01  1.00000000e+00 -6.10834206e-21  2.60566892e+03 -4.12682715e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.60566892e+03 -4.21195866e-01  1.00000000e+00 -5.99963056e-21  2.60566892e+03 -4.21195866e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.60566892e+03 -4.29864101e-01  1.00000000e+00 -5.89257237e-21  2.60566892e+03 -4.29864101e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  2.60566891e+03 -4.38690611e-01  1.00000000e+00 -5.78715916e-21  2.60566891e+03 -4.38690611e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  2.60566891e+03 -4.47678647e-01  1.00000000e+00 -5.68338146e-21  2.60566891e+03 -4.47678647e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  2.60566891e+03 -4.56831517e-01  1.00000000e+00 -5.58122876e-21  2.60566891e+03 -4.56831517e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  2.60566891e+03 -4.66152592e-01  1.00000000e+00 -5.48068962e-21  2.60566891e+03 -4.66152592e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  2.60566890e+03 -4.75645304e-01  1.00000000e+00 -5.38175172e-21  2.60566890e+03 -4.75645304e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.52522296e+00  2.60566890e+03 -4.85313147e-01  1.00000000e+00 -5.28440192e-21  2.60566890e+03 -4.85313147e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.55477184e+00  2.60566889e+03 -4.95159682e-01  1.00000000e+00 -5.18862640e-21  2.60566889e+03 -4.95159682e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.60566889e+03 -5.05188535e-01  1.00000000e+00 -5.09441068e-21  2.60566889e+03 -5.05188535e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.61559810e+00  2.60566889e+03 -5.15403396e-01  1.00000000e+00 -5.00173967e-21  2.60566889e+03 -5.15403396e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.64689787e+00  2.60566888e+03 -5.25808029e-01  1.00000000e+00 -4.91059777e-21  2.60566888e+03 -5.25808029e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.67880402e+00  2.60566888e+03 -5.36406264e-01  1.00000000e+00 -4.82096891e-21  2.60566888e+03 -5.36406264e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.71132830e+00  2.60566887e+03 -5.47202002e-01  1.00000000e+00 -4.73283660e-21  2.60566887e+03 -5.47202002e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
