point,corner,voltage_V,temp_C,op,ac,loop,step,point_status,gain_dB,ugb_MHz,pm_deg,power_uW,sr_pos_V_per_us,sr_neg_V_per_us,worst_settling_us,high_error_mV,low_error_mV,historical_aggregate_label,historical_settling_label,historical_waveform_settling_review
P01,tt,1.8,27,PASS,PASS,PASS,PASS,PASS,67.68355094073004,16.732928526259172,68.7880579943491,271.8276422681387,8.293451511322376,11.456738156584684,0.07418622482421311,-0.08468789142090927,0.006494827370362444,PASS,PASS,PASS
P02,ff,1.8,27,PASS,PASS,PASS,PASS,PASS,67.11425198078857,17.212085662745427,70.23878149549057,270.78231729384197,8.353531623448006,11.504917206934534,0.07166006696488897,-1.344045861350951,-0.8773681102856035,PASS,PASS,PASS
P03,ss,1.8,27,PASS,PASS,PASS,PASS,PASS,68.03249759119576,16.217677131202997,67.32912283881646,272.75523012800204,8.267809057100422,11.42169038325951,0.07634069283404055,1.1027363957600844,0.87309118680301,PASS,PASS,PASS
P04,fs,1.8,27,PASS,PASS,PASS,PASS,PASS,67.45244376435639,16.153032150270718,67.1816362227199,271.6269052501858,8.160350137497488,11.450635858028376,0.07607454916775985,0.06546083839698014,0.09020653488944763,PASS,PASS,PASS
P05,sf,1.8,27,PASS,PASS,PASS,PASS,PASS,67.84350096660016,17.17632887309034,70.21467197754454,271.82503557657094,8.471588344290097,11.417780138216438,0.07165261855728706,-0.1303143543169849,-0.0006870745770104492,PASS,PASS,PASS
P06,tt,1.62,-20,PASS,PASS,PASS,FAIL,FAIL,68.325838813796,18.450842054557143,71.96400104520185,240.63403986634282,8.088905611959637,11.14931281813592,,9.903246242795039,4.226402324727818,PASS,SETTLING_NOT_REACHED,FAIL
P07,tt,1.62,27,PASS,PASS,PASS,FAIL,FAIL,67.14071262866841,16.456690164113997,68.84710985930198,242.92162890047504,8.18021134163713,11.199160084788419,,5.025100582332076,2.8116479446518294,PASS,SETTLING_NOT_REACHED,FAIL
P08,tt,1.62,85,PASS,PASS,PASS,PASS,PASS,65.54041624625228,14.535839459656447,66.07743244801529,245.5248538701051,8.261441661130196,11.168077693714663,0.07896596020428993,1.5160307644550564,1.0020311208837063,PASS,PASS,PASS
P09,tt,1.8,-20,PASS,PASS,PASS,PASS,PASS,68.85276240230796,18.797689233389832,71.93683053709755,269.3151360033381,8.21454983808311,11.466795253804307,0.07495760524124617,1.8470248805930733,1.417663540293601,PASS,PASS,PASS
P10,tt,1.8,85,PASS,PASS,PASS,PASS,PASS,66.11206296407335,14.757831121465335,65.993402994207,274.7183415459559,8.371406833693543,11.407682601582714,0.09926443430796211,-2.682283883330916,-1.8463765032242785,PASS,PASS,PASS
P11,tt,1.98,-20,PASS,PASS,PASS,PASS,PASS,69.21585099107364,19.07163458018568,71.93607752971937,298.1011451723496,8.308833454057039,11.765673386295248,0.07073266298280738,-1.3912896304020261,-1.0938794116216455,PASS,PASS,PASS
P12,tt,1.98,27,PASS,PASS,PASS,PASS,PASS,68.05921108902356,16.955245301028118,68.75804159702284,300.8297582248995,8.396315070388203,11.73900826997547,0.0957660063103439,-3.2029330795140254,-2.5170764674659063,PASS,PASS,PASS
P13,tt,1.98,85,PASS,PASS,PASS,FAIL,FAIL,66.50704353401808,14.939091315847213,65.93861036181725,303.9951691669355,8.45862924377026,11.663261290140504,,-5.740912277727883,-4.424278175189089,PASS,SETTLING_NOT_REACHED,FAIL
