tag,vcm_v,gain_db,vout_v,vx_v,vbn_v,vbp_v,tail_v,nmir_v,output_tracking_error_mv,minimum_saturation_margin_v,all_m1_m10_saturated,m1_saturation_margin_v,m2_saturation_margin_v,m3_saturation_margin_v,m4_saturation_margin_v,m5_saturation_margin_v,m6_saturation_margin_v,m7_saturation_margin_v,m8_saturation_margin_v,m9_saturation_margin_v,m10_saturation_margin_v,gain_delta_vs_0p9_db,checkpoint_valid,checkpoint_status,manifest_sha256
baseline,0.8,67.84073692916408,0.799994159,0.794789195,0.657987201,0.632753936,0.134182618,0.795186484,0.005841000000006424,0.03561814960000001,True,0.5881957663,0.5877962108,0.9189859679,0.9193826534999999,0.03561814960000001,0.639932903,0.8355335700000002,0.997543332,0.9723179730000002,0.5656148579,0.16478406144932478,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,0.9,67.67595286771476,0.899999207,0.792073509,0.657987201,0.632753936,0.214698188,0.792124975,0.0007929999999989334,0.11613366450000001,True,0.5028524022,0.5028006166999999,0.9206469014000002,0.9206982876,0.11613366450000001,0.741566816,0.735559516,0.997543332,0.9723179730000002,0.5656148579,0.0,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
baseline,1.3,62.74068233689071,1.29981687,0.781271918,0.657987201,0.632753936,0.546100461,0.78847381,0.18313000000014235,0.15608119379999996,True,0.16336607360000008,0.15608119379999996,0.9225891972000001,0.9297796409,0.4475357109,1.147878714,0.33586575000000013,0.997543332,0.9723179730000002,0.5656148579,-4.935270530824049,False,GAIN_FAIL,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.8,74.6619577498966,0.800279214,0.794781361,0.657987201,0.632753936,0.159734332,0.753625456,0.2792139999999721,0.06116984610000001,True,0.5177511269,0.5590420826,0.9620389951000001,0.9208850365000002,0.06116984610000001,0.640222657,0.835248603,0.997543332,0.9723179730000002,0.5656148579,0.2845142928742206,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,0.9,74.37744345702238,0.900291979,0.792065634,0.657987201,0.632753936,0.24034225,0.751476178,0.29197899999999777,0.141777709,True,0.43342571090000004,0.4741600357,0.9632157110999999,0.9226282033000002,0.141777709,0.741864311,0.735266835,0.997543332,0.9723179730000002,0.5656148579,0.0,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l2,1.3,67.01694049818796,1.30060125,0.781249798,0.657987201,0.632753936,0.570537509,0.748132291,0.6012499999998866,0.09521244150000001,True,0.09521244150000001,0.12864941390000006,0.9650179213000002,0.9319020401000001,0.4719727422,1.148676448,0.3350816130000001,0.997543332,0.9723179730000002,0.5656148579,-7.360502958834417,False,GAIN_FAIL,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,76.37030606877056,0.800309867,0.794780519,0.657987201,0.632753936,0.167308329,0.739377921,0.3098669999999082,0.06874383790000001,True,0.49526039739999994,0.550816993,0.9774489070000001,0.9220463235000002,0.06874383790000001,0.6402538149999999,0.8352179590000001,0.997543332,0.9723179730000002,0.5656148579,0.24426519139797165,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,76.12604087737259,0.900323097,0.792064797,0.657987201,0.632753936,0.247907245,0.737412957,0.3230969999999944,0.1493426988,True,0.411195577,0.46601188599999993,0.9785264093000001,0.9238745838000002,0.1493426988,0.741895931,0.7352357270000001,0.997543332,0.9723179730000002,0.5656148579,0.0,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,68.33429537184179,1.30082965,0.781243356,0.657987201,0.632753936,0.577750476,0.734161724,0.8296500000000151,0.07350604850000006,True,0.07350604850000006,0.1210387465000001,0.9802831637,0.9332015445,0.47918570429999996,1.1489087370000002,0.334853284,0.997543332,0.9723179730000002,0.5656148579,-7.791745505530798,False,GAIN_FAIL,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,65.75948892173419,0.798655247,0.705494207,0.657987201,0.632753936,0.133311605,0.795534449,1.3447530000000318,0.0347471372,True,0.5895442538,0.4989798944,0.9187953168,1.0086990043000001,0.0347471372,0.694488263,0.8566276640000001,0.997543332,0.9723179730000002,0.5656148579,0.5591117089245614,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.9,65.20037721280963,0.898584028,0.702111854,0.657987201,0.632753936,0.213731894,0.792433169,1.4159719999999876,0.11516737120000001,True,0.5042464175,0.4133519092,0.9204810371000001,1.0106624059,0.11516737120000001,0.796307261,0.756698897,0.997543332,0.9723179730000002,0.5656148579,0.0,True,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,1.3,54.30405845172224,1.29660044,0.688028018,0.657987201,0.632753936,0.543617611,0.78878911,3.399560000000079,0.06397666130000007,True,0.1663177159,0.06397666130000007,0.9224231156000001,1.0230242036000001,0.44505286259999993,1.2019945936,0.35868253800000005,0.997543332,0.9723179730000002,0.5656148579,-10.896318761087386,False,GAIN_FAIL,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
