metric,value,unit
corner,tt,
temperature_c,27.0,degC
vdd_v,1.8,V
vcm_v,0.9,V
reference_current_ua,10.0,uA
supply_current_ua,48.0713851,uA
first_stage_power_uw,86.52849318,uW
tail_current_ua,38.071382899999996,uA
m1_current_ua,19.0356918,uA
m2_current_ua,19.0356918,uA
bias_voltage_v,0.658036427,V
tail_voltage_v,0.214664546,V
mirror_voltage_v,0.792073469,V
first_stage_output_v,0.792073469,V
m1_gm_id_vinv,20.078810479585513,1/V
m1_gm_gds_vv,98.14990379454537,V/V
m1_sat_margin_v,0.5028161703999999,V
m2_sat_margin_v,0.5028161703999999,V
m3_sat_margin_v,0.9206745920000001,V
m4_sat_margin_v,0.9206745920000001,V
m5_sat_margin_v,0.11607016110000001,V
ac_gain_1hz_db,36.2697407,dB
dc_gain_near_zero_vv,65.06995036363614,V/V
dc_gain_near_zero_db,36.26760950894877,dB
first_stage_3db_bandwidth_hz,45524514.44638631,Hz
first_stage_unity_gain_hz,1693699922.1999688,Hz
dc_operating_region_min_v,0.76,V
dc_operating_region_max_v,1.49,V
icmr_gain_reference_at_0p9v_db,36.2697407,dB
icmr_gain_delta_at_0p8v_db,0.35274069999999824,dB
icmr_gain_delta_at_1p3v_db,-4.290861700000001,dB
icmr_min_sat_margin_at_0p8v_v,0.0355600256,V
icmr_min_sat_margin_at_1p3v_v,0.163156821,V
icmr_criterion_min_v,0.76,V
icmr_criterion_max_v,1.24,V
icmr_covers_0p8_to_1p3,False,
icmr_criterion,1-Hz differential gain no more than 3 dB below its VCM=0.9 V value; all M1-M5 model saturation margins >=0; 0.05<VX<1.75,
dc_operating_region_criterion,"preliminary diagnostic only: tail within 10%, each branch within 15% of nominal, saturation margins >=0, 0.05<VX<1.75",
stage_status,DAY2_FIRST_STAGE_CHARACTERIZED_NOT_FINAL_OTA,
