w6_um,m6_current_ua,m7_current_ua,rl_current_ua,residual_ua,selected_interpolated_w6_um
6.0,51.2358355,92.2666408,9.0,32.0308053,8.839074270408297
6.1,52.211209,92.2666408,9.0,31.055431899999995,
6.2,53.1883322,92.2666408,9.0,30.0783086,
6.3,54.167602699999996,92.2666408,9.0,29.099038200000003,
6.4,55.1495198,92.2666408,9.0,28.117121,
6.5,56.1347036,92.2666408,9.0,27.131937200000003,
6.6,57.123914400000004,92.2666408,9.0,26.1427264,
6.7,58.1180763,92.2666408,9.0,25.148564500000003,
6.8,59.1183027,92.2666408,9.0,24.1483381,
6.9,60.125924399999995,92.2666408,9.0,23.1407164,
7.0,61.14252200000001,92.2666408,9.0,22.124118799999998,
7.1,62.341583899999996,92.2666408,9.0,20.9250569,
7.2,63.5413115,92.2666408,9.0,19.7253293,
7.3,64.7416567,92.2666408,9.0,18.5249841,
7.4,65.9425741,92.2666408,9.0,17.3240667,
7.5,67.1440212,92.2666408,9.0,16.1226196,
7.6,68.3459578,92.2666408,9.0,14.920682999999999,
7.7,69.54834629999999,92.2666408,9.0,13.7182945,
7.8,70.7511509,92.2666408,9.0,12.5154899,
7.9,71.9543383,92.2666408,9.0,11.3123025,
8.0,73.1578768,92.2666408,9.0,10.1087641,
8.1,74.3617366,92.2666408,9.0,8.90490425,
8.2,75.5658896,92.2666408,9.0,7.70075117,
8.3,76.7703095,92.2666408,9.0,6.49633132,
8.4,77.97497109999999,92.2666408,9.0,5.29166967,
8.5,79.179851,92.2666408,9.0,4.08678978,
8.6,80.3849269,92.2666408,9.0,2.8817139,
8.7,81.59017779999999,92.2666408,9.0,1.67646303,
8.8,82.7955839,92.2666408,9.0,0.471056959,
8.9,84.0011264,92.2666408,9.0,-0.734485599,
9.0,85.2067878,92.2666408,9.0,-1.94014699,
9.1,86.4125514,92.2666408,9.0,-3.14591056,
9.2,87.61840140000001,92.2666408,9.0,-4.351760570000001,
9.3,88.82432299999999,92.2666408,9.0,-5.55768216,
9.4,90.0303021,92.2666408,9.0,-6.76366132,
9.5,91.2363256,92.2666408,9.0,-7.9696848199999994,
9.6,92.442381,92.2666408,9.0,-9.17574015,
9.7,93.6484563,92.2666408,9.0,-10.3818155,
9.8,94.85454059999999,92.2666408,9.0,-11.587899799999999,
9.9,96.0606233,92.2666408,9.0,-12.7939825,
10.0,97.2666946,92.2666408,9.0,-14.0000538,
