device,role,w_um,l_um,drain_current_ua,gm_us,gds_us,gm_over_id_vinv,intrinsic_gain_vv,vdsat_abs_v,saturation_margin_v,model_saturation_check
M1,"input pair, VINN side",16.83798,0.5,19.0200621,381.951554,3.89138449,20.0815093,98.1531265,0.0745743848,0.502852403,PASS
M2,"input pair, VINP side",16.83798,0.5,19.020165,381.953206,3.89157623,20.0814875,98.1487149,0.0745747046,0.502800617,PASS
M3,PMOS mirror diode load (two units),50,0.5,19.0200607,301.403902,1.95735446,15.846632,153.985345,0.0872281236,0.920646901,PASS
M4,PMOS mirror output load (two units),50,0.5,19.0201614,301.405365,1.95732639,15.846625,153.988301,0.0872282034,0.920698288,PASS
M5,NMOS tail current sink,25.8754,0.8,38.0402241,641.779665,13.1451362,16.87108,48.8225953,0.0985645235,0.116133664,PASS
M6,NMOS second-stage common source,8.83907427,0.5,83.2666517,835.556346,8.664256,10.0347057,96.437172,0.158432391,0.741566815,PASS
M7,PMOS second-stage current source,72.2005,0.8,92.2666438,966.614772,3.80927295,10.4763188,253.753087,0.164441277,0.735559517,PASS
M8,PMOS diode IREF reference,7.22005,0.8,9.99999882,102.006282,0.336458495,10.2006294,303.17642,0.169702732,0.997543332,PASS
M9,PMOS VBN-bias branch,7.22005,0.8,9.99144222,101.924028,0.341780263,10.2011327,298.215079,0.169694826,0.972317973,PASS
M10,NMOS diode VBN reference,8.08605,0.8,9.9914427,172.731578,1.0361233,17.2879516,166.709481,0.0923723431,0.565614858,PASS
