frequency_hz,ad_magnitude_V_per_V,acm_magnitude_V_per_V,aps_plus_magnitude_V_per_V,aps_minus_magnitude_V_per_V,cmrr_dB,psrr_plus_dB,psrr_minus_dB,common_mode_stimulus_magnitude_V,psrr_plus_stimulus_magnitude_V,psrr_minus_stimulus_magnitude_V,manifest_sha256
1,2419.901247,0.6571812622,36.91720229,37.26002108,71.32224942,36.33137724,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.01937349,2419.901248,0.6571812624,36.91720231,37.26002109,71.32224942,36.33137724,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.0391223,2419.901249,0.6571812616,36.91720232,37.260021,71.32224944,36.33137724,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.05925373,2419.90125,0.6571812618,36.91720233,37.26002102,71.32224944,36.33137724,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.07977516,2419.90125,0.6571812611,36.91720224,37.26002103,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.10069417,2419.901251,0.6571812613,36.91720226,37.26002104,71.32224945,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.12201845,2419.901242,0.6571812606,36.91720227,37.26002095,71.32224943,36.33137723,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.14375586,2419.901243,0.6571812608,36.91720228,37.26002097,71.32224943,36.33137723,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.1659144,2419.901244,0.6571812601,36.9172022,37.26002098,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.18850223,2419.901245,0.6571812604,36.91720222,37.2600209,71.32224944,36.33137725,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
