 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 0.00000000e+00  1.93616688e-12  4.72205848e-11  2.82360904e-12  7.07653677e-01  4.30294562e-02  2.43886957e+01  1.67234855e+01 
 1.00000000e-02  2.47093139e-12  6.02617962e-11  3.57940518e-12  7.07653677e-01  4.30294567e-02  2.43882920e+01  1.68357012e+01 
 2.00000000e-02  3.15338302e-12  7.69041919e-11  4.53727856e-12  7.07653677e-01  4.30294573e-02  2.43878372e+01  1.69494094e+01 
 3.00000000e-02  4.02430294e-12  9.81419829e-11  5.75119084e-12  7.07653677e-01  4.30294581e-02  2.43873248e+01  1.70646368e+01 
 4.00000000e-02  5.13573070e-12  1.25243766e-10  7.28949266e-12  7.07653677e-01  4.30294592e-02  2.43867472e+01  1.71814106e+01 
 5.00000000e-02  6.55407119e-12  1.59828209e-10  9.23875410e-12  7.07653677e-01  4.30294605e-02  2.43860960e+01  1.72997579e+01 
 6.00000000e-02  8.36405849e-12  2.03960592e-10  1.17086126e-11  7.07653677e-01  4.30294622e-02  2.43853617e+01  1.74197061e+01 
 7.00000000e-02  1.06738127e-11  2.60275944e-10  1.48379084e-11  7.07653677e-01  4.30294643e-02  2.43845335e+01  1.75412826e+01 
 8.00000000e-02  1.36212911e-11  3.32136104e-10  1.88024474e-11  7.07653677e-01  4.30294670e-02  2.43835993e+01  1.76645144e+01 
 9.00000000e-02  1.73825168e-11  4.23830004e-10  2.38248238e-11  7.07653677e-01  4.30294705e-02  2.43825453e+01  1.77894287e+01 
 1.00000000e-01  2.21820754e-11  5.40829077e-10  3.01868447e-11  7.07653677e-01  4.30294750e-02  2.43813561e+01  1.79160519e+01 
 1.10000000e-01  2.83065020e-11  6.90112918e-10  3.82452466e-11  7.07653677e-01  4.30294807e-02  2.43800141e+01  1.80444102e+01 
 1.20000000e-01  3.61213554e-11  8.80584450e-10  4.84515699e-11  7.07653677e-01  4.30294880e-02  2.43784996e+01  1.81745287e+01 
 1.30000000e-01  4.60929899e-11  1.12359915e-09  6.13772890e-11  7.07653677e-01  4.30294972e-02  2.43767904e+01  1.83064318e+01 
 1.40000000e-01  5.88163177e-11  1.43363959e-09  7.77455813e-11  7.07653677e-01  4.30295091e-02  2.43748613e+01  1.84401423e+01 
 1.50000000e-01  7.50502039e-11  1.82917489e-09  9.84714810e-11  7.07653677e-01  4.30295241e-02  2.43726839e+01  1.85756818e+01 
 1.60000000e-01  9.57625866e-11  2.33375589e-09  1.24712619e-10  7.07653677e-01  4.30295434e-02  2.43702261e+01  1.87130694e+01 
 1.70000000e-01  1.22187988e-10  2.97740992e-09  1.57933324e-10  7.07653677e-01  4.30295680e-02  2.43674519e+01  1.88523222e+01 
 1.80000000e-01  1.55900802e-10  3.79841712e-09  1.99985588e-10  7.07653677e-01  4.30295993e-02  2.43643206e+01  1.89934543e+01 
 1.90000000e-01  1.98908677e-10  4.84557174e-09  2.53211288e-10  7.07653677e-01  4.30296393e-02  2.43607861e+01  1.91364760e+01 
 2.00000000e-01  2.53771467e-10  6.18106003e-09  3.20571224e-10  7.07653677e-01  4.30296903e-02  2.43567967e+01  1.92813938e+01 
 2.10000000e-01  3.23752726e-10  7.88412154e-09  4.05807942e-10  7.07653677e-01  4.30297553e-02  2.43522939e+01  1.94282090e+01 
 2.20000000e-01  4.13012589e-10  1.00557051e-08  5.13651103e-10  7.07653677e-01  4.30298383e-02  2.43472120e+01  1.95769171e+01 
 2.30000000e-01  5.26853277e-10  1.28243868e-08  6.50076416e-10  7.07653677e-01  4.30299441e-02  2.43414768e+01  1.97275067e+01 
 2.40000000e-01  6.72031462e-10  1.63538889e-08  8.22631958e-10  7.07653677e-01  4.30300791e-02  2.43350050e+01  1.98799582e+01 
 2.50000000e-01  8.57155568e-10  2.08526256e-08  1.04084920e-09  7.07653677e-01  4.30302512e-02  2.43277024e+01  2.00342429e+01 
 2.60000000e-01  1.09319085e-09  2.65858152e-08  1.31676041e-09  7.07653677e-01  4.30304706e-02  2.43194636e+01  2.01903208e+01 
 2.70000000e-01  1.39410120e-09  3.38908367e-08  1.66554966e-09  7.07653677e-01  4.30307503e-02  2.43101697e+01  2.03481395e+01 
 2.80000000e-01  1.77766417e-09  4.31966831e-08  2.10637113e-09  7.07653677e-01  4.30311069e-02  2.42996870e+01  2.05076316e+01 
 2.90000000e-01  2.26650543e-09  5.50485799e-08  2.66337727e-09  7.07653677e-01  4.30315613e-02  2.42878659e+01  2.06687128e+01 
 3.00000000e-01  2.88941060e-09  7.01391072e-08  3.36700908e-09  7.07653677e-01  4.30321404e-02  2.42745379e+01  2.08312795e+01 
 3.10000000e-01  3.68298770e-09  8.93474937e-08  4.25561419e-09  7.07653677e-01  4.30328780e-02  2.42595146e+01  2.09952053e+01 
 3.20000000e-01  4.69377178e-09  1.13789160e-07  5.37747352e-09  7.07653677e-01  4.30338176e-02  2.42425847e+01  2.11603385e+01 
 3.30000000e-01  5.98088680e-09  1.44878084e-07  6.79333683e-09  7.07653677e-01  4.30350141e-02  2.42235122e+01  2.13264980e+01 
 3.40000000e-01  7.61940819e-09  1.84405168e-07  8.57959062e-09  7.07653677e-01  4.30365371e-02  2.42020330e+01  2.14934693e+01 
 3.50000000e-01  9.70460497e-09  2.34636510e-07  1.08322101e-08  7.07653677e-01  4.30384753e-02  2.41778528e+01  2.16610006e+01 
 3.60000000e-01  1.23572837e-08  2.98436358e-07  1.36716812e-08  7.07653677e-01  4.30409409e-02  2.41506438e+01  2.18287973e+01 
 3.70000000e-01  1.57305091e-08  3.79420537e-07  1.72491187e-08  7.07653677e-01  4.30440761e-02  2.41200418e+01  2.19965173e+01 
 3.80000000e-01  2.00180396e-08  4.82147346e-07  2.17538556e-08  7.07653677e-01  4.30480609e-02  2.40856425e+01  2.21637651e+01 
 3.90000000e-01  2.54648938e-08  6.12354276e-07  2.74228351e-08  7.07653677e-01  4.30531229e-02  2.40469990e+01  2.23300864e+01 
 4.00000000e-01  3.23805535e-08  7.77250434e-07  3.45522014e-08  7.07653677e-01  4.30595494e-02  2.40036179e+01  2.24949613e+01 
