 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.80000000e+00  3.85296175e-11  9.68284757e-10  1.11842269e-10  6.95307009e-01  4.31286589e-02  2.51309206e+01  8.65759224e+00 
 1.79000000e+00  4.94694638e-11  1.22934895e-09  1.42000909e-10  6.95307009e-01  4.31288648e-02  2.48506626e+01  8.65733155e+00 
 1.78000000e+00  6.33299241e-11  1.55447473e-09  1.79561888e-10  6.95307009e-01  4.31291256e-02  2.45456591e+01  8.65704159e+00 
 1.77000000e+00  8.08168663e-11  1.95704074e-09  2.26071846e-10  6.95307009e-01  4.31294547e-02  2.42157464e+01  8.65672027e+00 
 1.76000000e+00  1.02780006e-10  2.45245830e-09  2.83312697e-10  6.95307009e-01  4.31298681e-02  2.38612392e+01  8.65636566e+00 
 1.75000000e+00  1.30233799e-10  3.05828003e-09  3.53314286e-10  6.95307009e-01  4.31303848e-02  2.34829979e+01  8.65597613e+00 
 1.74000000e+00  1.64379284e-10  3.79428110e-09  4.38363931e-10  6.95307009e-01  4.31310274e-02  2.30824774e+01  8.65555040e+00 
 1.73000000e+00  2.06626625e-10  4.68252134e-09  5.41013733e-10  6.95307009e-01  4.31318224e-02  2.26617521e+01  8.65508775e+00 
 1.72000000e+00  2.58618253e-10  5.74740503e-09  6.64087648e-10  6.95307009e-01  4.31328008e-02  2.22235089e+01  8.65458806e+00 
 1.71000000e+00  3.22252696e-10  7.01576541e-09  8.10691387e-10  6.95307009e-01  4.31339983e-02  2.17710061e+01  8.65405199e+00 
 1.70000000e+00  3.99709525e-10  8.51700831e-09  9.84229153e-10  6.95307009e-01  4.31354557e-02  2.13079944e+01  8.65348104e+00 
 1.69000000e+00  4.93476188e-10  1.02833548e-08  1.18843178e-09  6.95307009e-01  4.31372199e-02  2.08386039e+01  8.65287767e+00 
 1.68000000e+00  6.06377945e-10  1.23502227e-08  1.42740089e-09  6.95307009e-01  4.31393439e-02  2.03672030e+01  8.65224534e+00 
 1.67000000e+00  7.41612448e-10  1.47567818e-08  1.70567311e-09  6.95307009e-01  4.31418879e-02  1.98982391e+01  8.65158846e+00 
 1.66000000e+00  9.02790871e-10  1.75467095e-08  2.02830739e-09  6.95307009e-01  4.31449194e-02  1.94360733e+01  8.65091240e+00 
 1.65000000e+00  1.09398764e-09  2.07691603e-08  2.40099700e-09  6.95307009e-01  4.31485150e-02  1.89848216e+01  8.65022333e+00 
 1.64000000e+00  1.31980099e-09  2.44799537e-08  2.83020686e-09  6.95307009e-01  4.31527609e-02  1.85482159e+01  8.64952808e+00 
 1.63000000e+00  1.58542641e-09  2.87429760e-08  3.32333541e-09  6.95307009e-01  4.31577543e-02  1.81294924e+01  8.64883392e+00 
 1.62000000e+00  1.89674521e-09  3.36317891e-08  3.88890058e-09  6.95307009e-01  4.31636052e-02  1.77313162e+01  8.64814832e+00 
 1.61000000e+00  2.26043016e-09  3.92314418e-08  4.53674916e-09  6.95307009e-01  4.31704382e-02  1.73557417e+01  8.64747873e+00 
 1.60000000e+00  2.68407028e-09  4.56404902e-08  5.27829018e-09  6.95307009e-01  4.31783951e-02  1.70042083e+01  8.64683233e+00 
