 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-2.00000000e-02  1.71865200e+00  7.84702600e-01  2.18025550e-01  2.13906710e-05  1.67243265e-05  3.81149968e-05 
-1.99000000e-02  1.71819408e+00  7.84756654e-01  2.18020291e-01  2.13725270e-05  1.67424032e-05  3.81149295e-05 
-1.98000000e-02  1.71772840e+00  7.84810727e-01  2.18015043e-01  2.13543902e-05  1.67604729e-05  3.81148624e-05 
-1.97000000e-02  1.71725471e+00  7.84864816e-01  2.18009806e-01  2.13362609e-05  1.67785352e-05  3.81147954e-05 
-1.96000000e-02  1.71677273e+00  7.84918922e-01  2.18004578e-01  2.13181395e-05  1.67965896e-05  3.81147285e-05 
-1.95000000e-02  1.71628217e+00  7.84973041e-01  2.17999359e-01  2.13000266e-05  1.68146358e-05  3.81146617e-05 
-1.94000000e-02  1.71578273e+00  7.85027174e-01  2.17994147e-01  2.12819224e-05  1.68326732e-05  3.81145950e-05 
-1.93000000e-02  1.71527409e+00  7.85081318e-01  2.17988942e-01  2.12638275e-05  1.68507015e-05  3.81145284e-05 
-1.92000000e-02  1.71475593e+00  7.85135473e-01  2.17983744e-01  2.12457424e-05  1.68687201e-05  3.81144618e-05 
-1.91000000e-02  1.71422789e+00  7.85189637e-01  2.17978550e-01  2.12276676e-05  1.68867285e-05  3.81143954e-05 
-1.90000000e-02  1.71368961e+00  7.85243807e-01  2.17973359e-01  2.12096035e-05  1.69047261e-05  3.81143289e-05 
-1.89000000e-02  1.71314070e+00  7.85297984e-01  2.17968172e-01  2.11915508e-05  1.69227124e-05  3.81142625e-05 
-1.88000000e-02  1.71258075e+00  7.85352164e-01  2.17962986e-01  2.11735100e-05  1.69406868e-05  3.81141962e-05 
-1.87000000e-02  1.71200934e+00  7.85406346e-01  2.17957800e-01  2.11554818e-05  1.69586486e-05  3.81141298e-05 
-1.86000000e-02  1.71142602e+00  7.85460527e-01  2.17952613e-01  2.11374668e-05  1.69765972e-05  3.81140634e-05 
-1.85000000e-02  1.71083031e+00  7.85514707e-01  2.17947424e-01  2.11194657e-05  1.69945318e-05  3.81139969e-05 
-1.84000000e-02  1.71022171e+00  7.85568882e-01  2.17942230e-01  2.11014792e-05  1.70124518e-05  3.81139304e-05 
-1.83000000e-02  1.70959969e+00  7.85623051e-01  2.17937031e-01  2.10835081e-05  1.70303564e-05  3.81138639e-05 
-1.82000000e-02  1.70896368e+00  7.85677210e-01  2.17931826e-01  2.10655531e-05  1.70482447e-05  3.81137972e-05 
-1.81000000e-02  1.70831311e+00  7.85731358e-01  2.17926611e-01  2.10476152e-05  1.70661159e-05  3.81137305e-05 
