 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-2.00000000e-02  1.68016814e+00  6.55154321e-01  1.57321860e-01  2.30766683e-05  1.92681646e-05  4.23448325e-05 
-1.99000000e-02  1.67973669e+00  6.55213034e-01  1.57319018e-01  2.30612549e-05  1.92833873e-05  4.23446418e-05 
-1.98000000e-02  1.67930039e+00  6.55271759e-01  1.57316184e-01  2.30458453e-05  1.92986067e-05  4.23444516e-05 
-1.97000000e-02  1.67885912e+00  6.55330494e-01  1.57313357e-01  2.30304397e-05  1.93138226e-05  4.23442618e-05 
-1.96000000e-02  1.67841276e+00  6.55389240e-01  1.57310538e-01  2.30150381e-05  1.93290350e-05  4.23440726e-05 
-1.95000000e-02  1.67796118e+00  6.55447997e-01  1.57307725e-01  2.29996408e-05  1.93442435e-05  4.23438838e-05 
-1.94000000e-02  1.67750425e+00  6.55506762e-01  1.57304919e-01  2.29842478e-05  1.93594481e-05  4.23436954e-05 
-1.93000000e-02  1.67704184e+00  6.55565537e-01  1.57302118e-01  2.29688592e-05  1.93746487e-05  4.23435074e-05 
-1.92000000e-02  1.67657381e+00  6.55624321e-01  1.57299324e-01  2.29534753e-05  1.93898450e-05  4.23433198e-05 
-1.91000000e-02  1.67610000e+00  6.55683112e-01  1.57296535e-01  2.29380961e-05  1.94050369e-05  4.23431326e-05 
-1.90000000e-02  1.67562027e+00  6.55741911e-01  1.57293751e-01  2.29227219e-05  1.94202243e-05  4.23429457e-05 
-1.89000000e-02  1.67513445e+00  6.55800716e-01  1.57290972e-01  2.29073527e-05  1.94354068e-05  4.23427591e-05 
-1.88000000e-02  1.67464238e+00  6.55859528e-01  1.57288197e-01  2.28919888e-05  1.94505844e-05  4.23425727e-05 
-1.87000000e-02  1.67414389e+00  6.55918345e-01  1.57285426e-01  2.28766303e-05  1.94657568e-05  4.23423866e-05 
-1.86000000e-02  1.67363879e+00  6.55977168e-01  1.57282658e-01  2.28612773e-05  1.94809239e-05  4.23422008e-05 
-1.85000000e-02  1.67312691e+00  6.56035994e-01  1.57279894e-01  2.28459302e-05  1.94960853e-05  4.23420151e-05 
-1.84000000e-02  1.67260806e+00  6.56094824e-01  1.57277131e-01  2.28305890e-05  1.95112410e-05  4.23418295e-05 
-1.83000000e-02  1.67208201e+00  6.56153656e-01  1.57274371e-01  2.28152539e-05  1.95263907e-05  4.23416441e-05 
-1.82000000e-02  1.67154858e+00  6.56212491e-01  1.57271612e-01  2.27999252e-05  1.95415340e-05  4.23414588e-05 
-1.81000000e-02  1.67100753e+00  6.56271326e-01  1.57268854e-01  2.27846031e-05  1.95566708e-05  4.23412735e-05 
-1.80000000e-02  1.67045864e+00  6.56330162e-01  1.57266097e-01  2.27692878e-05  1.95718009e-05  4.23410883e-05 
-1.79000000e-02  1.66990167e+00  6.56388997e-01  1.57263339e-01  2.27539796e-05  1.95869238e-05  4.23409030e-05 
-1.78000000e-02  1.66933637e+00  6.56447830e-01  1.57260580e-01  2.27386786e-05  1.96020395e-05  4.23407177e-05 
-1.77000000e-02  1.66876248e+00  6.56506661e-01  1.57257820e-01  2.27233851e-05  1.96171475e-05  4.23405322e-05 
