metric,value,unit
corner,tt,
temperature_c,27.0,degC
vdd_v,1.8,V
vcm_v,0.9,V
reference_current_ua,10.0,uA
supply_current_ua,48.0731787,uA
first_stage_power_uw,86.53172166,uW
tail_current_ua,38.0731764,uA
m1_current_ua,19.0365886,uA
m2_current_ua,19.0365886,uA
bias_voltage_v,0.658036427,V
tail_voltage_v,0.214800884,V
mirror_voltage_v,0.808582312,V
first_stage_output_v,0.808582312,V
m1_gm_id_vinv,20.08005625545745,1/V
m1_gm_gds_vv,99.52437725145934,V/V
m1_sat_margin_v,0.5192495447,V
m2_sat_margin_v,0.5192495447,V
m3_sat_margin_v,0.9243053792000001,V
m4_sat_margin_v,0.9243053792000001,V
m5_sat_margin_v,0.11620649899999999,V
ac_gain_1hz_db,38.2055691,dB
dc_gain_near_zero_vv,81.30597754545447,V/V
dc_gain_near_zero_db,38.20244951448296,dB
first_stage_3db_bandwidth_hz,13106718.10389253,Hz
first_stage_unity_gain_hz,588435991.0054852,Hz
dc_operating_region_min_v,0.76,V
dc_operating_region_max_v,1.51,V
icmr_gain_reference_at_0p9v_db,38.2055691,dB
icmr_gain_delta_at_0p8v_db,0.41877290000000045,dB
icmr_gain_delta_at_1p3v_db,-4.568729999999995,dB
icmr_min_sat_margin_at_0p8v_v,0.0356820569,V
icmr_min_sat_margin_at_1p3v_v,0.179783988,V
icmr_criterion_min_v,0.76,V
icmr_criterion_max_v,1.22,V
icmr_covers_0p8_to_1p3,False,
icmr_criterion,1-Hz differential gain no more than 3 dB below its VCM=0.9 V value; all M1-M5 model saturation margins >=0; 0.05<VX<1.75,
dc_operating_region_criterion,"preliminary diagnostic only: tail within 10%, each branch within 15% of nominal, saturation margins >=0, 0.05<VX<1.75",
stage_status,DAY2_FIRST_STAGE_CHARACTERIZED_NOT_FINAL_OTA,
