 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-2.00000000e-02  1.67853124e+00  6.39513439e-01  1.94146065e-01  2.74276989e-05  2.24670423e-05  4.98947406e-05 
-1.99000000e-02  1.67806516e+00  6.39586513e-01  1.94142197e-01  2.74062306e-05  2.24884110e-05  4.98946410e-05 
-1.98000000e-02  1.67759390e+00  6.39659603e-01  1.94138342e-01  2.73847679e-05  2.25097745e-05  4.98945418e-05 
-1.97000000e-02  1.67711733e+00  6.39732711e-01  1.94134498e-01  2.73633110e-05  2.25311324e-05  4.98944428e-05 
-1.96000000e-02  1.67663534e+00  6.39805834e-01  1.94130666e-01  2.73418603e-05  2.25524845e-05  4.98943441e-05 
-1.95000000e-02  1.67614777e+00  6.39878973e-01  1.94126845e-01  2.73204158e-05  2.25738306e-05  4.98942457e-05 
-1.94000000e-02  1.67565450e+00  6.39952126e-01  1.94123034e-01  2.72989779e-05  2.25951703e-05  4.98941476e-05 
-1.93000000e-02  1.67515536e+00  6.40025293e-01  1.94119233e-01  2.72775468e-05  2.26165036e-05  4.98940497e-05 
-1.92000000e-02  1.67465022e+00  6.40098472e-01  1.94115441e-01  2.72561227e-05  2.26378299e-05  4.98939521e-05 
-1.91000000e-02  1.67413890e+00  6.40171663e-01  1.94111659e-01  2.72347061e-05  2.26591492e-05  4.98938547e-05 
-1.90000000e-02  1.67362125e+00  6.40244865e-01  1.94107886e-01  2.72132970e-05  2.26804610e-05  4.98937575e-05 
-1.89000000e-02  1.67309710e+00  6.40318076e-01  1.94104120e-01  2.71918960e-05  2.27017651e-05  4.98936605e-05 
-1.88000000e-02  1.67256626e+00  6.40391296e-01  1.94100362e-01  2.71705031e-05  2.27230611e-05  4.98935637e-05 
-1.87000000e-02  1.67202855e+00  6.40464524e-01  1.94096611e-01  2.71491189e-05  2.27443488e-05  4.98934671e-05 
-1.86000000e-02  1.67148378e+00  6.40537758e-01  1.94092867e-01  2.71277435e-05  2.27656277e-05  4.98933706e-05 
-1.85000000e-02  1.67093174e+00  6.40610997e-01  1.94089128e-01  2.71063774e-05  2.27868975e-05  4.98932743e-05 
-1.84000000e-02  1.67037222e+00  6.40684241e-01  1.94085395e-01  2.70850209e-05  2.28081578e-05  4.98931781e-05 
-1.83000000e-02  1.66980501e+00  6.40757487e-01  1.94081666e-01  2.70636744e-05  2.28294082e-05  4.98930820e-05 
-1.82000000e-02  1.66922987e+00  6.40830735e-01  1.94077941e-01  2.70423382e-05  2.28506484e-05  4.98929860e-05 
-1.81000000e-02  1.66864654e+00  6.40903982e-01  1.94074219e-01  2.70210129e-05  2.28718779e-05  4.98928901e-05 
-1.80000000e-02  1.66805482e+00  6.40977229e-01  1.94070500e-01  2.69996987e-05  2.28930962e-05  4.98927943e-05 
-1.79000000e-02  1.66745442e+00  6.41050473e-01  1.94066782e-01  2.69783961e-05  2.29143030e-05  4.98926985e-05 
-1.78000000e-02  1.66684506e+00  6.41123712e-01  1.94063065e-01  2.69571057e-05  2.29354977e-05  4.98926027e-05 
-1.77000000e-02  1.66622646e+00  6.41196945e-01  1.94059348e-01  2.69358278e-05  2.29566798e-05  4.98925069e-05 
-1.76000000e-02  1.66559832e+00  6.41270170e-01  1.94055631e-01  2.69145630e-05  2.29778488e-05  4.98924111e-05 
-1.75000000e-02  1.66496033e+00  6.41343385e-01  1.94051911e-01  2.68933117e-05  2.29990041e-05  4.98923152e-05 
-1.74000000e-02  1.66431214e+00  6.41416589e-01  1.94048188e-01  2.68720747e-05  2.30201452e-05  4.98922193e-05 
-1.73000000e-02  1.66365342e+00  6.41489779e-01  1.94044462e-01  2.68508523e-05  2.30412715e-05  4.98921232e-05 
-1.72000000e-02  1.66298380e+00  6.41562953e-01  1.94040731e-01  2.68296453e-05  2.30623823e-05  4.98920270e-05 
-1.71000000e-02  1.66230290e+00  6.41636110e-01  1.94036994e-01  2.68084543e-05  2.30834770e-05  4.98919307e-05 
-1.70000000e-02  1.66161031e+00  6.41709246e-01  1.94033249e-01  2.67872799e-05  2.31045549e-05  4.98918342e-05 
-1.69000000e-02  1.66090561e+00  6.41782359e-01  1.94029496e-01  2.67661228e-05  2.31256152e-05  4.98917374e-05 
-1.68000000e-02  1.66018836e+00  6.41855448e-01  1.94025733e-01  2.67449837e-05  2.31466573e-05  4.98916404e-05 
-1.67000000e-02  1.65945809e+00  6.41928508e-01  1.94021959e-01  2.67238635e-05  2.31676802e-05  4.98915431e-05 
-1.66000000e-02  1.65871430e+00  6.42001537e-01  1.94018172e-01  2.67027629e-05  2.31886831e-05  4.98914454e-05 
-1.65000000e-02  1.65795647e+00  6.42074533e-01  1.94014371e-01  2.66816827e-05  2.32096652e-05  4.98913474e-05 
-1.64000000e-02  1.65718406e+00  6.42147492e-01  1.94010554e-01  2.66606240e-05  2.32306255e-05  4.98912490e-05 
-1.63000000e-02  1.65639648e+00  6.42220410e-01  1.94006720e-01  2.66395876e-05  2.32515631e-05  4.98911501e-05 
-1.62000000e-02  1.65559313e+00  6.42293285e-01  1.94002866e-01  2.66185745e-05  2.32724768e-05  4.98910507e-05 
-1.61000000e-02  1.65477338e+00  6.42366112e-01  1.93998991e-01  2.65975857e-05  2.32933656e-05  4.98909507e-05 
-1.60000000e-02  1.65393654e+00  6.42438888e-01  1.93995093e-01  2.65766223e-05  2.33142284e-05  4.98908502e-05 
-1.59000000e-02  1.65308195e+00  6.42511609e-01  1.93991169e-01  2.65556855e-05  2.33350639e-05  4.98907490e-05 
-1.58000000e-02  1.65220893e+00  6.42584270e-01  1.93987218e-01  2.65347764e-05  2.33558712e-05  4.98906471e-05 
-1.57000000e-02  1.65131694e+00  6.42656869e-01  1.93983239e-01  2.65138957e-05  2.33766491e-05  4.98905444e-05 
-1.56000000e-02  1.65040639e+00  6.42729408e-01  1.93979231e-01  2.64930430e-05  2.33973984e-05  4.98904410e-05 
-1.55000000e-02  1.64945712e+00  6.42801776e-01  1.93975138e-01  2.64722500e-05  2.34180860e-05  4.98903354e-05 
-1.54000000e-02  1.64849885e+00  6.42874136e-01  1.93971045e-01  2.64514699e-05  2.34387605e-05  4.98902298e-05 
-1.53000000e-02  1.64754010e+00  6.42946534e-01  1.93966974e-01  2.64306893e-05  2.34594356e-05  4.98901247e-05 
-1.52000000e-02  1.64651157e+00  6.43018589e-01  1.93962729e-01  2.64100176e-05  2.34799982e-05  4.98900152e-05 
-1.51000000e-02  1.64548474e+00  6.43090693e-01  1.93958514e-01  2.63893420e-05  2.35005649e-05  4.98899064e-05 
-1.50000000e-02  1.64442562e+00  6.43162661e-01  1.93954231e-01  2.63687163e-05  2.35210801e-05  4.98897959e-05 
-1.49000000e-02  1.64333812e+00  6.43234512e-01  1.93949891e-01  2.63481342e-05  2.35415501e-05  4.98896839e-05 
-1.48000000e-02  1.64222074e+00  6.43306238e-01  1.93945490e-01  2.63275982e-05  2.35619725e-05  4.98895703e-05 
-1.47000000e-02  1.64106451e+00  6.43377790e-01  1.93941002e-01  2.63071226e-05  2.35823324e-05  4.98894545e-05 
