metric,value,unit
corner,tt,
temperature_c,27.0,degC
vdd_v,1.8,V
vcm_v,0.9,V
reference_current_ua,10.0,uA
supply_current_ua,48.0634977,uA
first_stage_power_uw,86.51429586,uW
tail_current_ua,38.0634956,uA
m1_current_ua,19.031748099999998,uA
m2_current_ua,19.031748099999998,uA
bias_voltage_v,0.658036427,V
tail_voltage_v,0.21406687,V
mirror_voltage_v,0.722488644,V
first_stage_output_v,0.722488639,V
m1_gm_id_vinv,20.070552320939978,1/V
m1_gm_gds_vv,91.73753106262274,V/V
m1_sat_margin_v,0.4335593433,V
m2_sat_margin_v,0.43355933830000004,V
m3_sat_margin_v,0.972404158,V
m4_sat_margin_v,0.972404163,V
m5_sat_margin_v,0.11547248549999999,V
ac_gain_1hz_db,37.824495,dB
dc_gain_near_zero_vv,77.80996745454547,V/V
dc_gain_near_zero_db,37.820704673273376,dB
first_stage_3db_bandwidth_hz,42054303.03081335,Hz
first_stage_unity_gain_hz,nan,Hz
icmr_criterion_min_v,0.76,V
icmr_criterion_max_v,1.41,V
icmr_covers_0p8_to_1p3,True,
icmr_criterion,all M1-M5 model saturation margins >=0; tail within 10% and each branch within 15% of nominal; 0.05<VX<1.75,
stage_status,DAY2_FIRST_STAGE_CHARACTERIZED_NOT_FINAL_OTA,
