metric,value,unit
corner,tt,
temperature_c,27.0,degC
vdd_v,1.8,V
vcm_v,0.9,V
reference_current_ua,10.0,uA
supply_current_ua,48.3028011,uA
first_stage_power_uw,86.94504198,uW
tail_current_ua,38.3027987,uA
m1_current_ua,19.1513998,uA
m2_current_ua,19.1513998,uA
bias_voltage_v,0.658036427,V
tail_voltage_v,0.23362418,V
mirror_voltage_v,0.808229764,V
first_stage_output_v,0.808229764,V
m1_gm_id_vinv,20.22846157699658,1/V
m1_gm_gds_vv,160.8507767341589,V/V
m1_sat_margin_v,0.49774171080000007,V
m2_sat_margin_v,0.49774171080000007,V
m3_sat_margin_v,0.9245502618,V
m4_sat_margin_v,0.9245502618,V
m5_sat_margin_v,0.1350297821,V
ac_gain_1hz_db,41.4724848,dB
dc_gain_near_zero_vv,118.36196654545438,V/V
dc_gain_near_zero_db,41.46424344419303,dB
first_stage_3db_bandwidth_hz,8407829.442821704,Hz
first_stage_unity_gain_hz,576349414.416715,Hz
dc_operating_region_min_v,0.74,V
dc_operating_region_max_v,1.48,V
icmr_gain_reference_at_0p9v_db,41.4724848,dB
icmr_gain_delta_at_0p8v_db,0.4303962000000041,dB
icmr_gain_delta_at_1p3v_db,-5.304305699999993,dB
icmr_min_sat_margin_at_0p8v_v,0.0543994273,V
icmr_min_sat_margin_at_1p3v_v,0.159340588,V
icmr_criterion_min_v,0.74,V
icmr_criterion_max_v,1.2,V
icmr_covers_0p8_to_1p3,False,
icmr_criterion,1-Hz differential gain no more than 3 dB below its VCM=0.9 V value; all M1-M5 model saturation margins >=0; 0.05<VX<1.75,
dc_operating_region_criterion,"preliminary diagnostic only: tail within 10%, each branch within 15% of nominal, saturation margins >=0, 0.05<VX<1.75",
stage_status,DAY2_FIRST_STAGE_CHARACTERIZED_NOT_FINAL_OTA,
