 frequency       gain_db         phase_deg      
 1.00000000e+00  4.14724848e+01  1.79999993e+02 
 1.02329299e+00  4.14724848e+01  1.79999993e+02 
 1.04712855e+00  4.14724848e+01  1.79999992e+02 
 1.07151931e+00  4.14724848e+01  1.79999992e+02 
 1.09647820e+00  4.14724848e+01  1.79999992e+02 
 1.12201845e+00  4.14724848e+01  1.79999992e+02 
 1.14815362e+00  4.14724848e+01  1.79999992e+02 
 1.17489755e+00  4.14724848e+01  1.79999992e+02 
 1.20226443e+00  4.14724848e+01  1.79999991e+02 
 1.23026877e+00  4.14724848e+01  1.79999991e+02 
 1.25892541e+00  4.14724848e+01  1.79999991e+02 
 1.28824955e+00  4.14724848e+01  1.79999991e+02 
 1.31825674e+00  4.14724848e+01  1.79999991e+02 
 1.34896288e+00  4.14724848e+01  1.79999990e+02 
 1.38038426e+00  4.14724848e+01  1.79999990e+02 
 1.41253754e+00  4.14724848e+01  1.79999990e+02 
 1.44543977e+00  4.14724848e+01  1.79999990e+02 
 1.47910839e+00  4.14724848e+01  1.79999989e+02 
 1.51356125e+00  4.14724848e+01  1.79999989e+02 
 1.54881662e+00  4.14724848e+01  1.79999989e+02 
 1.58489319e+00  4.14724848e+01  1.79999989e+02 
 1.62181010e+00  4.14724848e+01  1.79999988e+02 
 1.65958691e+00  4.14724848e+01  1.79999988e+02 
 1.69824365e+00  4.14724848e+01  1.79999988e+02 
 1.73780083e+00  4.14724848e+01  1.79999988e+02 
 1.77827941e+00  4.14724848e+01  1.79999987e+02 
 1.81970086e+00  4.14724848e+01  1.79999987e+02 
 1.86208714e+00  4.14724848e+01  1.79999987e+02 
 1.90546072e+00  4.14724848e+01  1.79999986e+02 
 1.94984460e+00  4.14724848e+01  1.79999986e+02 
 1.99526231e+00  4.14724848e+01  1.79999986e+02 
 2.04173794e+00  4.14724848e+01  1.79999985e+02 
 2.08929613e+00  4.14724848e+01  1.79999985e+02 
 2.13796209e+00  4.14724848e+01  1.79999985e+02 
 2.18776162e+00  4.14724848e+01  1.79999984e+02 
 2.23872114e+00  4.14724848e+01  1.79999984e+02 
 2.29086765e+00  4.14724848e+01  1.79999984e+02 
 2.34422882e+00  4.14724848e+01  1.79999983e+02 
 2.39883292e+00  4.14724848e+01  1.79999983e+02 
 2.45470892e+00  4.14724848e+01  1.79999982e+02 
 2.51188643e+00  4.14724848e+01  1.79999982e+02 
 2.57039578e+00  4.14724848e+01  1.79999982e+02 
 2.63026799e+00  4.14724848e+01  1.79999981e+02 
 2.69153480e+00  4.14724848e+01  1.79999981e+02 
 2.75422870e+00  4.14724848e+01  1.79999980e+02 
 2.81838293e+00  4.14724848e+01  1.79999980e+02 
 2.88403150e+00  4.14724848e+01  1.79999979e+02 
 2.95120923e+00  4.14724848e+01  1.79999979e+02 
 3.01995172e+00  4.14724848e+01  1.79999978e+02 
 3.09029543e+00  4.14724848e+01  1.79999978e+02 
 3.16227766e+00  4.14724848e+01  1.79999977e+02 
 3.23593657e+00  4.14724848e+01  1.79999977e+02 
 3.31131121e+00  4.14724848e+01  1.79999976e+02 
 3.38844156e+00  4.14724848e+01  1.79999976e+02 
 3.46736850e+00  4.14724848e+01  1.79999975e+02 
 3.54813389e+00  4.14724848e+01  1.79999974e+02 
 3.63078055e+00  4.14724848e+01  1.79999974e+02 
 3.71535229e+00  4.14724848e+01  1.79999973e+02 
 3.80189396e+00  4.14724848e+01  1.79999973e+02 
 3.89045145e+00  4.14724848e+01  1.79999972e+02 
 3.98107171e+00  4.14724848e+01  1.79999971e+02 
 4.07380278e+00  4.14724848e+01  1.79999971e+02 
 4.16869383e+00  4.14724848e+01  1.79999970e+02 
 4.26579519e+00  4.14724848e+01  1.79999969e+02 
 4.36515832e+00  4.14724848e+01  1.79999969e+02 
 4.46683592e+00  4.14724848e+01  1.79999968e+02 
 4.57088190e+00  4.14724848e+01  1.79999967e+02 
 4.67735141e+00  4.14724848e+01  1.79999966e+02 
 4.78630092e+00  4.14724848e+01  1.79999966e+02 
 4.89778819e+00  4.14724848e+01  1.79999965e+02 
 5.01187234e+00  4.14724848e+01  1.79999964e+02 
 5.12861384e+00  4.14724848e+01  1.79999963e+02 
 5.24807460e+00  4.14724848e+01  1.79999962e+02 
 5.37031796e+00  4.14724848e+01  1.79999961e+02 
 5.49540874e+00  4.14724848e+01  1.79999961e+02 
 5.62341325e+00  4.14724848e+01  1.79999960e+02 
 5.75439937e+00  4.14724848e+01  1.79999959e+02 
 5.88843655e+00  4.14724848e+01  1.79999958e+02 
 6.02559586e+00  4.14724848e+01  1.79999957e+02 
 6.16595002e+00  4.14724848e+01  1.79999956e+02 
 6.30957344e+00  4.14724848e+01  1.79999955e+02 
 6.45654229e+00  4.14724848e+01  1.79999954e+02 
 6.60693448e+00  4.14724848e+01  1.79999953e+02 
 6.76082975e+00  4.14724848e+01  1.79999951e+02 
 6.91830971e+00  4.14724848e+01  1.79999950e+02 
 7.07945784e+00  4.14724848e+01  1.79999949e+02 
 7.24435960e+00  4.14724848e+01  1.79999948e+02 
 7.41310241e+00  4.14724848e+01  1.79999947e+02 
 7.58577575e+00  4.14724848e+01  1.79999945e+02 
 7.76247117e+00  4.14724848e+01  1.79999944e+02 
 7.94328235e+00  4.14724848e+01  1.79999943e+02 
 8.12830516e+00  4.14724848e+01  1.79999942e+02 
 8.31763771e+00  4.14724848e+01  1.79999940e+02 
 8.51138038e+00  4.14724848e+01  1.79999939e+02 
 8.70963590e+00  4.14724848e+01  1.79999937e+02 
 8.91250938e+00  4.14724848e+01  1.79999936e+02 
 9.12010839e+00  4.14724848e+01  1.79999934e+02 
 9.33254301e+00  4.14724848e+01  1.79999933e+02 
 9.54992586e+00  4.14724848e+01  1.79999931e+02 
 9.77237221e+00  4.14724848e+01  1.79999930e+02 
 1.00000000e+01  4.14724848e+01  1.79999928e+02 
 1.02329299e+01  4.14724848e+01  1.79999926e+02 
 1.04712855e+01  4.14724848e+01  1.79999925e+02 
 1.07151931e+01  4.14724848e+01  1.79999923e+02 
 1.09647820e+01  4.14724848e+01  1.79999921e+02 
 1.12201845e+01  4.14724848e+01  1.79999919e+02 
 1.14815362e+01  4.14724848e+01  1.79999917e+02 
 1.17489755e+01  4.14724848e+01  1.79999916e+02 
 1.20226443e+01  4.14724848e+01  1.79999914e+02 
