quantity,value
vbn_v,0.658036427
tail_v,0.214453684
nmir_v,0.766995612
vx_v,0.766995612
m1_id_a,1.90343028e-05
m2_id_a,1.90343028e-05
m3_id_a,1.9034304e-05
m4_id_a,1.9034304e-05
m5_id_a,3.80686048e-05
m1_gm_s,0.000382140972
m1_gds_s,3.98228479e-06
m2_gm_s,0.000382140972
m2_gds_s,3.98228479e-06
m3_gm_s,0.000306710386
m3_gds_s,7.95274406e-07
m4_gm_s,0.000306710386
m4_gds_s,7.95274406e-07
m5_gm_s,0.000642097501
m5_gds_s,1.31866188e-05
m1_vdsat_v,0.074687359
m2_vdsat_v,0.074687359
m3_vdsat_v,0.0824352104
m4_vdsat_v,0.0824352104
m5_vdsat_v,0.0985943847
idd_a,4.80686071e-05
