metric,value,unit
corner,tt,
temperature_c,27.0,degC
vdd_v,1.8,V
vcm_v,0.9,V
reference_current_ua,10.0,uA
supply_current_ua,48.0686071,uA
first_stage_power_uw,86.52349278,uW
tail_current_ua,38.0686048,uA
m1_current_ua,19.0343028,uA
m2_current_ua,19.0343028,uA
bias_voltage_v,0.658036427,V
tail_voltage_v,0.214453684,V
mirror_voltage_v,0.766995612,V
first_stage_output_v,0.766995612,V
m1_gm_id_vinv,20.076436527005338,1/V
m1_gm_gds_vv,95.96023191500576,V/V
m1_sat_margin_v,0.477854569,V
m2_sat_margin_v,0.477854569,V
m3_sat_margin_v,0.9505691776000001,V
m4_sat_margin_v,0.9505691776000001,V
m5_sat_margin_v,0.11585929930000001,V
ac_gain_1hz_db,38.0483169,dB
dc_gain_near_zero_vv,79.84440999999951,V/V
dc_gain_near_zero_db,38.044890321541295,dB
first_stage_3db_bandwidth_hz,24335567.789422747,Hz
first_stage_unity_gain_hz,nan,Hz
dc_operating_region_min_v,0.76,V
dc_operating_region_max_v,1.46,V
icmr_gain_reference_at_0p9v_db,38.0483169,dB
icmr_gain_delta_at_0p8v_db,0.48635329999999755,dB
icmr_gain_delta_at_1p3v_db,-5.986701700000005,dB
icmr_min_sat_margin_at_0p8v_v,0.0353696872,V
icmr_min_sat_margin_at_1p3v_v,0.138339022,V
icmr_criterion_min_v,0.76,V
icmr_criterion_max_v,1.18,V
icmr_covers_0p8_to_1p3,False,
icmr_criterion,1-Hz differential gain no more than 3 dB below its VCM=0.9 V value; all M1-M5 model saturation margins >=0; 0.05<VX<1.75,
dc_operating_region_criterion,"preliminary diagnostic only: tail within 10%, each branch within 15% of nominal, saturation margins >=0, 0.05<VX<1.75",
stage_status,DAY2_FIRST_STAGE_CHARACTERIZED_NOT_FINAL_OTA,
