 v-sweep         v(vx)           v(nmir)         v(tail)         m1_id           m2_id           m5_id          
-2.00000000e-02  1.73334245e+00  7.59924808e-01  2.17948098e-01  2.13211928e-05  1.67928134e-05  3.81140056e-05 
-1.99000000e-02  1.73305151e+00  7.59978928e-01  2.17943418e-01  2.13028140e-05  1.68111324e-05  3.81139457e-05 
-1.98000000e-02  1.73275728e+00  7.60033084e-01  2.17938762e-01  2.12844362e-05  1.68294505e-05  3.81138860e-05 
-1.97000000e-02  1.73245966e+00  7.60087278e-01  2.17934130e-01  2.12660598e-05  1.68477676e-05  3.81138267e-05 
-1.96000000e-02  1.73215857e+00  7.60141509e-01  2.17929521e-01  2.12476847e-05  1.68660837e-05  3.81137677e-05 
-1.95000000e-02  1.73185394e+00  7.60195776e-01  2.17924935e-01  2.12293113e-05  1.68843984e-05  3.81137090e-05 
-1.94000000e-02  1.73154568e+00  7.60250078e-01  2.17920373e-01  2.12109395e-05  1.69027118e-05  3.81136506e-05 
-1.93000000e-02  1.73123369e+00  7.60304417e-01  2.17915832e-01  2.11925696e-05  1.69210236e-05  3.81135924e-05 
-1.92000000e-02  1.73091789e+00  7.60358790e-01  2.17911314e-01  2.11742017e-05  1.69393336e-05  3.81135346e-05 
-1.91000000e-02  1.73059817e+00  7.60413198e-01  2.17906818e-01  2.11558359e-05  1.69576418e-05  3.81134770e-05 
-1.90000000e-02  1.73027444e+00  7.60467641e-01  2.17902344e-01  2.11374725e-05  1.69759478e-05  3.81134197e-05 
-1.89000000e-02  1.72994660e+00  7.60522117e-01  2.17897891e-01  2.11191117e-05  1.69942517e-05  3.81133627e-05 
-1.88000000e-02  1.72961453e+00  7.60576626e-01  2.17893459e-01  2.11007535e-05  1.70125531e-05  3.81133059e-05 
-1.87000000e-02  1.72927812e+00  7.60631169e-01  2.17889048e-01  2.10823982e-05  1.70308519e-05  3.81132494e-05 
-1.86000000e-02  1.72893726e+00  7.60685744e-01  2.17884658e-01  2.10640459e-05  1.70491479e-05  3.81131932e-05 
-1.85000000e-02  1.72859182e+00  7.60740350e-01  2.17880287e-01  2.10456969e-05  1.70674410e-05  3.81131372e-05 
-1.84000000e-02  1.72824169e+00  7.60794988e-01  2.17875936e-01  2.10273514e-05  1.70857308e-05  3.81130814e-05 
-1.83000000e-02  1.72788671e+00  7.60849657e-01  2.17871604e-01  2.10090095e-05  1.71040172e-05  3.81130260e-05 
-1.82000000e-02  1.72752677e+00  7.60904355e-01  2.17867291e-01  2.09906715e-05  1.71222999e-05  3.81129707e-05 
-1.81000000e-02  1.72716172e+00  7.60959084e-01  2.17862997e-01  2.09723376e-05  1.71405788e-05  3.81129157e-05 
-1.80000000e-02  1.72679140e+00  7.61013841e-01  2.17858721e-01  2.09540080e-05  1.71588535e-05  3.81128609e-05 
-1.79000000e-02  1.72641566e+00  7.61068626e-01  2.17854462e-01  2.09356831e-05  1.71771239e-05  3.81128063e-05 
-1.78000000e-02  1.72603435e+00  7.61123438e-01  2.17850220e-01  2.09173629e-05  1.71953897e-05  3.81127520e-05 
-1.77000000e-02  1.72564728e+00  7.61178278e-01  2.17845995e-01  2.08990479e-05  1.72136506e-05  3.81126978e-05 
-1.76000000e-02  1.72525429e+00  7.61233143e-01  2.17841785e-01  2.08807382e-05  1.72319064e-05  3.81126439e-05 
-1.75000000e-02  1.72485519e+00  7.61288033e-01  2.17837592e-01  2.08624342e-05  1.72501567e-05  3.81125902e-05 
-1.74000000e-02  1.72444979e+00  7.61342948e-01  2.17833413e-01  2.08441361e-05  1.72684012e-05  3.81125366e-05 
-1.73000000e-02  1.72403787e+00  7.61397886e-01  2.17829248e-01  2.08258443e-05  1.72866397e-05  3.81124833e-05 
-1.72000000e-02  1.72361924e+00  7.61452847e-01  2.17825097e-01  2.08075590e-05  1.73048718e-05  3.81124301e-05 
-1.71000000e-02  1.72319366e+00  7.61507828e-01  2.17820959e-01  2.07892806e-05  1.73230971e-05  3.81123770e-05 
-1.70000000e-02  1.72276091e+00  7.61562831e-01  2.17816834e-01  2.07710095e-05  1.73413154e-05  3.81123242e-05 
-1.69000000e-02  1.72232074e+00  7.61617853e-01  2.17812720e-01  2.07527460e-05  1.73595261e-05  3.81122714e-05 
-1.68000000e-02  1.72187289e+00  7.61672893e-01  2.17808616e-01  2.07344904e-05  1.73777291e-05  3.81122188e-05 
-1.67000000e-02  1.72141710e+00  7.61727950e-01  2.17804523e-01  2.07162433e-05  1.73959237e-05  3.81121664e-05 
-1.66000000e-02  1.72095307e+00  7.61783023e-01  2.17800439e-01  2.06980050e-05  1.74141097e-05  3.81121140e-05 
-1.65000000e-02  1.72048051e+00  7.61838110e-01  2.17796363e-01  2.06797759e-05  1.74322865e-05  3.81120618e-05 
-1.64000000e-02  1.71999911e+00  7.61893211e-01  2.17792294e-01  2.06615566e-05  1.74504537e-05  3.81120096e-05 
-1.63000000e-02  1.71950854e+00  7.61948323e-01  2.17788232e-01  2.06433474e-05  1.74686108e-05  3.81119575e-05 
-1.62000000e-02  1.71900844e+00  7.62003446e-01  2.17784175e-01  2.06251489e-05  1.74867573e-05  3.81119055e-05 
-1.61000000e-02  1.71849844e+00  7.62058577e-01  2.17780123e-01  2.06069617e-05  1.75048926e-05  3.81118536e-05 
-1.60000000e-02  1.71797817e+00  7.62113715e-01  2.17776073e-01  2.05887862e-05  1.75230161e-05  3.81118017e-05 
-1.59000000e-02  1.71744719e+00  7.62168857e-01  2.17772025e-01  2.05706232e-05  1.75411273e-05  3.81117498e-05 
-1.58000000e-02  1.71690509e+00  7.62224003e-01  2.17767978e-01  2.05524731e-05  1.75592254e-05  3.81116979e-05 
-1.57000000e-02  1.71635140e+00  7.62279150e-01  2.17763930e-01  2.05343367e-05  1.75773099e-05  3.81116460e-05 
-1.56000000e-02  1.71578563e+00  7.62334296e-01  2.17759879e-01  2.05162147e-05  1.75953800e-05  3.81115940e-05 
-1.55000000e-02  1.71520727e+00  7.62389439e-01  2.17755825e-01  2.04981078e-05  1.76134349e-05  3.81115420e-05 
-1.54000000e-02  1.71461575e+00  7.62444576e-01  2.17751765e-01  2.04800168e-05  1.76314738e-05  3.81114900e-05 
-1.53000000e-02  1.71401051e+00  7.62499704e-01  2.17747698e-01  2.04619426e-05  1.76494960e-05  3.81114378e-05 
-1.52000000e-02  1.71339094e+00  7.62554822e-01  2.17743622e-01  2.04438859e-05  1.76675004e-05  3.81113856e-05 
-1.51000000e-02  1.71275637e+00  7.62609926e-01  2.17739535e-01  2.04258477e-05  1.76854862e-05  3.81113332e-05 
