 frequency       ad              ad              vdiff           vdiff	manifest_sha256
 1.00000000e+00  2.46080118e+03 -3.44186652e-01  1.00000000e+00 -8.71835125e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.46080115e+03 -4.41013518e-01  1.00000000e+00 -7.04842821e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+00  2.46080110e+03 -5.61325954e-01  1.00000000e+00 -5.66051008e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+00  2.46080103e+03 -7.11531031e-01  1.00000000e+00 -4.52724913e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+00  2.46080090e+03 -8.99627703e-01  1.00000000e+00 -3.61163235e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.46080071e+03 -1.13563278e+00  1.00000000e+00 -2.87659614e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.46080040e+03 -1.43211433e+00  1.00000000e+00 -2.28885921e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.46079991e+03 -1.80486097e+00  1.00000000e+00 -1.82006040e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.30957344e+00  2.46079913e+03 -2.27372261e+00  1.00000000e+00 -1.44670696e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+00  2.46079790e+03 -2.86366741e+00  1.00000000e+00 -1.14965443e-21	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+01  2.46079595e+03 -3.60611121e+00  1.00000000e+00 -9.13453567e-22	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
