 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 1.00000000e+01  6.84666434e-03  2.82966571e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.02329299e+01  6.77983460e-03  2.80204568e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.04712855e+01  6.71366037e-03  2.77469657e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07151931e+01  6.64813517e-03  2.74761569e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.09647820e+01  6.58325259e-03  2.72080041e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+01  6.51900629e-03  2.69424810e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14815362e+01  6.45538999e-03  2.66795617e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.17489755e+01  6.39239748e-03  2.64192205e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.20226443e+01  6.33002261e-03  2.61614319e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23026877e+01  6.26825927e-03  2.59061708e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+01  6.20710143e-03  2.56534123e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28824955e+01  6.14654313e-03  2.54031316e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.31825674e+01  6.08657845e-03  2.51553043e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.34896288e+01  6.02720153e-03  2.49099062e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38038426e+01  5.96840658e-03  2.46669134e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+01  5.91018786e-03  2.44263022e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.44543977e+01  5.85253969e-03  2.41880490e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.47910839e+01  5.79545644e-03  2.39521307e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.51356125e+01  5.73893254e-03  2.37185241e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.54881662e+01  5.68296247e-03  2.34872066e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+01  5.62754078e-03  2.32581555e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.62181010e+01  5.57266207e-03  2.30313485e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.65958691e+01  5.51832098e-03  2.28067636e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.69824365e+01  5.46451221e-03  2.25843787e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.73780083e+01  5.41123051e-03  2.23641723e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.77827941e+01  5.35847070e-03  2.21461228e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.81970086e+01  5.30622762e-03  2.19302090e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.86208714e+01  5.25449620e-03  2.17164099e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.90546072e+01  5.20327138e-03  2.15047047e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.94984460e+01  5.15254818e-03  2.12950726e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.99526231e+01  5.10232165e-03  2.10874934e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.04173794e+01  5.05258690e-03  2.08819467e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.08929613e+01  5.00333910e-03  2.06784126e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.13796209e+01  4.95457344e-03  2.04768713e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.18776162e+01  4.90628517e-03  2.02773031e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.23872114e+01  4.85846959e-03  2.00796885e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.29086765e+01  4.81112206e-03  1.98840085e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.34422882e+01  4.76423795e-03  1.96902439e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.39883292e+01  4.71781271e-03  1.94983758e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.45470892e+01  4.67184183e-03  1.93083856e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+01  4.62632081e-03  1.91202549e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.57039578e+01  4.58124525e-03  1.89339653e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.63026799e+01  4.53661075e-03  1.87494987e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.69153480e+01  4.49241297e-03  1.85668371e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.75422870e+01  4.44864762e-03  1.83859629e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+01  4.40531043e-03  1.82068584e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.88403150e+01  4.36239720e-03  1.80295062e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.95120923e+01  4.31990375e-03  1.78538891e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.01995172e+01  4.27782595e-03  1.76799900e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.09029543e+01  4.23615971e-03  1.75077920e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+01  4.19490099e-03  1.73372784e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.23593657e+01  4.15404576e-03  1.71684326e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
