 v-sweep         command         v(DRIVE)        v(VOUT)         v(VINN)         v(XOTA.VX)      m6_id           m6_vdsat        m7_id           m7_vdsat	manifest_sha256
 0.00000000e+00  1.80000000e+00  0.00000000e+00  1.78092116e+00  8.90460581e-01  3.49696753e-01  1.08113182e-08  4.05157367e-02  1.79090784e-05  1.64168338e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e-02  1.79000000e+00  1.00000000e-02  1.78025883e+00  8.95129416e-01  5.09210816e-01  5.97664925e-07  4.32924293e-02  1.84891854e-05  1.64168543e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.00000000e-02  1.78000000e+00  2.00000000e-02  1.77415320e+00  8.97076599e-01  6.12283887e-01  5.87316244e-06  6.10800311e-02  2.37058993e-05  1.64170434e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.00000000e-02  1.77000000e+00  3.00000000e-02  1.76554424e+00  8.97772122e-01  6.52825710e-01  1.29124219e-05  7.70008020e-02  3.06611965e-05  1.64173100e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.00000000e-02  1.76000000e+00  4.00000000e-02  1.75636548e+00  8.98182738e-01  6.77508691e-01  1.99054183e-05  8.92646706e-02  3.75636184e-05  1.64175944e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.00000000e-02  1.75000000e+00  5.00000000e-02  1.74694800e+00  8.98473998e-01  6.95321075e-01  2.65344288e-05  9.90884454e-02  4.40989214e-05  1.64178861e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.00000000e-02  1.74000000e+00  6.00000000e-02  1.73739612e+00  8.98698059e-01  7.09184008e-01  3.26982041e-05  1.07174284e-01  5.01670744e-05  1.64181819e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.00000000e-02  1.73000000e+00  7.00000000e-02  1.72775562e+00  8.98877810e-01  7.20400744e-01  3.83540774e-05  1.13934998e-01  5.57260067e-05  1.64184805e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.00000000e-02  1.72000000e+00  8.00000000e-02  1.71805067e+00  8.99025333e-01  7.29667166e-01  4.34831399e-05  1.19633841e-01  6.07571581e-05  1.64187812e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.00000000e-02  1.71000000e+00  9.00000000e-02  1.70829566e+00  8.99147831e-01  7.37401710e-01  4.80794822e-05  1.24450996e-01  6.52548457e-05  1.64190833e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e-01  1.70000000e+00  1.00000000e-01  1.69850000e+00  8.99250000e-01  7.43879725e-01  5.21465154e-05  1.28517659e-01  6.92226393e-05  1.64193868e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10000000e-01  1.69000000e+00  1.10000000e-01  1.68867031e+00  8.99335157e-01  7.49297250e-01  5.56960022e-05  1.31935219e-01  7.26724176e-05  1.64196912e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.20000000e-01  1.68000000e+00  1.20000000e-01  1.67881163e+00  8.99405816e-01  7.53804990e-01  5.87482593e-05  1.34786977e-01  7.56245876e-05  1.64199966e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30000000e-01  1.67000000e+00  1.30000000e-01  1.66892809e+00  8.99464046e-01  7.57527924e-01  6.13326802e-05  1.37145673e-01  7.81086180e-05  1.64203028e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.40000000e-01  1.66000000e+00  1.40000000e-01  1.65902330e+00  8.99511650e-01  7.60576923e-01  6.34878969e-05  1.39078275e-01  8.01632016e-05  1.64206096e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.50000000e-01  1.65000000e+00  1.50000000e-01  1.64910025e+00  8.99550127e-01  7.63055180e-01  6.52610626e-05  1.40648630e-01  8.18353712e-05  1.64209170e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.60000000e-01  1.64000000e+00  1.60000000e-01  1.63916298e+00  8.99581488e-01  7.65058706e-01  6.67043375e-05  1.41916982e-01  8.31778392e-05  1.64212248e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.70000000e-01  1.63000000e+00  1.70000000e-01  1.62921337e+00  8.99606683e-01  7.66678236e-01  6.78733173e-05  1.42940721e-01  8.42457411e-05  1.64215330e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.80000000e-01  1.62000000e+00  1.80000000e-01  1.61925427e+00  8.99627137e-01  7.67993871e-01  6.88207297e-05  1.43770719e-01  8.50920004e-05  1.64218415e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.90000000e-01  1.61000000e+00  1.90000000e-01  1.60928781e+00  8.99643903e-01  7.69074315e-01  6.95940510e-05  1.44450706e-01  8.57641126e-05  1.64221503e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.00000000e-01  1.60000000e+00  2.00000000e-01  1.59931580e+00  8.99657902e-01  7.69975601e-01  7.02332549e-05  1.45016391e-01  8.63020910e-05  1.64224592e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.10000000e-01  1.59000000e+00  2.10000000e-01  1.58933959e+00  8.99669797e-01  7.70741744e-01  7.07704310e-05  1.45495840e-01  8.67380293e-05  1.64227682e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.20000000e-01  1.58000000e+00  2.20000000e-01  1.57936022e+00  8.99680111e-01  7.71406252e-01  7.12303794e-05  1.45910429e-01  8.70967383e-05  1.64230774e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.30000000e-01  1.57000000e+00  2.30000000e-01  1.56937846e+00  8.99689232e-01  7.71994141e-01  7.16318152e-05  1.46276117e-01  8.73969411e-05  1.64233866e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.40000000e-01  1.56000000e+00  2.40000000e-01  1.55939490e+00  8.99697449e-01  7.72523881e-01  7.19886662e-05  1.46604690e-01  8.76525701e-05  1.64236959e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.50000000e-01  1.55000000e+00  2.50000000e-01  1.54940994e+00  8.99704972e-01  7.73009056e-01  7.23112364e-05  1.46904816e-01  8.78739327e-05  1.64240052e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.60000000e-01  1.54000000e+00  2.60000000e-01  1.53942392e+00  8.99711958e-01  7.73459671e-01  7.26071495e-05  1.47182881e-01  8.80686545e-05  1.64243146e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.70000000e-01  1.53000000e+00  2.70000000e-01  1.52943704e+00  8.99718520e-01  7.73883138e-01  7.28820713e-05  1.47443614e-01  8.82424020e-05  1.64246239e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.80000000e-01  1.52000000e+00  2.80000000e-01  1.51944949e+00  8.99724746e-01  7.74284991e-01  7.31402426e-05  1.47690547e-01  8.83994164e-05  1.64249334e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.90000000e-01  1.51000000e+00  2.90000000e-01  1.50946140e+00  8.99730699e-01  7.74669401e-01  7.33848670e-05  1.47926342e-01  8.85429013e-05  1.64252428e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.00000000e-01  1.50000000e+00  3.00000000e-01  1.49947286e+00  8.99736430e-01  7.75039547e-01  7.36183892e-05  1.48153028e-01  8.86753008e-05  1.64255522e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
