 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.51949022e+03 -3.20550597e-01  1.00000000e+00 -8.11964310e-21  2.51949022e+03 -3.20550597e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.51949022e+03 -3.27462213e-01  1.00000000e+00 -7.98242560e-21  2.51949022e+03 -3.27462213e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.51949022e+03 -3.34494401e-01  1.00000000e+00 -7.84685948e-21  2.51949022e+03 -3.34494401e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.51949022e+03 -3.41649748e-01  1.00000000e+00 -7.71296685e-21  2.51949022e+03 -3.41649748e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.51949022e+03 -3.48930891e-01  1.00000000e+00 -7.58076644e-21  2.51949022e+03 -3.48930891e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.51949021e+03 -3.56340509e-01  1.00000000e+00 -7.45027375e-21  2.51949021e+03 -3.56340509e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.51949021e+03 -3.63881332e-01  1.00000000e+00 -7.32150135e-21  2.51949021e+03 -3.63881332e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.51949021e+03 -3.71556135e-01  1.00000000e+00 -7.19445905e-21  2.51949021e+03 -3.71556135e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.51949021e+03 -3.79367745e-01  1.00000000e+00 -7.06915410e-21  2.51949021e+03 -3.79367745e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.51949020e+03 -3.87319037e-01  1.00000000e+00 -6.94559134e-21  2.51949020e+03 -3.87319037e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.51949020e+03 -3.95412940e-01  1.00000000e+00 -6.82377343e-21  2.51949020e+03 -3.95412940e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.51949020e+03 -4.03652433e-01  1.00000000e+00 -6.70370097e-21  2.51949020e+03 -4.03652433e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.51949020e+03 -4.12040550e-01  1.00000000e+00 -6.58537265e-21  2.51949020e+03 -4.12040550e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.51949019e+03 -4.20580380e-01  1.00000000e+00 -6.46878542e-21  2.51949019e+03 -4.20580380e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.51949019e+03 -4.29275067e-01  1.00000000e+00 -6.35393459e-21  2.51949019e+03 -4.29275067e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.51949019e+03 -4.38127813e-01  1.00000000e+00 -6.24081397e-21  2.51949019e+03 -4.38127813e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.51949018e+03 -4.47141877e-01  1.00000000e+00 -6.12941600e-21  2.51949018e+03 -4.47141877e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
