 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 1.00000000e+00  2.35598772e+03 -2.80070532e-01  1.00000000e+00  0.00000000e+00 -2.35598772e+03  2.80070532e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.01937349e+00  2.35598772e+03 -2.86154384e-01  1.00000000e+00  0.00000000e+00 -2.35598772e+03  2.86154384e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.03912230e+00  2.35598772e+03 -2.92343598e-01  1.00000000e+00  0.00000000e+00 -2.35598772e+03  2.92343598e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.05925373e+00  2.35598772e+03 -2.98640452e-01  1.00000000e+00  0.00000000e+00 -2.35598772e+03  2.98640452e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07977516e+00  2.35598771e+03 -3.05047265e-01  1.00000000e+00  0.00000000e+00 -2.35598771e+03  3.05047265e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.10069417e+00  2.35598771e+03 -3.11566396e-01  1.00000000e+00  0.00000000e+00 -2.35598771e+03  3.11566396e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+00  2.35598771e+03 -3.18200245e-01  1.00000000e+00  0.00000000e+00 -2.35598771e+03  3.18200245e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14375586e+00  2.35598771e+03 -3.24951256e-01  1.00000000e+00  0.00000000e+00 -2.35598771e+03  3.24951256e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.16591440e+00  2.35598771e+03 -3.31821912e-01  1.00000000e+00  0.00000000e+00 -2.35598771e+03  3.31821912e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.18850223e+00  2.35598771e+03 -3.38814746e-01  1.00000000e+00 -5.55111512e-17 -2.35598771e+03  3.38814746e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.21152766e+00  2.35598770e+03 -3.45932330e-01  1.00000000e+00  0.00000000e+00 -2.35598770e+03  3.45932330e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23499917e+00  2.35598770e+03 -3.53177286e-01  1.00000000e+00  0.00000000e+00 -2.35598770e+03  3.53177286e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+00  2.35598770e+03 -3.60552282e-01  1.00000000e+00  0.00000000e+00 -2.35598770e+03  3.60552282e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28331519e+00  2.35598770e+03 -3.68060032e-01  1.00000000e+00  0.00000000e+00 -2.35598770e+03  3.68060032e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.30817747e+00  2.35598769e+03 -3.75703301e-01  1.00000000e+00  0.00000000e+00 -2.35598769e+03  3.75703301e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.33352143e+00  2.35598769e+03 -3.83484904e-01  1.00000000e+00  0.00000000e+00 -2.35598769e+03  3.83484904e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.35935639e+00  2.35598769e+03 -3.91407706e-01  1.00000000e+00 -5.55111512e-17 -2.35598769e+03  3.91407706e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38569186e+00  2.35598769e+03 -3.99474623e-01  1.00000000e+00  0.00000000e+00 -2.35598769e+03  3.99474623e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+00  2.35598768e+03 -4.07688626e-01  1.00000000e+00  0.00000000e+00 -2.35598768e+03  4.07688626e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.43990332e+00  2.35598768e+03 -4.16052740e-01  1.00000000e+00  0.00000000e+00 -2.35598768e+03  4.16052740e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.46779927e+00  2.35598768e+03 -4.24570044e-01  1.00000000e+00 -5.55111512e-17 -2.35598768e+03  4.24570044e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.49623566e+00  2.35598767e+03 -4.33243673e-01  1.00000000e+00  0.00000000e+00 -2.35598767e+03  4.33243673e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
