component,canonical_pins,xschem_pins,canonical_model_or_value,xschem_model_or_value,status
CC1,NCOMP VOUT,NCOMP VOUT,"{""model"": ""capacitor"", ""value"": ""3p""}","{""model"": ""capacitor"", ""value"": ""3p""}",PASS
RZ1,VX NCOMP,VX NCOMP,"{""model"": ""resistor"", ""value"": ""2k""}","{""model"": ""resistor"", ""value"": ""2k""}",PASS
XM1,NMIR VINN TAIL VSS,NMIR VINN TAIL VSS,"{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""16.83798""}}","{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""16.83798""}}",PASS
XM10,VBN VBN VSS VSS,VBN VBN VSS VSS,"{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""8.08605""}}","{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""8.08605""}}",PASS
XM2,VX VINP TAIL VSS,VX VINP TAIL VSS,"{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""16.83798""}}","{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""16.83798""}}",PASS
XM3A,NMIR NMIR VDD VDD,NMIR NMIR VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}",PASS
XM3B,NMIR NMIR VDD VDD,NMIR NMIR VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}",PASS
XM4A,VX NMIR VDD VDD,VX NMIR VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}",PASS
XM4B,VX NMIR VDD VDD,VX NMIR VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25""}}",PASS
XM5,TAIL VBN VSS VSS,TAIL VBN VSS VSS,"{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25.8754""}}","{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""25.8754""}}",PASS
XM6,VOUT VX VSS VSS,VOUT VX VSS VSS,"{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""8.83907427""}}","{""model"": ""sky130_fd_pr__nfet_01v8"", ""value"": {""l"": ""0.5"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""8.83907427""}}",PASS
XM7,VOUT IREF VDD VDD,VOUT IREF VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""72.2005""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""72.2005""}}",PASS
XM8,IREF IREF VDD VDD,IREF IREF VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""7.22005""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""7.22005""}}",PASS
XM9,VBN IREF VDD VDD,VBN IREF VDD VDD,"{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""7.22005""}}","{""model"": ""sky130_fd_pr__pfet_01v8"", ""value"": {""l"": ""0.8"", ""mult"": ""1"", ""nf"": ""1"", ""w"": ""7.22005""}}",PASS
