metric,scope,hard_target,stretch_target,nominal_result,worst_pvt_result,worst_condition,unit,status,evidence_path,notes,manifest_sha256
Open-loop DC gain,13-point PVT,>=50,>=60,67.67595287,65.53507816243949,P08,dB,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Unity-gain bandwidth,13-point PVT,>=5,>=10,16.74544794,14.552699402270825,P08,MHz,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Phase margin,13-point PVT,>=55,>=65,69.08291044,66.24518641850683,P13,deg,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Quiescent power,13-point PVT,<=600,<=400,270.536967,302.70961908000004,P13,uW,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Positive slew rate,13-point PVT,>=2,>=4,8.202029183,7.97766493166956,P06,V/us,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Negative slew rate,13-point PVT,>=2,>=4,11.51994781,11.1958207806859,P08,V/us,PASS,results/pvt_summary.csv,External ideal 10-uA IREF; schematic-level PVT,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1% settling time,Nominal,<=1.5,<=1.0,0.07475,N/A_NOT_SWEPT,N/A_NOT_SWEPT,us,PASS,results/pvt_summary.csv,Worst of rising/falling; input 50% time reference,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
CMRR at 1 kHz,Nominal,>=55,>=65,71.32221501,N/A_NOT_SWEPT,N/A_NOT_SWEPT,dB,PASS,results/day4_cmrr_psrr_curves.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PSRR+ at 1 kHz,Nominal,>=45,>=55,36.33134312,N/A_NOT_SWEPT,N/A_NOT_SWEPT,dB,PSRR_PLUS_FAIL,results/day4_cmrr_psrr_curves.csv,,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PSRR- at 1 kHz,Nominal,>=45,>=55,36.2510077,N/A_NOT_SWEPT,N/A_NOT_SWEPT,dB,PSRR_MINUS_FAIL,results/day4_cmrr_psrr_curves.csv,Explicit VSS perturbation,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
ICMR low endpoint,Nominal,<=0.8,lower is better,0.76,N/A_NOT_SWEPT,N/A_NOT_SWEPT,V,PASS,results/day4_icmr_sweep.csv,Combined interval status: ICMR_FAIL,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
ICMR high endpoint,Nominal,>=1.3,higher is better,1.22,N/A_NOT_SWEPT,N/A_NOT_SWEPT,V,ICMR_HIGH_FAIL,results/day4_icmr_sweep.csv,Combined interval status: ICMR_FAIL,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Output-swing low endpoint,Nominal,<=0.3,lower is better,0.18,N/A_NOT_SWEPT,N/A_NOT_SWEPT,V,PASS,results/day4_output_swing_sweep.csv,Combined interval status: PASS; forward/reverse sweep,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Output-swing high endpoint,Nominal,>=1.5,higher is better,1.63,N/A_NOT_SWEPT,N/A_NOT_SWEPT,V,PASS,results/day4_output_swing_sweep.csv,Combined interval status: PASS; forward/reverse sweep,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Input-referred noise density at 1 kHz,Nominal,REPORT,lower is better,401.170045,N/A_NOT_SWEPT,N/A_NOT_SWEPT,nV/sqrtHz,REPORTED,results/day4_noise_curve.csv,No pass threshold; 24 model conductance-reset warnings retained,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
Integrated input-referred noise 10 Hz-1 MHz,Nominal,REPORT,lower is better,52.30162408,N/A_NOT_SWEPT,N/A_NOT_SWEPT,uV_rms,REPORTED,results/day4_noise_curve.csv,Numerical integration; 24 model conductance-reset warnings retained,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PM at CL=1 pF,Nominal load sweep,>=55,>=65,94.16261628,N/A_NOT_SWEPT,N/A_NOT_SWEPT,deg,PASS,results/day4_load_stability.csv,RL=100 kOhm; transient must show no sustained/growing oscillation,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PM at CL=2 pF,Nominal load sweep,>=55,>=65,86.28820243,N/A_NOT_SWEPT,N/A_NOT_SWEPT,deg,PASS,results/day4_load_stability.csv,RL=100 kOhm; transient must show no sustained/growing oscillation,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
PM at CL=5 pF,Nominal load sweep,>=55,>=65,69.08291044,N/A_NOT_SWEPT,N/A_NOT_SWEPT,deg,PASS,results/day4_load_stability.csv,RL=100 kOhm; transient must show no sustained/growing oscillation,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
