side,bit,binary_unit_count,intrinsic_mim_cap_fF,extracted_top_coupling_fF,effective_top_coupling_fF,fraction_of_top_total,endpoint_weight_lsb,ideal_weight_lsb,weight_error_lsb
P,B0,1,19.845,8.04523,27.89023,0.000284575658204656,1.31980905640877,1,0.319809056408768
P,B1,2,39.69,16.2546,55.9446,0.00057082610534213,2.64738547287584,2,0.647385472875841
P,B2,4,79.38,18.8578,98.2378,0.00100236127832497,4.64876546811099,4,0.648765468110994
P,B3,8,158.76,24.1465,182.9065,0.00186627136554306,8.65542002256813,8,0.65542002256813
P,B4,16,317.52,34.3218,351.8418,0.00358998874584079,16.6497011341664,16,0.649701134166428
P,B5,32,635.04,54.6765,689.7165,0.0070374653404476,32.638457375739,32,0.638457375739037
P,B6,64,1270.08,81.5502,1351.6302,0.0137912471074742,63.9612430186338,64,-0.0387569813661628
P,B7,128,2540.16,162.52,2702.68,0.0275765721514868,127.895020606673,128,-0.104979393327042
P,B8,256,5080.32,324.99,5405.31,0.0551526341321031,255.787675135589,256,-0.212324864411073
P,B9,512,10160.64,649.98,10810.62,0.110305268264206,511.575350271175,512,-0.424649728824988
P,B10,1024,20321.28,1299.96,21621.24,0.220610536528415,1023.15070054237,1024,-0.849299457630536
P,B11,2048,40642.56,2595.04,43237.6,0.441171280379888,2046.07047189569,2048,-1.92952810430938
N,B0,1,19.845,8.17169,28.01669,0.000285868126707744,1.32579293794633,1,0.325792937946328
N,B1,2,39.69,16.2426,55.9326,0.000570707945295949,2.64681681101432,2,0.646816811014319
N,B2,4,79.38,18.8508,98.2308,0.00100229737278041,4.64843280661699,4,0.648432806616988
N,B3,8,158.76,24.1465,182.9065,0.00186628536481897,8.65541739600502,8,0.655417396005022
N,B4,16,317.52,34.3218,351.8418,0.00359001567506657,16.6496960816686,16,0.649696081668608
N,B5,32,635.04,54.6765,689.7165,0.00703751812988692,32.6384474713129,32,0.638447471312929
N,B6,64,1270.08,81.359,1351.439,0.0137893996503436,63.9521757304394,64,-0.0478242695605928
N,B7,128,2540.16,162.52,2702.68,0.0275767790088867,127.894981795807,128,-0.105018204192604
N,B8,256,5080.32,324.99,5405.31,0.0551530478430761,255.787597514576,256,-0.212402485424178
N,B9,512,10160.64,649.98,10810.62,0.110306095686152,511.575195029149,512,-0.424804970851199
N,B10,1024,20321.28,1299.96,21621.24,0.220612191372307,1023.15039005832,1024,-0.849609941682957
N,B11,2048,40642.56,2595.15,43237.71,0.4411757120785,2046.07505636715,2048,-1.92494363285277
