frame,input_v,valid_time_s,bus_code,log_code,comparator_word,bus_valid,passed,ideal_code_diagnostic_only
0,-0.399,1.1003500000003246e-05,5,5,5,True,True,5
1,0.399,2.1003500000003208e-05,4090,4090,4090,True,True,4090
2,-4.8828125e-05,3.1003500000004014e-05,2047,2047,2047,True,True,2047
3,4.8828125e-05,4.100350000000337e-05,2048,2048,2048,True,True,2048
4,-0.38037109375,5.100350000000105e-05,100,100,100,True,True,100
5,0.38037109375,6.100350000000323e-05,3995,3995,3995,True,True,3995
6,-0.08720703125000001,7.100349999999843e-05,1601,1601,1601,True,True,1601
7,0.18603515625,8.10035000000015e-05,3000,3000,3000,True,True,3000
8,-0.027441406250000022,9.100350000000109e-05,1907,1907,1907,True,True,1907
9,0.030371093750000022,0.00010100350000003098,2203,2203,2203,True,True,2203
10,0.09951171874999998,0.00011100350000000575,2557,2557,2557,True,True,2557
11,0.24677734375000004,0.00012100350000003174,3311,3311,3311,True,True,3311
