 time                v(src)              v(sample)           v(hold)             v(acq)              v(conv)             i(vdd)             
 2.000000000000e-11  9.000000000000e-01  9.145305989254e-01  9.001556930958e-01  1.800000000000e+00  0.000000000000e+00 -1.335737768041e-03 
 2.001263046177e-11  9.000000000000e-01  9.141812785775e-01  9.001557706622e-01  1.800000000000e+00  0.000000000000e+00 -1.141364908627e-03 
 2.003789138530e-11  9.000000000000e-01  9.135427514329e-01  9.001558946710e-01  1.800000000000e+00  0.000000000000e+00 -8.382335085489e-04 
 2.008841323237e-11  9.000000000000e-01  9.122993044792e-01  9.001560472700e-01  1.800000000000e+00  0.000000000000e+00 -5.628108460249e-04 
 2.018870538411e-11  9.000000000000e-01  9.098385716545e-01  9.001561680258e-01  1.800000000000e+00  0.000000000000e+00 -4.096349572653e-04 
 2.030285610492e-11  9.000000000000e-01  9.071559540873e-01  9.001561787339e-01  1.800000000000e+00  0.000000000000e+00 -3.830767877046e-04 
 2.053115754652e-11  9.000000000000e-01  9.025420463021e-01  9.001560744016e-01  1.800000000000e+00  0.000000000000e+00 -3.613418239935e-04 
 2.090070080270e-11  9.000000000000e-01  8.971293705589e-01  9.001557755767e-01  1.800000000000e+00  0.000000000000e+00 -3.389988604738e-04 
 2.134034505494e-11  9.000000000000e-01  8.948883311566e-01  9.001554401928e-01  1.800000000000e+00  0.000000000000e+00 -3.434556791129e-04 
 2.181498196702e-11  9.000000000000e-01  8.940720884125e-01  9.001551284311e-01  1.800000000000e+00  0.000000000000e+00 -3.265812623003e-04 
 2.256276813107e-11  9.000000000000e-01  8.938467919597e-01  9.001546936376e-01  1.800000000000e+00  0.000000000000e+00 -3.025406246244e-04 
 2.395732644438e-11  9.000000000000e-01  8.946463436581e-01  9.001540108225e-01  1.800000000000e+00  0.000000000000e+00 -2.668899498039e-04 
 2.533023164915e-11  9.000000000000e-01  8.958067899081e-01  9.001534856274e-01  1.800000000000e+00  0.000000000000e+00 -2.369267996198e-04 
 2.751048763742e-11  9.000000000000e-01  8.972951652372e-01  9.001528872821e-01  1.800000000000e+00  0.000000000000e+00 -1.955313110799e-04 
 2.997610824386e-11  9.000000000000e-01  8.983832885512e-01  9.001524582885e-01  1.800000000000e+00  0.000000000000e+00 -1.564659667624e-04 
 3.325629807683e-11  9.000000000000e-01  8.992103716077e-01  9.001521353883e-01  1.800000000000e+00  0.000000000000e+00 -1.154072663129e-04 
 3.643057050957e-11  9.000000000000e-01  8.996239014236e-01  9.001519814165e-01  1.800000000000e+00  0.000000000000e+00 -8.559872339929e-05 
 4.039115050114e-11  9.000000000000e-01  8.998743961800e-01  9.001518966744e-01  1.800000000000e+00  0.000000000000e+00 -5.869652462211e-05 
 4.448085545342e-11  9.000000000000e-01  8.999798482781e-01  9.001518677293e-01  1.800000000000e+00  0.000000000000e+00 -3.966929161158e-05 
 4.955137675667e-11  9.000000000000e-01  9.000220108353e-01  9.001518615871e-01  1.800000000000e+00  0.000000000000e+00 -2.428797958298e-05 
 5.499851996929e-11  9.000000000000e-01  9.000286471963e-01  9.001518650920e-01  1.800000000000e+00  0.000000000000e+00 -1.428444956357e-05 
 6.193273271751e-11  9.000000000000e-01  9.000244295694e-01  9.001518691117e-01  1.800000000000e+00  0.000000000000e+00 -7.137431515886e-06 
 7.009686930870e-11  9.000000000000e-01  9.000187139158e-01  9.001518688164e-01  1.800000000000e+00  0.000000000000e+00 -3.012062067966e-06 
 7.975716571486e-11  9.000000000000e-01  9.000155903955e-01  9.001518631812e-01  1.800000000000e+00  0.000000000000e+00 -9.004270711639e-07 
 9.105635777561e-11  9.000000000000e-01  9.000147502480e-01  9.001518530726e-01  1.800000000000e+00  0.000000000000e+00 -5.428434381748e-08 
 1.051572823295e-10  9.000000000000e-01  9.000148253377e-01  9.001518387060e-01  1.800000000000e+00  0.000000000000e+00  1.517355894974e-07 
 1.236833782947e-10  9.000000000000e-01  9.000149996557e-01  9.001518190483e-01  1.800000000000e+00  0.000000000000e+00  1.459494359477e-07 
 1.486701714776e-10  9.000000000000e-01  9.000150647407e-01  9.001517924218e-01  1.800000000000e+00  0.000000000000e+00  6.468051042065e-08 
 1.919989551085e-10  9.000000000000e-01  9.000150635789e-01  9.001517464605e-01  1.800000000000e+00  0.000000000000e+00  2.435927683423e-10 
 2.786565223704e-10  9.000000000000e-01  9.000150471161e-01  9.001516547681e-01  1.800000000000e+00  0.000000000000e+00 -1.083938293236e-08 
 4.519716568940e-10  9.000000000000e-01  9.000150276579e-01  9.001514715874e-01  1.800000000000e+00  0.000000000000e+00 -3.532687233091e-09 
 7.824027977355e-10  9.000000000000e-01  9.000149932788e-01  9.001511229445e-01  1.800000000000e+00  0.000000000000e+00 -1.536227464767e-09 
 1.391201398868e-09  9.000000000000e-01  9.000149298013e-01  9.001504826838e-01  1.800000000000e+00  0.000000000000e+00 -1.654512576194e-09 
 2.000000000000e-09  9.000000000000e-01  9.000148665579e-01  9.001498451340e-01  1.800000000000e+00  0.000000000000e+00 -1.709632809016e-09 
 2.121759720226e-09  9.000000000000e-01  9.000148539469e-01  9.001497180031e-01  1.800000000000e+00  0.000000000000e+00 -1.710098561730e-09 
