 time                v(src)              v(sample)           v(hold)             v(acq)              v(conv)             i(vdd)             
 2.000000000000e-11  9.000000000000e-01  9.113039908581e-01  9.001111797333e-01  1.800000000000e+00  0.000000000000e+00 -1.242728807055e-03 
 2.001263046523e-11  9.000000000000e-01  9.109375781189e-01  9.001112373594e-01  1.800000000000e+00  0.000000000000e+00 -1.038072586547e-03 
 2.003789139569e-11  9.000000000000e-01  9.102801628793e-01  9.001113297949e-01  1.800000000000e+00  0.000000000000e+00 -7.604738907051e-04 
 2.008841325662e-11  9.000000000000e-01  9.090285160835e-01  9.001114403444e-01  1.800000000000e+00  0.000000000000e+00 -5.181559778451e-04 
 2.018873852541e-11  9.000000000000e-01  9.066225575092e-01  9.001115096818e-01  1.800000000000e+00  0.000000000000e+00 -3.876889553068e-04 
 2.030290314584e-11  9.000000000000e-01  9.041256936866e-01  9.001114861054e-01  1.800000000000e+00  0.000000000000e+00 -3.656339166911e-04 
 2.053123238671e-11  9.000000000000e-01  9.001933092760e-01  9.001113677805e-01  1.800000000000e+00  0.000000000000e+00 -3.501949618330e-04 
 2.092763173436e-11  9.000000000000e-01  8.963218153937e-01  9.001111478214e-01  1.800000000000e+00  0.000000000000e+00 -3.406555705762e-04 
 2.140736071735e-11  9.000000000000e-01  8.949858010710e-01  9.001109364974e-01  1.800000000000e+00  0.000000000000e+00 -3.251002546293e-04 
 2.227886390968e-11  9.000000000000e-01  8.950679096647e-01  9.001106499064e-01  1.800000000000e+00  0.000000000000e+00 -2.941489527568e-04 
 2.343202325139e-11  9.000000000000e-01  8.963793535868e-01  9.001104004762e-01  1.800000000000e+00  0.000000000000e+00 -2.615697849967e-04 
 2.478774673901e-11  9.000000000000e-01  8.978322386771e-01  9.001102464854e-01  1.800000000000e+00  0.000000000000e+00 -2.296667467322e-04 
 2.655142641250e-11  9.000000000000e-01  8.990006569030e-01  9.001101878579e-01  1.800000000000e+00  0.000000000000e+00 -1.941516085826e-04 
 2.885005253130e-11  9.000000000000e-01  8.997062889146e-01  9.001102318325e-01  1.800000000000e+00  0.000000000000e+00 -1.556827486291e-04 
 3.170411637457e-11  9.000000000000e-01  9.000045072300e-01  9.001103535079e-01  1.800000000000e+00  0.000000000000e+00 -1.179072922670e-04 
 3.480785738239e-11  9.000000000000e-01  9.000620261044e-01  9.001104938074e-01  1.800000000000e+00  0.000000000000e+00 -8.686461179460e-05 
 3.834109371082e-11  9.000000000000e-01  9.000522066600e-01  9.001106283106e-01  1.800000000000e+00  0.000000000000e+00 -6.112565130191e-05 
 4.226604704966e-11  9.000000000000e-01  9.000256763477e-01  9.001107385036e-01  1.800000000000e+00  0.000000000000e+00 -4.128554693084e-05 
 4.689307852960e-11  9.000000000000e-01  9.000078006653e-01  9.001108262017e-01  1.800000000000e+00  0.000000000000e+00 -2.589467228852e-05 
 5.224199947944e-11  9.000000000000e-01  9.000019628106e-01  9.001108897877e-01  1.800000000000e+00  0.000000000000e+00 -1.501280213157e-05 
 5.863169199482e-11  9.000000000000e-01  9.000018903906e-01  9.001109339823e-01  1.800000000000e+00  0.000000000000e+00 -7.715078221672e-06 
 6.646926140976e-11  9.000000000000e-01  9.000027882903e-01  9.001109621740e-01  1.800000000000e+00  0.000000000000e+00 -3.255324017080e-06 
 7.622139033954e-11  9.000000000000e-01  9.000032019092e-01  9.001109772375e-01  1.800000000000e+00  0.000000000000e+00 -9.165460491556e-07 
 8.736904777775e-11  9.000000000000e-01  9.000032601424e-01  9.001109819154e-01  1.800000000000e+00  0.000000000000e+00  1.439053443882e-09 
 1.016534387352e-10  9.000000000000e-01  9.000032387451e-01  9.001109811666e-01  1.800000000000e+00  0.000000000000e+00  1.888441978568e-07 
 1.200150082246e-10  9.000000000000e-01  9.000032250732e-01  9.001109769692e-01  1.800000000000e+00  0.000000000000e+00  1.593710596587e-07 
 1.451505943283e-10  9.000000000000e-01  9.000032230775e-01  9.001109705520e-01  1.800000000000e+00  0.000000000000e+00  6.324581277026e-08 
 1.890097750373e-10  9.000000000000e-01  9.000032234313e-01  9.001109601231e-01  1.800000000000e+00  0.000000000000e+00 -2.598225525385e-09 
 2.767281364555e-10  9.000000000000e-01  9.000032230616e-01  9.001109401762e-01  1.800000000000e+00  0.000000000000e+00 -1.128917495959e-08 
 4.521648592917e-10  9.000000000000e-01  9.000032218974e-01  9.001109004868e-01  1.800000000000e+00  0.000000000000e+00 -3.339872211644e-09 
 7.888140621533e-10  9.000000000000e-01  9.000032196794e-01  9.001108242836e-01  1.800000000000e+00  0.000000000000e+00 -1.508473673557e-09 
 1.394407031077e-09  9.000000000000e-01  9.000032157010e-01  9.001106873064e-01  1.800000000000e+00  0.000000000000e+00 -1.659144375582e-09 
 2.000000000000e-09  9.000000000000e-01  9.000032117275e-01  9.001105504992e-01  1.800000000000e+00  0.000000000000e+00 -1.709740273609e-09 
 2.121118593785e-09  9.000000000000e-01  9.000032109335e-01  9.001105231615e-01  1.800000000000e+00  0.000000000000e+00 -1.709784119924e-09 
 2.363355781354e-09  9.000000000000e-01  9.000032093460e-01  9.001104685024e-01  1.800000000000e+00  0.000000000000e+00 -1.709795931310e-09 
 2.847830156493e-09  9.000000000000e-01  9.000032061731e-01  9.001103592619e-01  1.800000000000e+00  0.000000000000e+00 -1.709792638666e-09 
 3.816778906770e-09  9.000000000000e-01  9.000031998368e-01  9.001101411022e-01  1.800000000000e+00  0.000000000000e+00 -1.709791404375e-09 
 5.754676407325e-09  9.000000000000e-01  9.000031872015e-01  9.001097060723e-01  1.800000000000e+00  0.000000000000e+00 -1.709790884513e-09 
 7.754676407325e-09  9.000000000000e-01  9.000031742136e-01  9.001092589008e-01  1.800000000000e+00  0.000000000000e+00 -1.709790118737e-09 
 9.754676407325e-09  9.000000000000e-01  9.000031612785e-01  9.001088135509e-01  1.800000000000e+00  0.000000000000e+00 -1.709789350463e-09 
 1.175467640732e-08  9.000000000000e-01  9.000031483961e-01  9.001083700156e-01  1.800000000000e+00  0.000000000000e+00 -1.709788381515e-09 
 1.375467640732e-08  9.000000000000e-01  9.000031355662e-01  9.001079282876e-01  1.800000000000e+00  0.000000000000e+00 -1.709787798648e-09 
 1.575467640732e-08  9.000000000000e-01  9.000031227885e-01  9.001074883597e-01  1.800000000000e+00  0.000000000000e+00 -1.709786605159e-09 
 1.775467640732e-08  9.000000000000e-01  9.000031100629e-01  9.001070502246e-01  1.800000000000e+00  0.000000000000e+00 -1.709785619836e-09 
 1.887733820366e-08  9.000000000000e-01  9.000031029424e-01  9.001068050692e-01  1.800000000000e+00  0.000000000000e+00 -1.709785212384e-09 
 2.000000000000e-08  9.000000000000e-01  9.000030958381e-01  9.001065604754e-01  1.800000000000e+00  0.000000000000e+00 -1.709784814369e-09 
 2.007218645964e-08  8.855627080715e-01  8.861219118327e-01  9.001044158287e-01  1.800000000000e+00  0.000000000000e+00 -1.711585600457e-07 
 2.021655937893e-08  8.566881242144e-01  8.582849045769e-01  9.000936870779e-01  1.800000000000e+00  0.000000000000e+00 -1.270402770393e-07 
 2.050530521750e-08  7.989389565003e-01  8.033951116279e-01  9.000317668653e-01  1.800000000000e+00  0.000000000000e+00 -5.877145173203e-08 
 2.076379519158e-08  7.472409616846e-01  7.552703182024e-01  8.999157293536e-01  1.800000000000e+00  0.000000000000e+00 -4.078964500617e-08 
 2.100000000000e-08  7.000000000000e-01  7.120626903285e-01  8.997466932793e-01  1.800000000000e+00  0.000000000000e+00 -4.180032684828e-08 
 2.103482049523e-08  7.000000000000e-01  7.120066613975e-01  8.997173071466e-01  1.800000000000e+00  0.000000000000e+00 -3.107149441156e-09 
 2.110446148568e-08  7.000000000000e-01  7.120037646592e-01  8.996585395285e-01  1.800000000000e+00  0.000000000000e+00 -2.586402828658e-09 
 2.124374346658e-08  7.000000000000e-01  7.120003708113e-01  8.995410309157e-01  1.800000000000e+00  0.000000000000e+00 -2.796612434214e-09 
 2.152230742839e-08  7.000000000000e-01  7.119928139262e-01  8.993061239043e-01  1.800000000000e+00  0.000000000000e+00 -2.794567106973e-09 
 2.207943535201e-08  7.000000000000e-01  7.119776861483e-01  8.988367534872e-01  1.800000000000e+00  0.000000000000e+00 -2.792764356524e-09 
 2.319369119926e-08  7.000000000000e-01  7.119474382050e-01  8.978997890252e-01  1.800000000000e+00  0.000000000000e+00 -2.789186731383e-09 
 2.519369119926e-08  7.000000000000e-01  7.118931563483e-01  8.962239541885e-01  1.800000000000e+00  0.000000000000e+00 -2.782727315603e-09 
 2.719369119926e-08  7.000000000000e-01  7.118388718298e-01  8.945557508238e-01  1.800000000000e+00  0.000000000000e+00 -2.776284726086e-09 
 2.919369119926e-08  7.000000000000e-01  7.117845659453e-01  8.928951810481e-01  1.800000000000e+00  0.000000000000e+00 -2.769856682433e-09 
 3.119369119926e-08  7.000000000000e-01  7.117302207151e-01  8.912422492563e-01  1.800000000000e+00  0.000000000000e+00 -2.763440162895e-09 
 3.319369119926e-08  7.000000000000e-01  7.116758189096e-01  8.895969622176e-01  1.800000000000e+00  0.000000000000e+00 -2.757033345874e-09 
 3.519369119926e-08  7.000000000000e-01  7.116213440717e-01  8.879593290350e-01  1.800000000000e+00  0.000000000000e+00 -2.750635576615e-09 
 3.719369119926e-08  7.000000000000e-01  7.115667805345e-01  8.863293610575e-01  1.800000000000e+00  0.000000000000e+00 -2.744244968850e-09 
 3.919369119926e-08  7.000000000000e-01  7.115121134356e-01  8.847070717759e-01  1.800000000000e+00  0.000000000000e+00 -2.737860136187e-09 
 4.119369119926e-08  7.000000000000e-01  7.114573287294e-01  8.830924767112e-01  1.800000000000e+00  0.000000000000e+00 -2.731480512691e-09 
 4.319369119926e-08  7.000000000000e-01  7.114024131964e-01  8.814855933000e-01  1.800000000000e+00  0.000000000000e+00 -2.725104672835e-09 
 4.519369119926e-08  7.000000000000e-01  7.113473544497e-01  8.798864407785e-01  1.800000000000e+00  0.000000000000e+00 -2.718731310164e-09 
 4.719369119926e-08  7.000000000000e-01  7.112921409386e-01  8.782950400651e-01  1.800000000000e+00  0.000000000000e+00 -2.712360103546e-09 
 4.919369119926e-08  7.000000000000e-01  7.112367619506e-01  8.767114136427e-01  1.800000000000e+00  0.000000000000e+00 -2.705989542245e-09 
 5.119369119926e-08  7.000000000000e-01  7.111812076091e-01  8.751355854418e-01  1.800000000000e+00  0.000000000000e+00 -2.699619633201e-09 
 5.319369119926e-08  7.000000000000e-01  7.111254688701e-01  8.735675807225e-01  1.800000000000e+00  0.000000000000e+00 -2.693248937563e-09 
 5.519369119926e-08  7.000000000000e-01  7.110695375154e-01  8.720074259586e-01  1.800000000000e+00  0.000000000000e+00 -2.686877448394e-09 
 5.719369119926e-08  7.000000000000e-01  7.110134061439e-01  8.704551487219e-01  1.800000000000e+00  0.000000000000e+00 -2.680504249758e-09 
 5.919369119926e-08  7.000000000000e-01  7.109570681609e-01  8.689107775682e-01  1.800000000000e+00  0.000000000000e+00 -2.674128891739e-09 
 6.119369119926e-08  7.000000000000e-01  7.109005177646e-01  8.673743419252e-01  1.800000000000e+00  0.000000000000e+00 -2.667750898883e-09 
 6.319369119926e-08  7.000000000000e-01  7.108437499318e-01  8.658458719817e-01  1.800000000000e+00  0.000000000000e+00 -2.661370206242e-09 
 6.519369119926e-08  7.000000000000e-01  7.107867604009e-01  8.643253985796e-01  1.800000000000e+00  0.000000000000e+00 -2.654986739153e-09 
 6.719369119926e-08  7.000000000000e-01  7.107295456536e-01  8.628129531083e-01  1.800000000000e+00  0.000000000000e+00 -2.648599696870e-09 
 6.919369119926e-08  7.000000000000e-01  7.106721028960e-01  8.613085674014e-01  1.800000000000e+00  0.000000000000e+00 -2.642208996401e-09 
 7.119369119926e-08  7.000000000000e-01  7.106144300371e-01  8.598122736366e-01  1.800000000000e+00  0.000000000000e+00 -2.635814880053e-09 
 7.319369119926e-08  7.000000000000e-01  7.105565256679e-01  8.583241042380e-01  1.800000000000e+00  0.000000000000e+00 -2.629417518246e-09 
 7.519369119926e-08  7.000000000000e-01  7.104983890383e-01  8.568440917824e-01  1.800000000000e+00  0.000000000000e+00 -2.623016356423e-09 
 7.719369119926e-08  7.000000000000e-01  7.104400200340e-01  8.553722689080e-01  1.800000000000e+00  0.000000000000e+00 -2.616611371270e-09 
