 time                v(src)              v(sample)           v(hold)             v(acq)              v(conv)             i(vdd)             
 2.000000000000e-11  9.000000000000e-01  9.113039909878e-01  9.001111866908e-01  1.800000000000e+00  0.000000000000e+00 -1.602682049226e-03 
 2.001683355020e-11  9.000000000000e-01  9.108286106397e-01  9.001112594891e-01  1.800000000000e+00  0.000000000000e+00 -1.248592558571e-03 
 2.005050065059e-11  9.000000000000e-01  9.099663118021e-01  9.001113692285e-01  1.800000000000e+00  0.000000000000e+00 -8.280433491641e-04 
 2.011783485138e-11  9.000000000000e-01  9.083095374622e-01  9.001114822160e-01  1.800000000000e+00  0.000000000000e+00 -5.385850227709e-04 
 2.024363602074e-11  9.000000000000e-01  9.053897000181e-01  9.001115218351e-01  1.800000000000e+00  0.000000000000e+00 -4.366510519934e-04 
 2.039857453087e-11  9.000000000000e-01  9.023130254395e-01  9.001114645740e-01  1.800000000000e+00  0.000000000000e+00 -4.262105462356e-04 
 2.070845155114e-11  9.000000000000e-01  8.978712818566e-01  9.001112922395e-01  1.800000000000e+00  0.000000000000e+00 -4.126502991182e-04 
 2.114201399328e-11  9.000000000000e-01  8.955319100694e-01  9.001110901484e-01  1.800000000000e+00  0.000000000000e+00 -4.059183324318e-04 
 2.175798203540e-11  9.000000000000e-01  8.948453441086e-01  9.001108687974e-01  1.800000000000e+00  0.000000000000e+00 -3.822826672142e-04 
 2.262857768166e-11  9.000000000000e-01  8.954984002838e-01  9.001106333764e-01  1.800000000000e+00  0.000000000000e+00 -3.534444348835e-04 
 2.436369198033e-11  9.000000000000e-01  8.973828672199e-01  9.001103565085e-01  1.800000000000e+00  0.000000000000e+00 -3.056210940018e-04 
 2.624358857762e-11  9.000000000000e-01  8.988209943653e-01  9.001102549309e-01  1.800000000000e+00  0.000000000000e+00 -2.614728758857e-04 
 2.874491909546e-11  9.000000000000e-01  8.997221581810e-01  9.001102805482e-01  1.800000000000e+00  0.000000000000e+00 -2.117388428988e-04 
 3.134970473060e-11  9.000000000000e-01  9.000194307725e-01  9.001103830274e-01  1.800000000000e+00  0.000000000000e+00 -1.692157607029e-04 
 3.490016647049e-11  9.000000000000e-01  9.000857004419e-01  9.001105339930e-01  1.800000000000e+00  0.000000000000e+00 -1.237166241482e-04 
 3.905277618699e-11  9.000000000000e-01  9.000614888969e-01  9.001106778823e-01  1.800000000000e+00  0.000000000000e+00 -8.485938051920e-05 
 4.375645896454e-11  9.000000000000e-01  9.000246724888e-01  9.001107903411e-01  1.800000000000e+00  0.000000000000e+00 -5.476296686601e-05 
