 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 0.000000000000e+00  8.999755859380e-01  9.000244140619e-01  0.000000000000e+00  1.800000000000e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.000000000000e-11  8.999755859380e-01  9.000244140619e-01  4.411723164471e-07  1.800000036594e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.000000000000e-11  8.999755859380e-01  9.000244140620e-01  5.841795364292e-07  1.800000027703e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.000000000000e-11  8.999755859380e-01  9.000244140620e-01  6.712063206123e-07  1.800000001849e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.600000000000e-10  8.999755859380e-01  9.000244140620e-01  6.767377589314e-07  1.799999984430e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.200000000000e-10  8.999755859380e-01  9.000244140619e-01  6.643805910723e-07  1.799999986265e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.400000000000e-10  8.999755859380e-01  9.000244140619e-01  6.615847271670e-07  1.799999990368e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.280000000000e-09  8.999755859381e-01  9.000244140619e-01  6.618753255770e-07  1.799999990720e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.560000000000e-09  8.999755859381e-01  9.000244140619e-01  6.619698051489e-07  1.799999990539e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.560000000000e-09  8.999755859380e-01  9.000244140619e-01  6.619695132840e-07  1.799999990524e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 6.560000000000e-09  8.999755859381e-01  9.000244140619e-01  6.619688459834e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 8.560000000000e-09  8.999755859381e-01  9.000244140619e-01  6.619688314718e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.056000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688334167e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.256000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688323559e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.456000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688313929e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.656000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688321667e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 1.856000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688316613e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.056000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688339970e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.256000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688327845e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.456000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688332659e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.656000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688327605e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.856000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688333083e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.056000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688321704e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.256000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688325428e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.456000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688306152e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.656000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688332164e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 3.856000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688331130e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.056000000000e-08  8.999755859381e-01  9.000244140619e-01  6.619688325757e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.256000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688325931e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.456000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688343952e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.656000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688324470e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 4.856000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688320002e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 5.056000000000e-08  8.999755859380e-01  9.000244140619e-01  6.619688318217e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
