frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
1.000000000000000000e+00,3.703353603640973120e+02,-4.825420793301152950e-02,3.703353603709639401e+02,-4.822250471972248237e-02,-3.424359930628751662e-03,7.753157053657303210e-10,-3.424359930628604644e-03,8.318119603062727717e-09,-9.368814686657905213e+02,-1.722970160198874501e-01,-9.368814708180907473e+02,-1.664375259188463907e-01,7.474294896697605850e+01,-2.382589444453631512e-03,7.474294896706852853e+01,-2.380389725315420688e-03
1.019373485938873003e+00,3.703353601188716766e+02,-4.918906011942172918e-02,3.703353601260528762e+02,-4.915674270443782384e-02,-3.424359930628751662e-03,7.903362732817513087e-10,-3.424359930628635435e-03,8.479270576230476656e-09,-9.368814672400677637e+02,-1.756350095348974683e-01,-9.368814694763101443e+02,-1.696620007104446826e-01,7.474294896401144683e+01,-2.428748507457647622e-03,7.474294896410935962e+01,-2.426506172091905979e-03
1.039122303835168903e+00,3.703353598642017346e+02,-5.014202364963641495e-02,3.703353598715647195e+02,-5.010908013369410469e-02,-3.424359930628752095e-03,8.056478419591248566e-10,-3.424359930628603343e-03,8.643543605510928315e-09,-9.368814659534720022e+02,-1.790376716769233878e-01,-9.368814682767090289e+02,-1.729489448745674951e-01,7.474294896057672588e+01,-2.475801832390631379e-03,7.474294896067385707e+01,-2.473516055172086774e-03
1.059253725177289107e+00,3.703353595994518059e+02,-5.111344940333598097e-02,3.703353596071627294e+02,-5.107986765672262175e-02,-3.424359930628752095e-03,8.212560490969653716e-10,-3.424359930628622425e-03,8.810999176014293436e-09,-9.368814646156496337e+02,-1.825062552312136654e-01,-9.368814670302265313e+02,-1.762995685921590894e-01,7.474294895737695299e+01,-2.523766744270066354e-03,7.474294895747993905e+01,-2.521436683579012135e-03
1.079775162327710092e+00,3.703353593244000876e+02,-5.210369505807312812e-02,3.703353593323577684e+02,-5.206946271600773612e-02,-3.424359930628752095e-03,8.371666416164265559e-10,-3.424359930628644109e-03,8.981698944658292380e-09,-9.368814632254047865e+02,-1.860420373247539394e-01,-9.368814657348261790e+02,-1.797151055573017742e-01,7.474294895405840577e+01,-2.572660903689395068e-03,7.474294895416232976e+01,-2.570285701600256469e-03
1.100694171252210030e+00,3.703353590385339658e+02,-5.311312522077768494e-02,3.703353590468596508e+02,-5.307822967899293587e-02,-3.424359930627649245e-03,8.533854777760061332e-10,-3.424359930628251194e-03,9.155705762869544705e-09,-9.368814617820480635e+02,-1.896463198271280959e-01,-9.368814643891782907e+02,-1.831968133652804309e-01,7.474294895060160115e+01,-2.622502313411415389e-03,7.474294895071184897e+01,-2.620081095378323094e-03
1.122018454301964008e+00,3.703353587414628691e+02,-5.414211156211815729e-02,3.703353587501791253e+02,-5.410653997213072525e-02,-3.424359930627649245e-03,8.699185293300161681e-10,-3.424359930628240786e-03,9.333083699726866755e-09,-9.368814602813090460e+02,-1.933204298282156786e-01,-9.368814629907103608e+02,-1.867459739748943137e-01,7.474294894701168346e+01,-2.673309324976766432e-03,7.474294894712849668e+01,-2.670841199510505526e-03
1.143755863049539023e+00,3.703353584307740789e+02,-5.519103295272271420e-02,3.703353584397428904e+02,-5.515477221708205841e-02,-3.424359930627649245e-03,8.867718837258513617e-10,-3.424359930628150580e-03,9.513898065549719791e-09,-9.368814587219454779e+02,-1.970657201294538086e-01,-9.368814615375509902e+02,-1.903638941812044738e-01,7.474294894328852479e+01,-2.725100645459270932e-03,7.474294894340577855e+01,-2.722584703798898182e-03
1.165914401179831916e+00,3.703353581099930238e+02,-5.626027560500428820e-02,3.703353581193755986e+02,-5.622331237260491665e-02,-3.424359930627869988e-03,9.039517463461953815e-10,-3.424359930628193081e-03,9.698215435946520926e-09,-9.368814571024345241e+02,-2.008835697406284038e-01,-9.368814600273570932e+02,-1.940519060962253295e-01,7.474294893904898629e+01,-2.777895344325365806e-03,7.474294893917331706e+01,-2.775330660105029563e-03
1.188502227437018943e+00,3.703353577767488218e+02,-5.735023321192323636e-02,3.703353577864547219e+02,-5.731255387292664982e-02,-3.424359930627869988e-03,9.214644427934713048e-10,-3.424359930628230377e-03,9.886103676327013954e-09,-9.368814554186343457e+02,-2.047753843866072510e-01,-9.368814584580940164e+02,-1.978113676397329490e-01,7.474294893502498383e+01,-2.831712860566315808e-03,7.474294893515157412e+01,-2.829098489472326762e-03
