frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
1.000000000000000000e+00,1.676663384450196759e+02,-2.967297060781320245e-02,1.676663384496015112e+02,-2.965768702757517333e-02,-1.005752356672286489e-03,-6.501757468117694727e-11,-1.005752356672167443e-03,8.777931724835329262e-09,7.379777793523711580e+02,-1.070001516596915531e-01,7.379777804455002297e+02,-1.030877140934410019e-01,1.249112189264221371e+02,-1.997227885578196135e-03,1.249112189265299691e+02,-1.992825451461616507e-03
1.019373485938873003e+00,1.676663382396343991e+02,-3.024783944960695789e-02,1.676663382443934438e+02,-3.023225977318694940e-02,-1.005752356672286489e-03,-6.627719175002552510e-11,-1.005752356672166359e-03,8.947990861678815515e-09,7.379777787453978135e+02,-1.090731175036139811e-01,7.379777798809507203e+02,-1.050848823923439535e-01,1.249112189251950440e+02,-2.035921151916542278e-03,1.249112189252907541e+02,-2.031433427304067153e-03
1.039122303835168903e+00,1.676663380262150156e+02,-3.083384550262939158e-02,1.676663380311657647e+02,-3.081796399361763986e-02,-1.005752356672286489e-03,-6.756121199244530675e-11,-1.005752356672173732e-03,9.121344636818728969e-09,7.379777781142871618e+02,-1.111862439167314587e-01,7.379777792945724286e+02,-1.071207427985045868e-01,1.249112189239018846e+02,-2.075364041704460313e-03,1.249112189240032365e+02,-2.070789374222446830e-03
1.059253725177289107e+00,1.676663378044488866e+02,-3.143120453335630088e-02,1.676663378095967403e+02,-3.141501534420551578e-02,-1.005752356672286489e-03,-6.887010818300996370e-11,-1.005752356672158987e-03,9.298056878883743134e-09,7.379777774590816080e+02,-1.133403089492456273e-01,7.379777786852625923e+02,-1.091960449125684574e-01,1.249112189225636058e+02,-2.115571077761987939e-03,1.249112189226708267e+02,-2.110907783023984168e-03
1.079775162327710092e+00,1.676663375739954347e+02,-3.204013648839862394e-02,1.676663375793540069e+02,-3.202363365827733122e-02,-1.005752356672507883e-03,-7.020436225549975268e-11,-1.005752356672187393e-03,9.478192653085649974e-09,7.379777767776648716e+02,-1.155361057242366984e-01,7.379777780520644228e+02,-1.113115528575919361e-01,1.249112189211694357e+02,-2.156557064265767105e-03,1.249112189212827957e+02,-2.151803425252884865e-03
1.100694171252210030e+00,1.676663373345581647e+02,-3.266086557551341890e-02,1.676663373401035528e+02,-3.264404302809360836e-02,-1.005752356672507883e-03,-7.156446548048855957e-11,-1.005752356672172864e-03,9.661818285176135031e-09,7.379777760701268789e+02,-1.177744427310189468e-01,7.379777773941698342e+02,-1.134680455603962190e-01,1.249112189197191043e+02,-2.198337092201292902e-03,1.249112189198388450e+02,-2.193491358630002101e-03
1.122018454301964008e+00,1.676663370857264113e+02,-3.329362034609589793e-02,1.676663370914965867e+02,-3.327647188735403244e-02,-1.005752356672507883e-03,-7.295091864618340435e-11,-1.005752356672180454e-03,9.849001385867954903e-09,7.379777753340927120e+02,-1.200561441213736924e-01,7.379777767103711312e+02,-1.156663170382003503e-01,1.249112189182157522e+02,-2.240926544919184284e-03,1.249112189183421293e+02,-2.235986932596862719e-03
1.143755863049539023e+00,1.676663368271546233e+02,-3.393863377940006115e-02,1.676663368331643653e+02,-3.392115309530391309e-02,-1.005752356672507883e-03,-7.436423224280209501e-11,-1.005752356672186308e-03,1.003981087572901388e-08,7.379777745699965408e+02,-1.223820500146725748e-01,7.379777759999659565e+02,-1.179071766912537511e-01,1.249112189166501707e+02,-2.284341103798737463e-03,1.249112189167833833e+02,-2.279305793966731903e-03
1.165914401179831916e+00,1.676663365584956864e+02,-3.459614336829607006e-02,1.676663365647237072e+02,-3.457832402247393300e-02,-1.005752356672507883e-03,-7.580492665048919804e-11,-1.005752356672178069e-03,1.023431701055890029e-08,7.379777737760474565e+02,-1.247530168055958483e-01,7.379777752618512068e+02,-1.201914496005771771e-01,1.249112189150234968e+02,-2.328596754022603955e-03,1.249112189151638574e+02,-2.323463892686567032e-03
1.188502227437018943e+00,1.676663362793055683e+02,-3.526639120667511562e-02,1.676663362857863433e+02,-3.524822663808334366e-02,-1.005752356672507883e-03,-7.727353233104734090e-11,-1.005752356672185224e-03,1.043259140725693522e-08,7.379777729507744652e+02,-1.271699174802620458e-01,7.379777744946395615e+02,-1.225199768317831034e-01,1.249112189133527977e+02,-2.373709790462754168e-03,1.249112189134864792e+02,-2.368477487709470808e-03
1.211527658628589021e+00,1.676663359892037590e+02,-3.594962407865276433e-02,1.676663359959263460e+02,-3.593110759911847391e-02,-1.005752356672286489e-03,-7.877059002310617353e-11,-1.005752356672177418e-03,1.063470707019143808e-08,7.379777720932670491e+02,-1.296336419377538962e-01,7.379777736975078142e+02,-1.248936157450320633e-01,1.249112189115932665e+02,-2.419696823677278553e-03,1.249112189117346787e+02,-2.414363152980398847e-03
1.234999172687585967e+00,1.676663356877590445e+02,-3.664609354938707514e-02,1.676663356947319130e+02,-3.662721834117239894e-02,-1.005752356672286489e-03,-8.029665094127998204e-11,-1.005752356672205824e-03,1.084073841807983745e-08,7.379777712022037122e+02,-1.321450973174501387e-01,7.379777728692246228e+02,-1.273132403103955368e-01,1.249112189097723018e+02,-2.466574786031438312e-03,1.249112189099217147e+02,-2.461137783540543172e-03
1.258925411794167948e+00,1.676663353744856693e+02,-3.735605605770114107e-02,1.676663353817556299e+02,-3.733681517100196495e-02,-1.005752356672286489e-03,-8.185227697922377862e-11,-1.005752356672213414e-03,1.105076131138952844e-08,7.379777702762130502e+02,-1.347052083331504446e-01,7.379777720085131705e+02,-1.297797414297642560e-01,1.249112189078766306e+02,-2.514360937927854946e-03,1.249112189080343853e+02,-2.508818601745902137e-03
1.283315185557651894e+00,1.676663350489879747e+02,-3.807977301056682251e-02,1.676663350565360133e+02,-3.806015936090800106e-02,-1.005752356672286489e-03,-8.343804091633608189e-11,-1.005752356672212329e-03,1.126485308026958985e-08,7.379777693139334360e+02,-1.373149176135740335e-01,7.379777711141092595e+02,-1.322940272648962245e-01,1.249112189059070204e+02,-2.563072874163869336e-03,1.249112189060734295e+02,-2.557423163610089527e-03
1.308177474260195039e+00,1.676663347107576385e+02,-3.881751087926450794e-02,1.676663347185937027e+02,-3.879751724493286230e-02,-1.005752356672286489e-03,-8.505452662880921635e-11,-1.005752356672241169e-03,1.148309255302364611e-08,7.379777683138896691e+02,-1.399751860493889666e-01,7.379777701846392119e+02,-1.348570235717574950e-01,1.249112189038623200e+02,-2.612728530409306679e-03,1.249112189040377103e+02,-2.606969365267833121e-03
1.333521432163325082e+00,1.676663343592865942e+02,-3.956954129754577942e-02,1.676663343674241275e+02,-3.954916031692014278e-02,-1.005752356672507883e-03,-8.670232930447678446e-11,-1.005752356672218401e-03,1.170556008513443889e-08,7.379777672749140720e+02,-1.426869931471683728e-01,7.379777692190414200e+02,-1.374696740415365104e-01,1.249112189017342445e+02,-2.663346189810142026e-03,1.249112189019189714e+02,-2.657475449564076359e-03
1.359356390878527110e+00,1.676663339940569131e+02,-4.033614116164395413e-02,1.676663340025116042e+02,-4.031536533048412502e-02,-1.005752356672507883e-03,-8.838205566210260743e-11,-1.005752356672239868e-03,1.193233758885044476e-08,7.379777661954791483e+02,-1.454513373897934614e-01,7.379777682152911211e+02,-1.401329406476380657e-01,1.249112188995443233e+02,-2.714944489721892763e-03,1.249112188997211490e+02,-2.708960012771764389e-03
1.385691862803128949e+00,1.676663336145431060e+02,-4.111759273222741207e-02,1.676663336233327470e+02,-4.109641440091111458e-02,-1.005752356672507883e-03,-9.009432417470126677e-11,-1.005752356672231194e-03,1.216350856334593245e-08,7.379777650735120460e+02,-1.482692366040041787e-01,7.379777671726424160e+02,-1.428478040007124528e-01,1.249112188972470250e+02,-2.767542428567711706e-03,1.249112188974339546e+02,-2.761442011437872154e-03
1.412537544622755048e+00,1.676663332201829917e+02,-4.191418373831311966e-02,1.676663332293165070e+02,-4.189259510901403860e-02,-1.005752356672507883e-03,-9.183976529723904546e-11,-1.005752356672238133e-03,1.239915812546529596e-08,7.379777639079089795e+02,-1.511417283357623653e-01,7.379777660890185871e+02,-1.456152637087334278e-01,1.249112188948601556e+02,-2.821159372839191978e-03,1.249112188950575302e+02,-2.814940769364214414e-03
1.439903320881634086e+00,1.676663328103832100e+02,-4.272620748320887091e-02,1.676663328198811200e+02,-4.270420060703558618e-02,-1.005752356672507883e-03,-9.361902169887176083e-11,-1.005752356672230110e-03,1.263937304106286490e-08,7.379777626962884369e+02,-1.540698702313743618e-01,7.379777649631306531e+02,-1.484363387458552397e-01,1.249112188923801625e+02,-2.875815064223433311e-03,1.249112188925884226e+02,-2.869475984721845535e-03
1.467799267622071024e+00,1.676663323845561706e+02,-4.355396295252506045e-02,1.676663323944333115e+02,-4.353152972658573538e-02,-1.005752356672729494e-03,-9.543274849932522136e-11,-1.005752356672273478e-03,1.288424175695009879e-08,7.379777614375967687e+02,-1.570547404279729886e-01,7.379777637929628327e+02,-1.513120678270056807e-01,1.249112188898069320e+02,-2.931529626872999682e-03,1.249112188900265323e+02,-2.925067737304216323e-03
1.496235656094434985e+00,1.676663319420750042e+02,-4.439775492423717052e-02,1.676663319523484290e+02,-4.437488708866010878e-02,-1.005752356672729494e-03,-9.728161351045154651e-11,-1.005752356672242904e-03,1.313385443346142141e-08,7.379777601296799503e+02,-1.600974379494859712e-01,7.379777625772203464e+02,-1.542435097909170272e-01,1.249112188871314402e+02,-2.988323574815018261e-03,1.249112188873627787e+02,-2.981736495919952695e-03
1.525222956539020069e+00,1.676663314823011603e+02,-4.525789408091806382e-02,1.676663314929554360e+02,-4.523458321579172658e-02,-1.005752356672729494e-03,-9.916629748188328753e-11,-1.005752356672271744e-03,1.338830297765131145e-08,7.379777587704325015e+02,-1.631990831117606233e-01,7.379777613136935770e+02,-1.572317439893215207e-01,1.249112188843585045e+02,-3.046217819505492048e-03,1.249112188845879956e+02,-3.039503125929829321e-03
1.554771842041174912e+00,1.676663310045011031e+02,-4.613469712408393986e-02,1.676663310155894067e+02,-4.611093464641103506e-02,-1.005752356672729494e-03,-1.010874943517663339e-10,-1.005752356672271960e-03,1.364768107713421831e-08,7.379777573585832897e+02,-1.663608179354160721e-01,7.379777600008917489e+02,-1.602778706850385704e-01,1.249112188814734878e+02,-3.105233677527264539e-03,1.249112188817156692e+02,-3.098388896930497419e-03
1.584893192461114930e+00,1.676663305080382713e+02,-4.702848689090655121e-02,1.676663305195544638e+02,-4.700426405137493602e-02,-1.005752356672507883e-03,-1.030459115021436813e-10,-1.005752356672263070e-03,1.391208423458033131e-08,7.379777558909642039e+02,-1.695838065651169291e-01,7.379777586368861648e+02,-1.633830114566092173e-01,1.249112188784686310e+02,-3.165392878440025093e-03,1.249112188787240427e+02,-3.158415490583107912e-03
1.615598098439875008e+00,1.676663299921507360e+02,-4.793959247295948023e-02,1.676663300041052480e+02,-4.791490035276151777e-02,-1.005752356672507883e-03,-1.050422700196933077e-10,-1.005752356672284537e-03,1.418160980287940303e-08,7.379777543657808110e+02,-1.728692356996579249e-01,7.379777572193108881e+02,-1.665483096112409245e-01,1.249112188753483395e+02,-3.226717572781385296e-03,1.249112188756174504e+02,-3.219605008599455732e-03
1.646897865482870094e+00,1.676663294560481461e+02,-4.886834933743909593e-02,1.676663294684963716e+02,-4.884317884500503221e-02,-1.005752356672507883e-03,-1.070773049608500669e-10,-1.005752356672297331e-03,1.445635702098609842e-08,7.379777527812756261e+02,-1.762183150283284094e-01,7.379777557462650748e+02,-1.697749306061695218e-01,1.249112188721203154e+02,-3.289230340222284131e-03,1.249112188723860584e+02,-3.281979980877816009e-03
1.678804018122562081e+00,1.676663288990274623e+02,-4.981509945075023038e-02,1.676663289119308899e+02,-4.978944131832022807e-02,-1.005752356672729494e-03,-1.091517656228641548e-10,-1.005752356672274779e-03,1.473642705045952038e-08,7.379777511348759163e+02,-1.796322776759039230e-01,7.379777542157077050e+02,-1.730640624775132974e-01,1.249112188687516607e+02,-3.352954197878442802e-03,1.249112188690321972e+02,-3.345563373799750884e-03
1.711328304161781944e+00,1.676663283201622221e+02,-5.078019140423476602e-02,1.676663283336015695e+02,-5.075403618457129812e-02,-1.005752356672729494e-03,-1.112664158193491112e-10,-1.005752356672310124e-03,1.502192301271085009e-08,7.379777494237356450e+02,-1.831123806569162626e-01,7.379777526250279607e+02,-1.764169162774983368e-01,1.249112188652479745e+02,-3.417912608789376930e-03,1.249112188655438871e+02,-3.410378598684942700e-03
1.744482698999255899e+00,1.676663277186962091e+02,-5.176398054275282296e-02,1.676663277326378534e+02,-5.173731860552354539e-02,-1.005752356672729494e-03,-1.134220341616626593e-10,-1.005752356672302101e-03,1.531295002697245741e-08,7.379777476458237970e+02,-1.866599053390180785e-01,7.379777509723739968e+02,-1.798347265209846724e-01,1.249112188616076082e+02,-3.484129490555075166e-03,1.249112188619195223e+02,-3.476449520412480849e-03
1.778279410038924979e+00,1.676663270936631704e+02,-5.276682909529092913e-02,1.676663271081643529e+02,-5.273965062364655704e-02,-1.005752356672729494e-03,-1.156194143456205085e-10,-1.005752356672307089e-03,1.560961524900269424e-08,7.379777457983436761e+02,-1.902761579140085368e-01,7.379777492551377236e+02,-1.833187516392986716e-01,1.249112188578410780e+02,-3.551629224143515538e-03,1.249112188581555358e+02,-3.543800466207252219e-03
1.812730881184700937e+00,1.676663264441824026e+02,-5.378910630851162916e-02,1.676663264592571352e+02,-5.376140129538976853e-02,-1.005752356672729494e-03,-1.178593654436685927e-10,-1.005752356672313594e-03,1.591202791054050225e-08,7.379777438782148238e+02,-1.939624698789857438e-01,7.379777474704335418e+02,-1.868702744437916730e-01,1.249112188539146899e+02,-3.620436662864500148e-03,1.249112188542463997e+02,-3.612456234597181091e-03
1.847849797422292939e+00,1.676663257693216167e+02,-5.483118858262493039e-02,1.676663257849737647e+02,-5.480294682708499593e-02,-1.005752356672729494e-03,-1.201427122028041358e-10,-1.005752356672335712e-03,1.622029935952436697e-08,7.379777418835233220e+02,-1.977201985273658036e-01,7.379777456160652491e+02,-1.904906025986550233e-01,1.249112188498314424e+02,-3.690577141525151414e-03,1.249112188501810721e+02,-3.682442104543793074e-03
1.883649089489803030e+00,1.676663250680385886e+02,-5.589345960993727380e-02,1.676663250842968012e+02,-5.586467071342719748e-02,-1.005752356672729494e-03,-1.224702953482833505e-10,-1.005752356672333977e-03,1.653454310109044616e-08,7.379777398103047972e+02,-2.015507274469392485e-01,7.379777436892492233e+02,-1.941810691017628598e-01,1.249112188456082038e+02,-3.762076485756959878e-03,1.249112188459588708e+02,-3.753783844750803282e-03
1.920141938638803891e+00,1.676663243393219886e+02,-5.697631051621388637e-02,1.676663243562112200e+02,-5.694696387872357629e-02,-1.005752356672729494e-03,-1.248429718931081947e-10,-1.005752356672353709e-03,1.685487483936513907e-08,7.379777376563597500e+02,-2.054554670313245845e-01,7.379777416869126228e+02,-1.979430327756115104e-01,1.249112188412000393e+02,-3.834961021520213575e-03,1.249112188415701041e+02,-3.826507723151010253e-03
1.957341781487663024e+00,1.676663235821013700e+02,-5.808014000463226911e-02,1.676663235996523156e+02,-5.805022482079664342e-02,-1.005752356672729494e-03,-1.272616154536447603e-10,-1.005752356672360648e-03,1.718141252006707833e-08,7.379777354179141184e+02,-2.094358549974710548e-01,7.379777396062377193e+02,-2.017778787679184727e-01,1.249112188366233767e+02,-3.909257584804512291e-03,1.249112188370135499e+02,-3.900640516579148738e-03
1.995262314968881956e+00,1.676663227952265061e+02,-5.920535450256524113e-02,1.676663228134727319e+02,-5.917485975768421724e-02,-1.005752356672729494e-03,-1.297271165711855482e-10,-1.005752356672807990e-03,1.751427637393461506e-08,7.379777330926463037e+02,-2.134933569166461431e-01,7.379777374442900282e+02,-2.056870190614400185e-01,1.249112188318731995e+02,-3.984993531504841917e-03,1.249112188322701940e+02,-3.976209520629468003e-03
2.033917501372294989e+00,1.676663219775828679e+02,-6.035236831130397217e-02,1.676663219965511757e+02,-6.032128277728009830e-02,-1.005752356672729494e-03,-1.322403830399142257e-10,-1.005752356672828807e-03,1.785358896099460620e-08,7.379777306754382380e+02,-2.176294667518157144e-01,7.379777351976514410e+02,-2.096718929936447207e-01,1.249112188269302237e+02,-4.062196747494271030e-03,1.249112188273489323e+02,-4.053242559708762280e-03
2.073321573485957803e+00,1.676663211279791881e+02,-6.152160375852475105e-02,1.676663211476802076e+02,-6.148991598972178285e-02,-1.005752356672729494e-03,-1.348023402412503495e-10,-1.005752356672849407e-03,1.819947521568889875e-08,7.379777281641302125e+02,-2.218457074107455795e-01,7.379777328630840429e+02,-2.137339677870366828e-01,1.249112188217853969e+02,-4.140895658893083663e-03,1.249112188222266866e+02,-4.131767997277529386e-03
2.113489039836649042e+00,1.676663202450952781e+02,-6.271349135374476580e-02,1.676663202655835789e+02,-6.268118968281742587e-02,-1.005752356672729494e-03,-1.374139314843917141e-10,-1.005752356672840299e-03,1.855206249287495872e-08,7.379777255544835270e+02,-2.261436313039997814e-01,7.379777304372209983e+02,-2.178747390892110114e-01,1.249112188164646255e+02,-4.221119242536947730e-03,1.249112188169117985e+02,-4.211814746297413981e-03
2.154434690031886035e+00,1.676663193276980053e+02,-6.392846994699051544e-02,1.676663193489804371e+02,-6.389554248052123353e-02,-1.005752356672729494e-03,-1.400761183537253494e-10,-1.005752356672838781e-03,1.891148061471782685e-08,7.379777228425389239e+02,-2.305248209178447916e-01,7.379777279163778303e+02,-2.220957315234301510e-01,1.249112188109160542e+02,-4.302897036638591438e-03,1.249112188113875987e+02,-4.293412279873236488e-03
2.196173600205439058e+00,1.676663183743962975e+02,-6.516698689019835566e-02,1.676663183965161181e+02,-6.513342150438061751e-02,-1.005752356672729494e-03,-1.427898810629710447e-10,-1.005752356672866754e-03,1.927786191849037483e-08,7.379777200245511040e+02,-2.349908893968926937e-01,7.379777252970958443e+02,-2.263984992503030036e-01,1.249112188051614680e+02,-4.386259151673895657e-03,1.249112188056442534e+02,-4.376590642107044266e-03
