 frequency              gain                  
 1.000000000000000e+00  1.046673024085394e+00 
 1.019373485938873e+00  1.046673024085394e+00 
 1.039122303835169e+00  1.046673024085394e+00 
 1.059253725177289e+00  1.046673024085394e+00 
 1.079775162327710e+00  1.046673024085393e+00 
 1.100694171252210e+00  1.046673024085393e+00 
 1.122018454301964e+00  1.046673024085393e+00 
 1.143755863049539e+00  1.046673024085393e+00 
 1.165914401179832e+00  1.046673024085392e+00 
 1.188502227437019e+00  1.046673024085392e+00 
 1.211527658628589e+00  1.046673024085392e+00 
 1.234999172687586e+00  1.046673024085392e+00 
 1.258925411794168e+00  1.046673024085392e+00 
 1.283315185557652e+00  1.046673024085391e+00 
 1.308177474260195e+00  1.046673024085391e+00 
 1.333521432163325e+00  1.046673024085391e+00 
 1.359356390878527e+00  1.046673024085391e+00 
 1.385691862803129e+00  1.046673024085390e+00 
 1.412537544622755e+00  1.046673024085390e+00 
 1.439903320881634e+00  1.046673024085390e+00 
 1.467799267622071e+00  1.046673024085390e+00 
 1.496235656094435e+00  1.046673024085389e+00 
 1.525222956539020e+00  1.046673024085389e+00 
 1.554771842041175e+00  1.046673024085389e+00 
 1.584893192461115e+00  1.046673024085388e+00 
 1.615598098439875e+00  1.046673024085388e+00 
 1.646897865482870e+00  1.046673024085388e+00 
 1.678804018122562e+00  1.046673024085387e+00 
 1.711328304161782e+00  1.046673024085387e+00 
 1.744482698999256e+00  1.046673024085386e+00 
 1.778279410038925e+00  1.046673024085386e+00 
 1.812730881184701e+00  1.046673024085385e+00 
 1.847849797422293e+00  1.046673024085385e+00 
 1.883649089489803e+00  1.046673024085385e+00 
 1.920141938638804e+00  1.046673024085384e+00 
 1.957341781487663e+00  1.046673024085383e+00 
 1.995262314968882e+00  1.046673024085383e+00 
 2.033917501372295e+00  1.046673024085383e+00 
 2.073321573485958e+00  1.046673024085382e+00 
 2.113489039836649e+00  1.046673024085381e+00 
 2.154434690031886e+00  1.046673024085381e+00 
 2.196173600205439e+00  1.046673024085380e+00 
 2.238721138568343e+00  1.046673024085380e+00 
 2.282092971067454e+00  1.046673024085379e+00 
 2.326305067153629e+00  1.046673024085378e+00 
 2.371373705661659e+00  1.046673024085377e+00 
 2.417315480804108e+00  1.046673024085377e+00 
