 frequency              gain                  
 1.000000000000000e+00  1.595635241412031e+01 
 1.019373485938873e+00  1.595635241411994e+01 
 1.039122303835169e+00  1.595635241411955e+01 
 1.059253725177289e+00  1.595635241411899e+01 
 1.079775162327710e+00  1.595635241411849e+01 
 1.100694171252210e+00  1.595635241411765e+01 
 1.122018454301964e+00  1.595635241411711e+01 
 1.143755863049539e+00  1.595635241411616e+01 
 1.165914401179832e+00  1.595635241411568e+01 
 1.188502227437019e+00  1.595635241411501e+01 
 1.211527658628589e+00  1.595635241411448e+01 
 1.234999172687586e+00  1.595635241411377e+01 
 1.258925411794168e+00  1.595635241411296e+01 
 1.283315185557652e+00  1.595635241411187e+01 
 1.308177474260195e+00  1.595635241411077e+01 
 1.333521432163325e+00  1.595635241410997e+01 
 1.359356390878527e+00  1.595635241410931e+01 
 1.385691862803129e+00  1.595635241410847e+01 
 1.412537544622755e+00  1.595635241410718e+01 
 1.439903320881634e+00  1.595635241410595e+01 
 1.467799267622071e+00  1.595635241410510e+01 
 1.496235656094435e+00  1.595635241410406e+01 
 1.525222956539020e+00  1.595635241410315e+01 
 1.554771842041175e+00  1.595635241410171e+01 
 1.584893192461115e+00  1.595635241410024e+01 
 1.615598098439875e+00  1.595635241409915e+01 
 1.646897865482870e+00  1.595635241409802e+01 
 1.678804018122562e+00  1.595635241409636e+01 
 1.711328304161782e+00  1.595635241409474e+01 
 1.744482698999256e+00  1.595635241409349e+01 
 1.778279410038925e+00  1.595635241409179e+01 
 1.812730881184701e+00  1.595635241408996e+01 
 1.847849797422293e+00  1.595635241408850e+01 
 1.883649089489803e+00  1.595635241408658e+01 
 1.920141938638804e+00  1.595635241408452e+01 
 1.957341781487663e+00  1.595635241408290e+01 
 1.995262314968882e+00  1.595635241408091e+01 
 2.033917501372295e+00  1.595635241407870e+01 
 2.073321573485958e+00  1.595635241407701e+01 
 2.113489039836649e+00  1.595635241407427e+01 
 2.154434690031886e+00  1.595635241407219e+01 
 2.196173600205439e+00  1.595635241406932e+01 
 2.238721138568343e+00  1.595635241406737e+01 
 2.282092971067454e+00  1.595635241406437e+01 
 2.326305067153629e+00  1.595635241406211e+01 
 2.371373705661659e+00  1.595635241405887e+01 
 2.417315480804108e+00  1.595635241405621e+01 
 2.464147308281285e+00  1.595635241405298e+01 
 2.511886431509584e+00  1.595635241404992e+01 
 2.560550427970480e+00  1.595635241404676e+01 
 2.610157215682541e+00  1.595635241404302e+01 
 2.660725059798814e+00  1.595635241403976e+01 
 2.712272579332033e+00  1.595635241403623e+01 
 2.764818754010113e+00  1.595635241403220e+01 
 2.818382931264459e+00  1.595635241402771e+01 
