 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+00  1.459384174480406e-05  3.612782403906738e-06 
 1.019373485938873e+00  1.447154011567749e-05  3.582505991334730e-06 
 1.039122303835169e+00  1.435027556997144e-05  3.552486314226600e-06 
 1.059253725177289e+00  1.423003919476772e-05  3.522721166143008e-06 
 1.079775162327710e+00  1.411082215490177e-05  3.493208359891903e-06 
 1.100694171252210e+00  1.399261569228313e-05  3.463945727362064e-06 
 1.122018454301964e+00  1.387541112520045e-05  3.434931119350011e-06 
 1.143755863049539e+00  1.375919984765391e-05  3.406162405395455e-06 
 1.165914401179832e+00  1.364397332867935e-05  3.377637473612874e-06 
 1.188502227437019e+00  1.352972311168876e-05  3.349354230529756e-06 
 1.211527658628589e+00  1.341644081380836e-05  3.321310600921154e-06 
 1.234999172687586e+00  1.330411812522333e-05  3.293504527649084e-06 
 1.258925411794168e+00  1.319274680853761e-05  3.265933971502216e-06 
 1.283315185557652e+00  1.308231869812782e-05  3.238596911037924e-06 
 1.308177474260195e+00  1.297282569951050e-05  3.211491342424008e-06 
 1.333521432163325e+00  1.286425978871136e-05  3.184615279283256e-06 
 1.359356390878527e+00  1.275661301164313e-05  3.157966752539657e-06 
 1.385691862803129e+00  1.264987748348491e-05  3.131543810263992e-06 
 1.412537544622755e+00  1.254404538807143e-05  3.105344517523636e-06 
 1.439903320881634e+00  1.243910897728514e-05  3.079366956231176e-06 
 1.467799267622071e+00  1.233506057045447e-05  3.053609224995923e-06 
 1.496235656094435e+00  1.223189255375853e-05  3.028069438976468e-06 
 1.525222956539020e+00  1.212959737963641e-05  3.002745729734276e-06 
 1.554771842041175e+00  1.202816756619639e-05  2.977636245087641e-06 
 1.584893192461115e+00  1.192759569664418e-05  2.952739148969881e-06 
 1.615598098439875e+00  1.182787441870059e-05  2.928052621285736e-06 
 1.646897865482870e+00  1.172899644403609e-05  2.903574857771077e-06 
 1.678804018122562e+00  1.163095454770243e-05  2.879304069851570e-06 
 1.711328304161782e+00  1.153374156757599e-05  2.855238484505715e-06 
 1.744482698999256e+00  1.143735040379903e-05  2.831376344126630e-06 
 1.778279410038925e+00  1.134177401823532e-05  2.807715906386313e-06 
 1.812730881184701e+00  1.124700543392019e-05  2.784255444100715e-06 
 1.847849797422293e+00  1.115303773452397e-05  2.760993245095747e-06 
 1.883649089489803e+00  1.105986406381255e-05  2.737927612074707e-06 
 1.920141938638804e+00  1.096747762512452e-05  2.715056862488100e-06 
 1.957341781487663e+00  1.087587168083706e-05  2.692379328401976e-06 
 1.995262314968882e+00  1.078503955185151e-05  2.669893356370351e-06 
 2.033917501372295e+00  1.069497461707256e-05  2.647597307306056e-06 
 2.073321573485958e+00  1.060567031290000e-05  2.625489556355424e-06 
 2.113489039836649e+00  1.051712013271974e-05  2.603568492771717e-06 
 2.154434690031886e+00  1.042931762640256e-05  2.581832519791617e-06 
 2.196173600205439e+00  1.034225639980539e-05  2.560280054511246e-06 
 2.238721138568343e+00  1.025593011427723e-05  2.538909527764088e-06 
 2.282092971067454e+00  1.017033248617377e-05  2.517719384000956e-06 
 2.326305067153629e+00  1.008545728636542e-05  2.496708081168018e-06 
 2.371373705661659e+00  1.000129833976461e-05  2.475874090589951e-06 
 2.417315480804108e+00  9.917849524844481e-06  2.455215896850243e-06 
 2.464147308281285e+00  9.835104773170725e-06  2.434731997676230e-06 
 2.511886431509584e+00  9.753058068930567e-06  2.414420903821705e-06 
 2.560550427970480e+00  9.671703448472525e-06  2.394281138953245e-06 
 2.610157215682541e+00  9.591034999844315e-06  2.374311239536065e-06 
 2.660725059798814e+00  9.511046862340637e-06  2.354509754721561e-06 
