frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.000000000000000000e+00,9.459108962457496673e+06,-2.099032198181138301e+04,9.459132251811508089e+06,-1.271425132015302772e-01,9.425490881370803820e-01
1.019373485938873003e+00,9.459107231083463877e+06,-2.139697397872903821e+04,9.459131431565528736e+06,-1.296056998159819673e-01,9.425490881375093721e-01
1.039122303835168903e+00,9.459105431972028688e+06,-2.181150402250520710e+04,9.459130579227164388e+06,-1.321166065223235153e-01,9.425490881374499752e-01
1.059253725177289107e+00,9.459103562472539023e+06,-2.223406472532824773e+04,9.459129693540250883e+06,-1.346761578001689774e-01,9.425490881366840323e-01
1.079775162327710092e+00,9.459101619849877432e+06,-2.266481165534927277e+04,9.459128773218702525e+06,-1.372852960384088605e-01,9.425490881361069384e-01
1.100694171252210030e+00,9.459099601213051006e+06,-2.310390339355904871e+04,9.459127816877247766e+06,-1.399449818809750667e-01,9.425490881362108553e-01
1.122018454301964008e+00,9.459097503639770672e+06,-2.355150159275323313e+04,9.459126823158225045e+06,-1.426561945824284250e-01,9.425490881348060901e-01
1.143755863049539023e+00,9.459095323973082006e+06,-2.400777103599204929e+04,9.459125790530513972e+06,-1.454199323653186104e-01,9.425490881348198569e-01
1.165914401179831916e+00,9.459093059042397887e+06,-2.447287969833844181e+04,9.459124717512968928e+06,-1.482372127911169013e-01,9.425490881351876737e-01
1.188502227437018943e+00,9.459090705510212108e+06,-2.494699880786102585e+04,9.459123602523608133e+06,-1.511090731322908276e-01,9.425490881334834814e-01
1.211527658628589021e+00,9.459088259874688461e+06,-2.543030290864275958e+04,9.459122443884801120e+06,-1.540365707542749873e-01,9.425490881338404181e-01
1.234999172687585967e+00,9.459085718609288335e+06,-2.592296992575286640e+04,9.459121239965580404e+06,-1.570207835070666358e-01,9.425490881341938021e-01
1.258925411794167948e+00,9.459083077900979668e+06,-2.642518122926108481e+04,9.459119988922631368e+06,-1.600628101175572970e-01,9.425490881330552684e-01
1.283315185557651894e+00,9.459080333856787533e+06,-2.693712170208235329e+04,9.459118688909757882e+06,-1.631637705975032548e-01,9.425490881319598113e-01
1.308177474260195039e+00,9.459077482499932870e+06,-2.745897980796004049e+04,9.459117338077023625e+06,-1.663248066556460292e-01,9.425490881316944680e-01
1.333521432163325082e+00,9.459074519589873031e+06,-2.799094765978230498e+04,9.459115934393936768e+06,-1.695470821150210639e-01,9.425490881316355152e-01
1.359356390878527110e+00,9.459071440741546452e+06,-2.853322109093318068e+04,9.459114475771935657e+06,-1.728317833435626394e-01,9.425490881316677116e-01
1.385691862803128949e+00,9.459068241472635418e+06,-2.908599972752415852e+04,9.459112960115043446e+06,-1.761801196911541023e-01,9.425490881306586299e-01
1.412537544622755048e+00,9.459064917008686811e+06,-2.964948706076463714e+04,9.459111385128496215e+06,-1.795933239320263441e-01,9.425490881311290314e-01
1.439903320881634086e+00,9.459061462496327236e+06,-3.022389052295021247e+04,9.459109748535614461e+06,-1.830726527216108013e-01,9.425490881296814116e-01
1.467799267622071024e+00,9.459057872853456065e+06,-3.080942156293448352e+04,9.459108047931792215e+06,-1.866193870569743118e-01,9.425490881291858081e-01
1.496235656094434985e+00,9.459054142782175913e+06,-3.140629572391451075e+04,9.459106280801361427e+06,-1.902348327483450730e-01,9.425490881288136613e-01
1.525222956539020069e+00,9.459050266747703776e+06,-3.201473272250724403e+04,9.459104444500606507e+06,-1.939203208991482630e-01,9.425490881280038646e-01
1.554771842041174912e+00,9.459046239111587405e+06,-3.263495653045321160e+04,9.459102536395236850e+06,-1.976772083988017903e-01,9.425490881281007871e-01
1.584893192461114930e+00,9.459042053543111309e+06,-3.326719545298995217e+04,9.459100553276214749e+06,-2.015068784104181165e-01,9.425490881270365273e-01
1.615598098439875008e+00,9.459037704606790096e+06,-3.391168222351353324e+04,9.459098492951858789e+06,-2.054107409113766491e-01,9.425490881257440057e-01
1.646897865482870094e+00,9.459033185505930334e+06,-3.456865407389742177e+04,9.459096351996153593e+06,-2.093902331676113504e-01,9.425490881251957775e-01
1.678804018122562081e+00,9.459028489643190056e+06,-3.523835283221564168e+04,9.459094127314299345e+06,-2.134468202934536318e-01,9.425490881251283870e-01
1.711328304161781944e+00,9.459023610056962818e+06,-3.592102500775737280e+04,9.459091815584234893e+06,-2.175819957794285775e-01,9.425490881248168584e-01
1.744482698999255899e+00,9.459018539572602138e+06,-3.661692188273954525e+04,9.459089413413235918e+06,-2.217972820453389116e-01,9.425490881248038688e-01
1.778279410038924979e+00,9.459013270751031116e+06,-3.732629960427150218e+04,9.459086917292084545e+06,-2.260942309993494992e-01,9.425490881228054674e-01
1.812730881184700937e+00,9.459007795782007277e+06,-3.804941927766969457e+04,9.459084323494115844e+06,-2.304744246067634561e-01,9.425490881225154771e-01
1.847849797422292939e+00,9.459002106646686792e+06,-3.878654706362856086e+04,9.459081628243811429e+06,-2.349394754758005466e-01,9.425490881208975491e-01
1.883649089489803030e+00,9.458996194914700463e+06,-3.953795427444447705e+04,9.459078827520098537e+06,-2.394910274464692734e-01,9.425490881213306471e-01
1.920141938638803891e+00,9.458990051951620728e+06,-4.030391747534453316e+04,9.459075917270332575e+06,-2.441307562003893206e-01,9.425490881192903903e-01
1.957341781487663024e+00,9.458983668641993776e+06,-4.108471858383272775e+04,9.459072893140058964e+06,-2.488603698707795575e-01,9.425490881179517944e-01
1.995262314968881956e+00,9.458977035580912605e+06,-4.188064497480507271e+04,9.459069750671606511e+06,-2.536816096756951966e-01,9.425490881175856428e-01
2.033917501372294989e+00,9.458970143070934340e+06,-4.269198958608939574e+04,9.459066485308272764e+06,-2.585962505586251736e-01,9.425490881165916601e-01
2.073321573485957803e+00,9.458962980923315510e+06,-4.351905102434894798e+04,9.459063092203147709e+06,-2.636061018367936715e-01,9.425490881152758238e-01
2.113489039836649042e+00,9.458955538573382422e+06,-4.436213367567776731e+04,9.459059566342329606e+06,-2.687130078696373658e-01,9.425490881156058931e-01
2.154434690031886035e+00,9.458947805051002651e+06,-4.522154781709884992e+04,9.459055902523577213e+06,-2.739188487366357450e-01,9.425490881142697397e-01
2.196173600205439058e+00,9.458939769007803872e+06,-4.609760973081620614e+04,9.459052095392026007e+06,-2.792255409302977776e-01,9.425490881122885467e-01
2.238721138568342983e+00,9.458931418604714796e+06,-4.699064181917790120e+04,9.459048139336535707e+06,-2.846350380576220807e-01,9.425490881113792740e-01
2.282092971067454013e+00,9.458922741511957720e+06,-4.790097272303020873e+04,9.459044028498856351e+06,-2.901493315590952804e-01,9.425490881097408069e-01
2.326305067153628947e+00,9.458913724970061332e+06,-4.882893744296599471e+04,9.459039756844179705e+06,-2.957704514433862064e-01,9.425490881087872364e-01
2.371373705661659059e+00,9.458904355716938153e+06,-4.977487746143620461e+04,9.459035318098096177e+06,-3.015004670313893298e-01,9.425490881062857929e-01
2.417315480804107963e+00,9.458894620736218989e+06,-5.073914087602029758e+04,9.459030706505261362e+06,-3.073414877415106550e-01,9.425490881043779856e-01
2.464147308281285031e+00,9.458884504091221839e+06,-5.172208249404659728e+04,9.459025913673909381e+06,-3.132956637677438705e-01,9.425490881025665457e-01
2.511886431509584128e+00,9.458873991649532691e+06,-5.272406401171228208e+04,9.459020933311751112e+06,-3.193651870152971473e-01,9.425490881024258805e-01
2.560550427970480047e+00,9.458863067984215915e+06,-5.374545411483922362e+04,9.459015758138570935e+06,-3.255522918127968790e-01,9.425490881003657506e-01
2.610157215682541221e+00,9.458851716958757490e+06,-5.478662861993075057e+04,9.459010380483211949e+06,-3.318592557514097874e-01,9.425490880989395581e-01
2.660725059798814129e+00,9.458839921913381666e+06,-5.584797061396159552e+04,9.459004792482350022e+06,-3.382884005283943729e-01,9.425490880959902507e-01
2.712272579332033029e+00,9.458827665404707193e+06,-5.692987059199871146e+04,9.458998985833071172e+06,-3.448420927931469260e-01,9.425490880942738459e-01
2.764818754010113011e+00,9.458814928902519867e+06,-5.803272659642154758e+04,9.458992951503105462e+06,-3.515227450057212266e-01,9.425490880928432125e-01
2.818382931264459046e+00,9.458801694740219042e+06,-5.915694438615077524e+04,9.458986681695325300e+06,-3.583328163931923105e-01,9.425490880921316705e-01
2.872984833353669831e+00,9.458787942851861939e+06,-6.030293754666880704e+04,9.458980166599174961e+06,-3.652748137403294959e-01,9.425490880887946732e-01
2.928644564625241919e+00,9.458773652990441769e+06,-6.147112766752738389e+04,9.458973396624119952e+06,-3.723512923877285719e-01,9.425490880868458987e-01
2.985382618917966191e+00,9.458758804129192606e+06,-6.266194448979094886e+04,9.458966361816640943e+06,-3.795648571512216241e-01,9.425490880855555975e-01
3.043219887107727839e+00,9.458743374405875802e+06,-6.387582606274756108e+04,9.458959051820777357e+06,-3.869181632780248625e-01,9.425490880832323448e-01
3.102177664799508072e+00,9.458727341042261571e+06,-6.511321890304093540e+04,9.458951455814557150e+06,-3.944139174190032793e-01,9.425490880792978254e-01
3.162277660168387072e+00,9.458710680495958775e+06,-6.637457816022183397e+04,9.458943562679409981e+06,-4.020548786304994904e-01,9.425490880789059167e-01
3.223542001952469871e+00,9.458693368185253814e+06,-6.766036777952774719e+04,9.458935360743287951e+06,-4.098438593773140459e-01,9.425490880763168766e-01
