 frequency       lr              li             
 1.00000000e+00 -2.93374520e+04 -8.38744045e+01 
 1.02329299e+00 -2.93374407e+04 -8.58280573e+01 
 1.04712855e+00 -2.93374289e+04 -8.78272141e+01 
 1.07151931e+00 -2.93374165e+04 -8.98729347e+01 
 1.09647820e+00 -2.93374035e+04 -9.19663036e+01 
 1.12201845e+00 -2.93373899e+04 -9.41084304e+01 
 1.14815362e+00 -2.93373757e+04 -9.63004506e+01 
 1.17489755e+00 -2.93373608e+04 -9.85435262e+01 
 1.20226443e+00 -2.93373452e+04 -1.00838846e+02 
 1.23026877e+00 -2.93373288e+04 -1.03187627e+02 
 1.25892541e+00 -2.93373117e+04 -1.05591114e+02 
 1.28824955e+00 -2.93372938e+04 -1.08050581e+02 
 1.31825674e+00 -2.93372750e+04 -1.10567332e+02 
 1.34896288e+00 -2.93372554e+04 -1.13142700e+02 
 1.38038426e+00 -2.93372348e+04 -1.15778051e+02 
 1.41253754e+00 -2.93372133e+04 -1.18474781e+02 
 1.44543977e+00 -2.93371907e+04 -1.21234320e+02 
 1.47910839e+00 -2.93371671e+04 -1.24058130e+02 
 1.51356125e+00 -2.93371424e+04 -1.26947708e+02 
 1.54881662e+00 -2.93371165e+04 -1.29904585e+02 
 1.58489319e+00 -2.93370893e+04 -1.32930329e+02 
 1.62181010e+00 -2.93370609e+04 -1.36026542e+02 
 1.65958691e+00 -2.93370312e+04 -1.39194866e+02 
 1.69824365e+00 -2.93370001e+04 -1.42436980e+02 
 1.73780083e+00 -2.93369675e+04 -1.45754601e+02 
 1.77827941e+00 -2.93369333e+04 -1.49149488e+02 
 1.81970086e+00 -2.93368976e+04 -1.52623440e+02 
 1.86208714e+00 -2.93368601e+04 -1.56178298e+02 
 1.90546072e+00 -2.93368209e+04 -1.59815944e+02 
 1.94984460e+00 -2.93367799e+04 -1.63538306e+02 
 1.99526231e+00 -2.93367369e+04 -1.67347358e+02 
 2.04173794e+00 -2.93366919e+04 -1.71245116e+02 
 2.08929613e+00 -2.93366448e+04 -1.75233645e+02 
 2.13796209e+00 -2.93365954e+04 -1.79315059e+02 
 2.18776162e+00 -2.93365438e+04 -1.83491520e+02 
 2.23872114e+00 -2.93364896e+04 -1.87765240e+02 
 2.29086765e+00 -2.93364330e+04 -1.92138483e+02 
 2.34422882e+00 -2.93363737e+04 -1.96613566e+02 
 2.39883292e+00 -2.93363115e+04 -2.01192858e+02 
 2.45470892e+00 -2.93362465e+04 -2.05878785e+02 
 2.51188643e+00 -2.93361784e+04 -2.10673829e+02 
 2.57039578e+00 -2.93361070e+04 -2.15580528e+02 
 2.63026799e+00 -2.93360324e+04 -2.20601482e+02 
 2.69153480e+00 -2.93359542e+04 -2.25739348e+02 
 2.75422870e+00 -2.93358723e+04 -2.30996848e+02 
 2.81838293e+00 -2.93357865e+04 -2.36376765e+02 
 2.88403150e+00 -2.93356967e+04 -2.41881946e+02 
 2.95120923e+00 -2.93356027e+04 -2.47515307e+02 
 3.01995172e+00 -2.93355042e+04 -2.53279829e+02 
 3.09029543e+00 -2.93354011e+04 -2.59178562e+02 
 3.16227766e+00 -2.93352932e+04 -2.65214630e+02 
 3.23593657e+00 -2.93351802e+04 -2.71391227e+02 
 3.31131121e+00 -2.93350618e+04 -2.77711619e+02 
 3.38844156e+00 -2.93349378e+04 -2.84179153e+02 
 3.46736850e+00 -2.93348081e+04 -2.90797249e+02 
 3.54813389e+00 -2.93346722e+04 -2.97569408e+02 
 3.63078055e+00 -2.93345299e+04 -3.04499212e+02 
 3.71535229e+00 -2.93343809e+04 -3.11590326e+02 
 3.80189396e+00 -2.93342248e+04 -3.18846501e+02 
 3.89045145e+00 -2.93340615e+04 -3.26271572e+02 
 3.98107171e+00 -2.93338904e+04 -3.33869465e+02 
 4.07380278e+00 -2.93337112e+04 -3.41644197e+02 
 4.16869383e+00 -2.93335237e+04 -3.49599876e+02 
 4.26579519e+00 -2.93333275e+04 -3.57740713e+02 
 4.36515832e+00 -2.93331218e+04 -3.66070997e+02 
 4.46683592e+00 -2.93329065e+04 -3.74595134e+02 
 4.57088190e+00 -2.93326810e+04 -3.83317628e+02 
 4.67735141e+00 -2.93324449e+04 -3.92243084e+02 
 4.78630092e+00 -2.93321976e+04 -4.01376214e+02 
 4.89778819e+00 -2.93319387e+04 -4.10721841e+02 
 5.01187234e+00 -2.93316676e+04 -4.20284895e+02 
 5.12861384e+00 -2.93313837e+04 -4.30070424e+02 
 5.24807460e+00 -2.93310865e+04 -4.40083590e+02 
 5.37031796e+00 -2.93307753e+04 -4.50329673e+02 
 5.49540874e+00 -2.93304494e+04 -4.60814076e+02 
 5.62341325e+00 -2.93301081e+04 -4.71542326e+02 
 5.75439937e+00 -2.93297508e+04 -4.82520077e+02 
 5.88843655e+00 -2.93293766e+04 -4.93753112e+02 
 6.02559586e+00 -2.93289848e+04 -5.05247348e+02 
 6.16595002e+00 -2.93285746e+04 -5.17008836e+02 
 6.30957344e+00 -2.93281450e+04 -5.29043767e+02 
 6.45654229e+00 -2.93276953e+04 -5.41358473e+02 
 6.60693448e+00 -2.93272243e+04 -5.53959432e+02 
 6.76082975e+00 -2.93267311e+04 -5.66853269e+02 
 6.91830971e+00 -2.93262148e+04 -5.80046760e+02 
 7.07945784e+00 -2.93256741e+04 -5.93546837e+02 
 7.24435960e+00 -2.93251079e+04 -6.07360589e+02 
 7.41310241e+00 -2.93245151e+04 -6.21495266e+02 
 7.58577575e+00 -2.93238944e+04 -6.35958283e+02 
 7.76247117e+00 -2.93232444e+04 -6.50757224e+02 
 7.94328235e+00 -2.93225639e+04 -6.65899846e+02 
 8.12830516e+00 -2.93218513e+04 -6.81394080e+02 
 8.31763771e+00 -2.93211054e+04 -6.97248049e+02 
 8.51138038e+00 -2.93203242e+04 -7.13470024e+02 
 8.70963590e+00 -2.93195061e+04 -7.30068498e+02 
 8.91250938e+00 -2.93186496e+04 -7.47052145e+02 
 9.12010839e+00 -2.93177527e+04 -7.64429831e+02 
 9.33254301e+00 -2.93168137e+04 -7.82210624e+02 
 9.54992586e+00 -2.93158304e+04 -8.00403794e+02 
 9.77237221e+00 -2.93148009e+04 -8.19018818e+02 
 1.00000000e+01 -2.93137230e+04 -8.38065386e+02 
 1.02329299e+01 -2.93125943e+04 -8.57553404e+02 
