 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  7.25506085e-06  2.27161879e-07 
 1.02329299e+00  7.18034398e-06  2.24822433e-07 
 1.04712855e+00  7.10640822e-06  2.22507444e-07 
 1.07151931e+00  7.03324529e-06  2.20216653e-07 
 1.09647820e+00  6.96084699e-06  2.17949803e-07 
 1.12201845e+00  6.88920522e-06  2.15706640e-07 
 1.14815362e+00  6.81831194e-06  2.13486914e-07 
 1.17489755e+00  6.74815924e-06  2.11290375e-07 
 1.20226443e+00  6.67873924e-06  2.09116779e-07 
 1.23026877e+00  6.61004420e-06  2.06965881e-07 
 1.25892541e+00  6.54206642e-06  2.04837441e-07 
 1.28824955e+00  6.47479832e-06  2.02731222e-07 
 1.31825674e+00  6.40823236e-06  2.00646988e-07 
 1.34896288e+00  6.34236112e-06  1.98584505e-07 
 1.38038426e+00  6.27717724e-06  1.96543545e-07 
 1.41253754e+00  6.21267344e-06  1.94523878e-07 
 1.44543977e+00  6.14884252e-06  1.92525280e-07 
 1.47910839e+00  6.08567736e-06  1.90547527e-07 
 1.51356125e+00  6.02317092e-06  1.88590399e-07 
 1.54881662e+00  5.96131622e-06  1.86653678e-07 
 1.58489319e+00  5.90010637e-06  1.84737148e-07 
 1.62181010e+00  5.83953455e-06  1.82840595e-07 
 1.65958691e+00  5.77959402e-06  1.80963808e-07 
 1.69824365e+00  5.72027809e-06  1.79106578e-07 
 1.73780083e+00  5.66158017e-06  1.77268698e-07 
 1.77827941e+00  5.60349372e-06  1.75449964e-07 
 1.81970086e+00  5.54601229e-06  1.73650173e-07 
 1.86208714e+00  5.48912947e-06  1.71869126e-07 
 1.90546072e+00  5.43283895e-06  1.70106623e-07 
 1.94984460e+00  5.37713447e-06  1.68362471e-07 
 1.99526231e+00  5.32200984e-06  1.66636473e-07 
 2.04173794e+00  5.26745894e-06  1.64928440e-07 
 2.08929613e+00  5.21347571e-06  1.63238181e-07 
 2.13796209e+00  5.16005416e-06  1.61565509e-07 
 2.18776162e+00  5.10718836e-06  1.59910237e-07 
 2.23872114e+00  5.05487245e-06  1.58272184e-07 
 2.29086765e+00  5.00310062e-06  1.56651166e-07 
 2.34422882e+00  4.95186715e-06  1.55047004e-07 
 2.39883292e+00  4.90116635e-06  1.53459520e-07 
 2.45470892e+00  4.85099260e-06  1.51888539e-07 
 2.51188643e+00  4.80134035e-06  1.50333887e-07 
 2.57039578e+00  4.75220410e-06  1.48795390e-07 
 2.63026799e+00  4.70357841e-06  1.47272881e-07 
 2.69153480e+00  4.65545791e-06  1.45766188e-07 
 2.75422870e+00  4.60783728e-06  1.44275147e-07 
 2.81838293e+00  4.56071124e-06  1.42799593e-07 
 2.88403150e+00  4.51407458e-06  1.41339361e-07 
 2.95120923e+00  4.46792217e-06  1.39894291e-07 
 3.01995172e+00  4.42224889e-06  1.38464223e-07 
 3.09029543e+00  4.37704970e-06  1.37049000e-07 
 3.16227766e+00  4.33231963e-06  1.35648465e-07 
 3.23593657e+00  4.28805372e-06  1.34262463e-07 
 3.31131121e+00  4.24424710e-06  1.32890842e-07 
 3.38844156e+00  4.20089493e-06  1.31533450e-07 
 3.46736850e+00  4.15799245e-06  1.30190138e-07 
 3.54813389e+00  4.11553491e-06  1.28860758e-07 
 3.63078055e+00  4.07351764e-06  1.27545163e-07 
 3.71535229e+00  4.03193602e-06  1.26243209e-07 
 3.80189396e+00  3.99078546e-06  1.24954751e-07 
 3.89045145e+00  3.95006144e-06  1.23679649e-07 
 3.98107171e+00  3.90975948e-06  1.22417762e-07 
 4.07380278e+00  3.86987514e-06  1.21168950e-07 
 4.16869383e+00  3.83040404e-06  1.19933078e-07 
 4.26579519e+00  3.79134184e-06  1.18710008e-07 
 4.36515832e+00  3.75268424e-06  1.17499608e-07 
 4.46683592e+00  3.71442701e-06  1.16301742e-07 
 4.57088190e+00  3.67656593e-06  1.15116281e-07 
 4.67735141e+00  3.63909686e-06  1.13943094e-07 
 4.78630092e+00  3.60201568e-06  1.12782052e-07 
 4.89778819e+00  3.56531833e-06  1.11633028e-07 
 5.01187234e+00  3.52900077e-06  1.10495896e-07 
 5.12861384e+00  3.49305903e-06  1.09370530e-07 
 5.24807460e+00  3.45748917e-06  1.08256809e-07 
 5.37031796e+00  3.42228729e-06  1.07154609e-07 
 5.49540874e+00  3.38744953e-06  1.06063811e-07 
 5.62341325e+00  3.35297208e-06  1.04984294e-07 
 5.75439937e+00  3.31885117e-06  1.03915940e-07 
 5.88843655e+00  3.28508307e-06  1.02858633e-07 
 6.02559586e+00  3.25166407e-06  1.01812257e-07 
 6.16595002e+00  3.21859053e-06  1.00776697e-07 
 6.30957344e+00  3.18585882e-06  9.97518409e-08 
 6.45654229e+00  3.15346538e-06  9.87375758e-08 
 6.60693448e+00  3.12140666e-06  9.77337911e-08 
 6.76082975e+00  3.08967916e-06  9.67403772e-08 
 6.91830971e+00  3.05827942e-06  9.57572256e-08 
 7.07945784e+00  3.02720401e-06  9.47842292e-08 
 7.24435960e+00  2.99644954e-06  9.38212816e-08 
 7.41310241e+00  2.96601265e-06  9.28682778e-08 
 7.58577575e+00  2.93589003e-06  9.19251140e-08 
 7.76247117e+00  2.90607840e-06  9.09916874e-08 
 7.94328235e+00  2.87657449e-06  9.00678961e-08 
 8.12830516e+00  2.84737511e-06  8.91536396e-08 
 8.31763771e+00  2.81847707e-06  8.82488184e-08 
 8.51138038e+00  2.78987722e-06  8.73533338e-08 
 8.70963590e+00  2.76157246e-06  8.64670885e-08 
 8.91250938e+00  2.73355970e-06  8.55899860e-08 
 9.12010839e+00  2.70583589e-06  8.47219310e-08 
 9.33254301e+00  2.67839802e-06  8.38628290e-08 
 9.54992586e+00  2.65124312e-06  8.30125867e-08 
 9.77237221e+00  2.62436822e-06  8.21711117e-08 
 1.00000000e+01  2.59777041e-06  8.13383126e-08 
 1.02329299e+01  2.57144680e-06  8.05140989e-08 
 1.04712855e+01  2.54539454e-06  7.96983812e-08 
 1.07151931e+01  2.51961079e-06  7.88910709e-08 
 1.09647820e+01  2.49409275e-06  7.80920806e-08 
 1.12201845e+01  2.46883768e-06  7.73013234e-08 
 1.14815362e+01  2.44384281e-06  7.65187137e-08 
 1.17489755e+01  2.41910545e-06  7.57441667e-08 
 1.20226443e+01  2.39462291e-06  7.49775984e-08 
 1.23026877e+01  2.37039254e-06  7.42189258e-08 
 1.25892541e+01  2.34641172e-06  7.34680668e-08 
 1.28824955e+01  2.32267785e-06  7.27249401e-08 
 1.31825674e+01  2.29918837e-06  7.19894652e-08 
 1.34896288e+01  2.27594073e-06  7.12615626e-08 
 1.38038426e+01  2.25293242e-06  7.05411536e-08 
 1.41253754e+01  2.23016095e-06  6.98281603e-08 
 1.44543977e+01  2.20762386e-06  6.91225056e-08 
 1.47910839e+01  2.18531871e-06  6.84241132e-08 
 1.51356125e+01  2.16324310e-06  6.77329079e-08 
 1.54881662e+01  2.14139465e-06  6.70488148e-08 
 1.58489319e+01  2.11977098e-06  6.63717603e-08 
 1.62181010e+01  2.09836978e-06  6.57016711e-08 
 1.65958691e+01  2.07718873e-06  6.50384751e-08 
 1.69824365e+01  2.05622554e-06  6.43821006e-08 
 1.73780083e+01  2.03547797e-06  6.37324770e-08 
 1.77827941e+01  2.01494376e-06  6.30895343e-08 
 1.81970086e+01  1.99462071e-06  6.24532031e-08 
 1.86208714e+01  1.97450663e-06  6.18234149e-08 
 1.90546072e+01  1.95459936e-06  6.12001019e-08 
 1.94984460e+01  1.93489675e-06  6.05831970e-08 
 1.99526231e+01  1.91539667e-06  5.99726338e-08 
 2.04173794e+01  1.89609705e-06  5.93683467e-08 
 2.08929613e+01  1.87699579e-06  5.87702706e-08 
 2.13796209e+01  1.85809084e-06  5.81783413e-08 
 2.18776162e+01  1.83938017e-06  5.75924951e-08 
 2.23872114e+01  1.82086178e-06  5.70126691e-08 
 2.29086765e+01  1.80253367e-06  5.64388009e-08 
 2.34422882e+01  1.78439387e-06  5.58708291e-08 
 2.39883292e+01  1.76644044e-06  5.53086926e-08 
 2.45470892e+01  1.74867146e-06  5.47523311e-08 
 2.51188643e+01  1.73108500e-06  5.42016849e-08 
 2.57039578e+01  1.71367920e-06  5.36566949e-08 
 2.63026799e+01  1.69645218e-06  5.31173028e-08 
 2.69153480e+01  1.67940209e-06  5.25834507e-08 
 2.75422870e+01  1.66252711e-06  5.20550813e-08 
 2.81838293e+01  1.64582543e-06  5.15321382e-08 
 2.88403150e+01  1.62929527e-06  5.10145653e-08 
 2.95120923e+01  1.61293485e-06  5.05023071e-08 
 3.01995172e+01  1.59674242e-06  4.99953090e-08 
 3.09029543e+01  1.58071625e-06  4.94935165e-08 
 3.16227766e+01  1.56485463e-06  4.89968762e-08 
 3.23593657e+01  1.54915586e-06  4.85053348e-08 
 3.31131121e+01  1.53361826e-06  4.80188398e-08 
 3.38844156e+01  1.51824017e-06  4.75373393e-08 
 3.46736850e+01  1.50301994e-06  4.70607817e-08 
 3.54813389e+01  1.48795597e-06  4.65891162e-08 
 3.63078055e+01  1.47304662e-06  4.61222925e-08 
 3.71535229e+01  1.45829032e-06  4.56602607e-08 
 3.80189396e+01  1.44368549e-06  4.52029716e-08 
 3.89045145e+01  1.42923057e-06  4.47503762e-08 
 3.98107171e+01  1.41492402e-06  4.43024265e-08 
 4.07380278e+01  1.40076432e-06  4.38590745e-08 
 4.16869383e+01  1.38674995e-06  4.34202731e-08 
 4.26579519e+01  1.37287942e-06  4.29859756e-08 
 4.36515832e+01  1.35915126e-06  4.25561356e-08 
 4.46683592e+01  1.34556400e-06  4.21307074e-08 
 4.57088190e+01  1.33211619e-06  4.17096457e-08 
 4.67735141e+01  1.31880641e-06  4.12929057e-08 
 4.78630092e+01  1.30563325e-06  4.08804431e-08 
 4.89778819e+01  1.29259529e-06  4.04722139e-08 
 5.01187234e+01  1.27969115e-06  4.00681749e-08 
 5.12861384e+01  1.26691946e-06  3.96682830e-08 
 5.24807460e+01  1.25427887e-06  3.92724957e-08 
 5.37031796e+01  1.24176803e-06  3.88807710e-08 
 5.49540874e+01  1.22938561e-06  3.84930673e-08 
 5.62341325e+01  1.21713030e-06  3.81093435e-08 
 5.75439937e+01  1.20500079e-06  3.77295587e-08 
 5.88843655e+01  1.19299580e-06  3.73536728e-08 
 6.02559586e+01  1.18111406e-06  3.69816458e-08 
 6.16595002e+01  1.16935431e-06  3.66134382e-08 
 6.30957344e+01  1.15771529e-06  3.62490111e-08 
 6.45654229e+01  1.14619578e-06  3.58883258e-08 
 6.60693448e+01  1.13479455e-06  3.55313441e-08 
