 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.98896851e-01  9.04818220e-01 
 8.87812500e-01 -2.43750000e-02 -3.88950356e-01  9.04818300e-01 
 8.88125000e-01 -2.37500000e-02 -3.79000300e-01  9.04818378e-01 
 8.88437500e-01 -2.31250000e-02 -3.69047110e-01  9.04818454e-01 
 8.88750000e-01 -2.25000000e-02 -3.59091154e-01  9.04818527e-01 
 8.89062500e-01 -2.18750000e-02 -3.49132743e-01  9.04818598e-01 
 8.89375000e-01 -2.12500000e-02 -3.39172147e-01  9.04818666e-01 
 8.89687500e-01 -2.06250000e-02 -3.29209599e-01  9.04818733e-01 
 8.90000000e-01 -2.00000000e-02 -3.19245300e-01  9.04818797e-01 
 8.90312500e-01 -1.93750000e-02 -3.09279427e-01  9.04818859e-01 
 8.90625000e-01 -1.87500000e-02 -2.99312135e-01  9.04818919e-01 
 8.90937500e-01 -1.81250000e-02 -2.89343558e-01  9.04818976e-01 
 8.91250000e-01 -1.75000000e-02 -2.79373819e-01  9.04819032e-01 
 8.91562500e-01 -1.68750000e-02 -2.69403024e-01  9.04819085e-01 
 8.91875000e-01 -1.62500000e-02 -2.59431267e-01  9.04819136e-01 
 8.92187500e-01 -1.56250000e-02 -2.49458634e-01  9.04819186e-01 
 8.92500000e-01 -1.50000000e-02 -2.39485201e-01  9.04819233e-01 
 8.92812500e-01 -1.43750000e-02 -2.29511037e-01  9.04819278e-01 
 8.93125000e-01 -1.37500000e-02 -2.19536205e-01  9.04819321e-01 
 8.93437500e-01 -1.31250000e-02 -2.09560760e-01  9.04819362e-01 
 8.93750000e-01 -1.25000000e-02 -1.99584755e-01  9.04819402e-01 
 8.94062500e-01 -1.18750000e-02 -1.89608237e-01  9.04819439e-01 
 8.94375000e-01 -1.12500000e-02 -1.79631249e-01  9.04819474e-01 
 8.94687500e-01 -1.06250000e-02 -1.69653830e-01  9.04819507e-01 
