 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.98719065e-01  9.86550206e-01 
 9.77812500e-01 -2.43750000e-02 -3.88798576e-01  9.86550230e-01 
 9.78125000e-01 -2.37500000e-02 -3.78870413e-01  9.86550252e-01 
 9.78437500e-01 -2.31250000e-02 -3.68935745e-01  9.86550272e-01 
 9.78750000e-01 -2.25000000e-02 -3.58995532e-01  9.86550293e-01 
 9.79062500e-01 -2.18750000e-02 -3.49050560e-01  9.86550312e-01 
 9.79375000e-01 -2.12500000e-02 -3.39101480e-01  9.86550330e-01 
 9.79687500e-01 -2.06250000e-02 -3.29148832e-01  9.86550348e-01 
 9.80000000e-01 -2.00000000e-02 -3.19193070e-01  9.86550365e-01 
 9.80312500e-01 -1.93750000e-02 -3.09234577e-01  9.86550381e-01 
 9.80625000e-01 -1.87500000e-02 -2.99273678e-01  9.86550396e-01 
 9.80937500e-01 -1.81250000e-02 -2.89310651e-01  9.86550411e-01 
 9.81250000e-01 -1.75000000e-02 -2.79345734e-01  9.86550425e-01 
 9.81562500e-01 -1.68750000e-02 -2.69379131e-01  9.86550439e-01 
 9.81875000e-01 -1.62500000e-02 -2.59411023e-01  9.86550452e-01 
 9.82187500e-01 -1.56250000e-02 -2.49441564e-01  9.86550464e-01 
 9.82500000e-01 -1.50000000e-02 -2.39470892e-01  9.86550476e-01 
 9.82812500e-01 -1.43750000e-02 -2.29499125e-01  9.86550487e-01 
 9.83125000e-01 -1.37500000e-02 -2.19526373e-01  9.86550498e-01 
 9.83437500e-01 -1.31250000e-02 -2.09552727e-01  9.86550508e-01 
 9.83750000e-01 -1.25000000e-02 -1.99578274e-01  9.86550517e-01 
 9.84062500e-01 -1.18750000e-02 -1.89603088e-01  9.86550526e-01 
 9.84375000e-01 -1.12500000e-02 -1.79627239e-01  9.86550535e-01 
 9.84687500e-01 -1.06250000e-02 -1.69650787e-01  9.86550543e-01 
 9.85000000e-01 -1.00000000e-02 -1.59673790e-01  9.86550551e-01 
 9.85312500e-01 -9.37500000e-03 -1.49696298e-01  9.86550558e-01 
 9.85625000e-01 -8.75000000e-03 -1.39718358e-01  9.86550564e-01 
 9.85937500e-01 -8.12500000e-03 -1.29740014e-01  9.86550570e-01 
 9.86250000e-01 -7.50000000e-03 -1.19761305e-01  9.86550576e-01 
 9.86562500e-01 -6.87500000e-03 -1.09782269e-01  9.86550581e-01 
 9.86875000e-01 -6.25000000e-03 -9.98029403e-02  9.86550586e-01 
 9.87187500e-01 -5.62500000e-03 -8.98233515e-02  9.86550590e-01 
 9.87500000e-01 -5.00000000e-03 -7.98435336e-02  9.86550594e-01 
 9.87812500e-01 -4.37500000e-03 -6.98635158e-02  9.86550597e-01 
 9.88125000e-01 -3.75000000e-03 -5.98833254e-02  9.86550600e-01 
 9.88437500e-01 -3.12500000e-03 -4.99029895e-02  9.86550603e-01 
 9.88750000e-01 -2.50000000e-03 -3.99225336e-02  9.86550605e-01 
 9.89062500e-01 -1.87500000e-03 -2.99419827e-02  9.86550606e-01 
 9.89375000e-01 -1.25000000e-03 -1.99613610e-02  9.86550607e-01 
 9.89687500e-01 -6.25000000e-04 -9.98069222e-03  9.86550608e-01 
 9.90000000e-01  3.99680289e-15  3.30270256e-11  9.86550608e-01 
 9.90312500e-01  6.25000000e-04  9.98069217e-03  9.86550608e-01 
 9.90625000e-01  1.25000000e-03  1.99613607e-02  9.86550607e-01 
 9.90937500e-01  1.87500000e-03  2.99419826e-02  9.86550606e-01 
 9.91250000e-01  2.50000000e-03  3.99225336e-02  9.86550605e-01 
 9.91562500e-01  3.12500000e-03  4.99029896e-02  9.86550603e-01 
 9.91875000e-01  3.75000000e-03  5.98833255e-02  9.86550600e-01 
 9.92187500e-01  4.37500000e-03  6.98635157e-02  9.86550597e-01 
 9.92500000e-01  5.00000000e-03  7.98435338e-02  9.86550594e-01 
 9.92812500e-01  5.62500000e-03  8.98233514e-02  9.86550590e-01 
 9.93125000e-01  6.25000000e-03  9.98029401e-02  9.86550586e-01 
 9.93437500e-01  6.87500000e-03  1.09782269e-01  9.86550581e-01 
 9.93750000e-01  7.50000000e-03  1.19761305e-01  9.86550576e-01 
 9.94062500e-01  8.12500000e-03  1.29740014e-01  9.86550570e-01 
 9.94375000e-01  8.75000000e-03  1.39718358e-01  9.86550564e-01 
 9.94687500e-01  9.37500000e-03  1.49696298e-01  9.86550558e-01 
 9.95000000e-01  1.00000000e-02  1.59673790e-01  9.86550551e-01 
 9.95312500e-01  1.06250000e-02  1.69650787e-01  9.86550543e-01 
 9.95625000e-01  1.12500000e-02  1.79627239e-01  9.86550535e-01 
 9.95937500e-01  1.18750000e-02  1.89603088e-01  9.86550526e-01 
 9.96250000e-01  1.25000000e-02  1.99578274e-01  9.86550517e-01 
 9.96562500e-01  1.31250000e-02  2.09552727e-01  9.86550508e-01 
 9.96875000e-01  1.37500000e-02  2.19526373e-01  9.86550498e-01 
 9.97187500e-01  1.43750000e-02  2.29499126e-01  9.86550487e-01 
 9.97500000e-01  1.50000000e-02  2.39470892e-01  9.86550476e-01 
 9.97812500e-01  1.56250000e-02  2.49441564e-01  9.86550464e-01 
 9.98125000e-01  1.62500000e-02  2.59411023e-01  9.86550452e-01 
 9.98437500e-01  1.68750000e-02  2.69379131e-01  9.86550439e-01 
 9.98750000e-01  1.75000000e-02  2.79345733e-01  9.86550425e-01 
 9.99062500e-01  1.81250000e-02  2.89310651e-01  9.86550411e-01 
 9.99375000e-01  1.87500000e-02  2.99273678e-01  9.86550396e-01 
 9.99687500e-01  1.93750000e-02  3.09234577e-01  9.86550381e-01 
 1.00000000e+00  2.00000000e-02  3.19193070e-01  9.86550365e-01 
 1.00031250e+00  2.06250000e-02  3.29148832e-01  9.86550348e-01 
 1.00062500e+00  2.12500000e-02  3.39101479e-01  9.86550330e-01 
 1.00093750e+00  2.18750000e-02  3.49050560e-01  9.86550312e-01 
 1.00125000e+00  2.25000000e-02  3.58995531e-01  9.86550293e-01 
 1.00156250e+00  2.31250000e-02  3.68935744e-01  9.86550272e-01 
 1.00187500e+00  2.37500000e-02  3.78870412e-01  9.86550251e-01 
 1.00218750e+00  2.43750000e-02  3.88798579e-01  9.86550230e-01 
 1.00250000e+00  2.50000000e-02  3.98719070e-01  9.86550207e-01 
