 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.98553541e-01  9.01978391e-01 
 8.87812500e-01 -2.43750000e-02 -3.88630913e-01  9.01978440e-01 
 8.88125000e-01 -2.37500000e-02 -3.78702312e-01  9.01978488e-01 
 8.88437500e-01 -2.31250000e-02 -3.68768515e-01  9.01978535e-01 
 8.88750000e-01 -2.25000000e-02 -3.58830176e-01  9.01978579e-01 
 8.89062500e-01 -2.18750000e-02 -3.48887850e-01  9.01978623e-01 
 8.89375000e-01 -2.12500000e-02 -3.38942007e-01  9.01978665e-01 
 8.89687500e-01 -2.06250000e-02 -3.28993052e-01  9.01978705e-01 
 8.90000000e-01 -2.00000000e-02 -3.19041330e-01  9.01978744e-01 
 8.90312500e-01 -1.93750000e-02 -3.09087142e-01  9.01978781e-01 
 8.90625000e-01 -1.87500000e-02 -2.99130746e-01  9.01978818e-01 
 8.90937500e-01 -1.81250000e-02 -2.89172370e-01  9.01978852e-01 
 8.91250000e-01 -1.75000000e-02 -2.79212211e-01  9.01978886e-01 
 8.91562500e-01 -1.68750000e-02 -2.69250444e-01  9.01978918e-01 
 8.91875000e-01 -1.62500000e-02 -2.59287222e-01  9.01978949e-01 
 8.92187500e-01 -1.56250000e-02 -2.49322683e-01  9.01978979e-01 
 8.92500000e-01 -1.50000000e-02 -2.39356948e-01  9.01979007e-01 
 8.92812500e-01 -1.43750000e-02 -2.29390125e-01  9.01979034e-01 
 8.93125000e-01 -1.37500000e-02 -2.19422313e-01  9.01979060e-01 
 8.93437500e-01 -1.31250000e-02 -2.09453598e-01  9.01979085e-01 
 8.93750000e-01 -1.25000000e-02 -1.99484061e-01  9.01979108e-01 
 8.94062500e-01 -1.18750000e-02 -1.89513773e-01  9.01979131e-01 
 8.94375000e-01 -1.12500000e-02 -1.79542801e-01  9.01979152e-01 
 8.94687500e-01 -1.06250000e-02 -1.69571204e-01  9.01979172e-01 
 8.95000000e-01 -1.00000000e-02 -1.59599038e-01  9.01979190e-01 
 8.95312500e-01 -9.37500000e-03 -1.49626354e-01  9.01979208e-01 
 8.95625000e-01 -8.75000000e-03 -1.39653198e-01  9.01979224e-01 
 8.95937500e-01 -8.12500000e-03 -1.29679615e-01  9.01979240e-01 
 8.96250000e-01 -7.50000000e-03 -1.19705645e-01  9.01979254e-01 
 8.96562500e-01 -6.87500000e-03 -1.09731326e-01  9.01979267e-01 
 8.96875000e-01 -6.25000000e-03 -9.97566948e-02  9.01979279e-01 
 8.97187500e-01 -5.62500000e-03 -8.97817856e-02  9.01979289e-01 
 8.97500000e-01 -5.00000000e-03 -7.98066299e-02  9.01979299e-01 
 8.97812500e-01 -4.37500000e-03 -6.98312589e-02  9.01979307e-01 
 8.98125000e-01 -3.75000000e-03 -5.98557023e-02  9.01979315e-01 
 8.98437500e-01 -3.12500000e-03 -4.98799881e-02  9.01979321e-01 
 8.98750000e-01 -2.50000000e-03 -3.99041444e-02  9.01979326e-01 
 8.99062500e-01 -1.87500000e-03 -2.99281975e-02  9.01979330e-01 
 8.99375000e-01 -1.25000000e-03 -1.99521740e-02  9.01979333e-01 
 8.99687500e-01 -6.25000000e-04 -9.97609976e-03  9.01979334e-01 
 9.00000000e-01  3.99680289e-15 -1.23183685e-11  9.01979335e-01 
 9.00312500e-01  6.25000000e-04  9.97609974e-03  9.01979334e-01 
 9.00625000e-01  1.25000000e-03  1.99521741e-02  9.01979333e-01 
 9.00937500e-01  1.87500000e-03  2.99281976e-02  9.01979330e-01 
 9.01250000e-01  2.50000000e-03  3.99041443e-02  9.01979326e-01 
 9.01562500e-01  3.12500000e-03  4.98799881e-02  9.01979321e-01 
 9.01875000e-01  3.75000000e-03  5.98557022e-02  9.01979315e-01 
 9.02187500e-01  4.37500000e-03  6.98312588e-02  9.01979307e-01 
 9.02500000e-01  5.00000000e-03  7.98066299e-02  9.01979299e-01 
 9.02812500e-01  5.62500000e-03  8.97817855e-02  9.01979289e-01 
 9.03125000e-01  6.25000000e-03  9.97566949e-02  9.01979279e-01 
 9.03437500e-01  6.87500000e-03  1.09731326e-01  9.01979267e-01 
 9.03750000e-01  7.50000000e-03  1.19705645e-01  9.01979254e-01 
 9.04062500e-01  8.12500000e-03  1.29679615e-01  9.01979240e-01 
 9.04375000e-01  8.75000000e-03  1.39653198e-01  9.01979224e-01 
 9.04687500e-01  9.37500000e-03  1.49626354e-01  9.01979208e-01 
 9.05000000e-01  1.00000000e-02  1.59599038e-01  9.01979190e-01 
 9.05312500e-01  1.06250000e-02  1.69571204e-01  9.01979172e-01 
 9.05625000e-01  1.12500000e-02  1.79542801e-01  9.01979152e-01 
 9.05937500e-01  1.18750000e-02  1.89513773e-01  9.01979131e-01 
 9.06250000e-01  1.25000000e-02  1.99484061e-01  9.01979108e-01 
 9.06562500e-01  1.31250000e-02  2.09453598e-01  9.01979085e-01 
 9.06875000e-01  1.37500000e-02  2.19422313e-01  9.01979060e-01 
 9.07187500e-01  1.43750000e-02  2.29390125e-01  9.01979034e-01 
 9.07500000e-01  1.50000000e-02  2.39356948e-01  9.01979007e-01 
 9.07812500e-01  1.56250000e-02  2.49322683e-01  9.01978979e-01 
 9.08125000e-01  1.62500000e-02  2.59287222e-01  9.01978949e-01 
 9.08437500e-01  1.68750000e-02  2.69250444e-01  9.01978918e-01 
 9.08750000e-01  1.75000000e-02  2.79212211e-01  9.01978886e-01 
 9.09062500e-01  1.81250000e-02  2.89172370e-01  9.01978852e-01 
 9.09375000e-01  1.87500000e-02  2.99130746e-01  9.01978817e-01 
 9.09687500e-01  1.93750000e-02  3.09087142e-01  9.01978781e-01 
 9.10000000e-01  2.00000000e-02  3.19041331e-01  9.01978744e-01 
 9.10312500e-01  2.06250000e-02  3.28993052e-01  9.01978705e-01 
 9.10625000e-01  2.12500000e-02  3.38942007e-01  9.01978665e-01 
 9.10937500e-01  2.18750000e-02  3.48887850e-01  9.01978623e-01 
 9.11250000e-01  2.25000000e-02  3.58830176e-01  9.01978579e-01 
 9.11562500e-01  2.31250000e-02  3.68768515e-01  9.01978535e-01 
 9.11875000e-01  2.37500000e-02  3.78702312e-01  9.01978488e-01 
 9.12187500e-01  2.43750000e-02  3.88630913e-01  9.01978440e-01 
 9.12500000e-01  2.50000000e-02  3.98553541e-01  9.01978391e-01 
