 v-sweep         id              od              cm             
 7.97500000e-01 -2.50000000e-02 -3.99083807e-01  8.18728759e-01 
 7.97812500e-01 -2.43750000e-02 -3.89124733e-01  8.18729093e-01 
 7.98125000e-01 -2.37500000e-02 -3.79163251e-01  8.18729417e-01 
 7.98437500e-01 -2.31250000e-02 -3.69199641e-01  8.18729731e-01 
 7.98750000e-01 -2.25000000e-02 -3.59234143e-01  8.18730037e-01 
 7.99062500e-01 -2.18750000e-02 -3.49266964e-01  8.18730333e-01 
 7.99375000e-01 -2.12500000e-02 -3.39298279e-01  8.18730621e-01 
 7.99687500e-01 -2.06250000e-02 -3.29328244e-01  8.18730899e-01 
 8.00000000e-01 -2.00000000e-02 -3.19356993e-01  8.18731169e-01 
 8.00312500e-01 -1.93750000e-02 -3.09384642e-01  8.18731429e-01 
 8.00625000e-01 -1.87500000e-02 -2.99411296e-01  8.18731681e-01 
 8.00937500e-01 -1.81250000e-02 -2.89437045e-01  8.18731924e-01 
 8.01250000e-01 -1.75000000e-02 -2.79461972e-01  8.18732159e-01 
 8.01562500e-01 -1.68750000e-02 -2.69486148e-01  8.18732384e-01 
 8.01875000e-01 -1.62500000e-02 -2.59509640e-01  8.18732601e-01 
 8.02187500e-01 -1.56250000e-02 -2.49532504e-01  8.18732810e-01 
 8.02500000e-01 -1.50000000e-02 -2.39554793e-01  8.18733010e-01 
 8.02812500e-01 -1.43750000e-02 -2.29576556e-01  8.18733202e-01 
 8.03125000e-01 -1.37500000e-02 -2.19597835e-01  8.18733385e-01 
 8.03437500e-01 -1.31250000e-02 -2.09618670e-01  8.18733560e-01 
 8.03750000e-01 -1.25000000e-02 -1.99639097e-01  8.18733727e-01 
 8.04062500e-01 -1.18750000e-02 -1.89659149e-01  8.18733885e-01 
 8.04375000e-01 -1.12500000e-02 -1.79678857e-01  8.18734035e-01 
 8.04687500e-01 -1.06250000e-02 -1.69698250e-01  8.18734176e-01 
 8.05000000e-01 -1.00000000e-02 -1.59717352e-01  8.18734310e-01 
 8.05312500e-01 -9.37500000e-03 -1.49736191e-01  8.18734435e-01 
 8.05625000e-01 -8.75000000e-03 -1.39754786e-01  8.18734552e-01 
 8.05937500e-01 -8.12500000e-03 -1.29773162e-01  8.18734661e-01 
 8.06250000e-01 -7.50000000e-03 -1.19791336e-01  8.18734762e-01 
 8.06562500e-01 -6.87500000e-03 -1.09809330e-01  8.18734855e-01 
 8.06875000e-01 -6.25000000e-03 -9.98271603e-02  8.18734939e-01 
 8.07187500e-01 -5.62500000e-03 -8.98448448e-02  8.18735016e-01 
 8.07500000e-01 -5.00000000e-03 -7.98624003e-02  8.18735084e-01 
 8.07812500e-01 -4.37500000e-03 -6.98798423e-02  8.18735144e-01 
 8.08125000e-01 -3.75000000e-03 -5.98971863e-02  8.18735196e-01 
 8.08437500e-01 -3.12500000e-03 -4.99144471e-02  8.18735241e-01 
 8.08750000e-01 -2.50000000e-03 -3.99316396e-02  8.18735277e-01 
 8.09062500e-01 -1.87500000e-03 -2.99487770e-02  8.18735305e-01 
 8.09375000e-01 -1.25000000e-03 -1.99658739e-02  8.18735325e-01 
 8.09687500e-01 -6.25000000e-04 -9.98294355e-03  8.18735337e-01 
 8.10000000e-01  3.99680289e-15 -6.26726449e-11  8.18735341e-01 
 8.10312500e-01  6.25000000e-04  9.98294360e-03  8.18735337e-01 
 8.10625000e-01  1.25000000e-03  1.99658738e-02  8.18735325e-01 
 8.10937500e-01  1.87500000e-03  2.99487769e-02  8.18735305e-01 
 8.11250000e-01  2.50000000e-03  3.99316396e-02  8.18735277e-01 
 8.11562500e-01  3.12500000e-03  4.99144471e-02  8.18735241e-01 
 8.11875000e-01  3.75000000e-03  5.98971864e-02  8.18735196e-01 
 8.12187500e-01  4.37500000e-03  6.98798423e-02  8.18735144e-01 
