 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.98678824e-01  9.83076410e-01 
 9.77812500e-01 -2.43750000e-02 -3.88745304e-01  9.83076426e-01 
 9.78125000e-01 -2.37500000e-02 -3.78807024e-01  9.83076442e-01 
 9.78437500e-01 -2.31250000e-02 -3.68864599e-01  9.83076458e-01 
 9.78750000e-01 -2.25000000e-02 -3.58918544e-01  9.83076472e-01 
 9.79062500e-01 -2.18750000e-02 -3.48969296e-01  9.83076486e-01 
 9.79375000e-01 -2.12500000e-02 -3.39017222e-01  9.83076500e-01 
 9.79687500e-01 -2.06250000e-02 -3.29062638e-01  9.83076512e-01 
 9.80000000e-01 -2.00000000e-02 -3.19105814e-01  9.83076525e-01 
 9.80312500e-01 -1.93750000e-02 -3.09146987e-01  9.83076536e-01 
 9.80625000e-01 -1.87500000e-02 -2.99186358e-01  9.83076548e-01 
 9.80937500e-01 -1.81250000e-02 -2.89224106e-01  9.83076559e-01 
 9.81250000e-01 -1.75000000e-02 -2.79260388e-01  9.83076569e-01 
 9.81562500e-01 -1.68750000e-02 -2.69295340e-01  9.83076579e-01 
 9.81875000e-01 -1.62500000e-02 -2.59329086e-01  9.83076588e-01 
 9.82187500e-01 -1.56250000e-02 -2.49361734e-01  9.83076597e-01 
 9.82500000e-01 -1.50000000e-02 -2.39393382e-01  9.83076606e-01 
 9.82812500e-01 -1.43750000e-02 -2.29424116e-01  9.83076614e-01 
 9.83125000e-01 -1.37500000e-02 -2.19454016e-01  9.83076622e-01 
 9.83437500e-01 -1.31250000e-02 -2.09483153e-01  9.83076629e-01 
 9.83750000e-01 -1.25000000e-02 -1.99511592e-01  9.83076636e-01 
 9.84062500e-01 -1.18750000e-02 -1.89539392e-01  9.83076643e-01 
 9.84375000e-01 -1.12500000e-02 -1.79566607e-01  9.83076649e-01 
 9.84687500e-01 -1.06250000e-02 -1.69593286e-01  9.83076655e-01 
 9.85000000e-01 -1.00000000e-02 -1.59619476e-01  9.83076661e-01 
 9.85312500e-01 -9.37500000e-03 -1.49645220e-01  9.83076666e-01 
 9.85625000e-01 -8.75000000e-03 -1.39670556e-01  9.83076671e-01 
 9.85937500e-01 -8.12500000e-03 -1.29695523e-01  9.83076675e-01 
 9.86250000e-01 -7.50000000e-03 -1.19720153e-01  9.83076679e-01 
 9.86562500e-01 -6.87500000e-03 -1.09744480e-01  9.83076683e-01 
 9.86875000e-01 -6.25000000e-03 -9.97685354e-02  9.83076686e-01 
 9.87187500e-01 -5.62500000e-03 -8.97923474e-02  9.83076690e-01 
 9.87500000e-01 -5.00000000e-03 -7.98159447e-02  9.83076692e-01 
 9.87812500e-01 -4.37500000e-03 -6.98393532e-02  9.83076695e-01 
 9.88125000e-01 -3.75000000e-03 -5.98625990e-02  9.83076697e-01 
 9.88437500e-01 -3.12500000e-03 -4.98857068e-02  9.83076699e-01 
 9.88750000e-01 -2.50000000e-03 -3.99087007e-02  9.83076700e-01 
 9.89062500e-01 -1.87500000e-03 -2.99316040e-02  9.83076701e-01 
 9.89375000e-01 -1.25000000e-03 -1.99544399e-02  9.83076702e-01 
 9.89687500e-01 -6.25000000e-04 -9.97723120e-03  9.83076703e-01 
 9.90000000e-01  3.99680289e-15 -3.99305033e-11  9.83076703e-01 
 9.90312500e-01  6.25000000e-04  9.97723125e-03  9.83076703e-01 
 9.90625000e-01  1.25000000e-03  1.99544400e-02  9.83076702e-01 
 9.90937500e-01  1.87500000e-03  2.99316040e-02  9.83076701e-01 
 9.91250000e-01  2.50000000e-03  3.99087006e-02  9.83076700e-01 
 9.91562500e-01  3.12500000e-03  4.98857066e-02  9.83076699e-01 
 9.91875000e-01  3.75000000e-03  5.98625991e-02  9.83076697e-01 
 9.92187500e-01  4.37500000e-03  6.98393532e-02  9.83076695e-01 
 9.92500000e-01  5.00000000e-03  7.98159446e-02  9.83076692e-01 
 9.92812500e-01  5.62500000e-03  8.97923475e-02  9.83076690e-01 
 9.93125000e-01  6.25000000e-03  9.97685353e-02  9.83076686e-01 
 9.93437500e-01  6.87500000e-03  1.09744480e-01  9.83076683e-01 
 9.93750000e-01  7.50000000e-03  1.19720153e-01  9.83076679e-01 
 9.94062500e-01  8.12500000e-03  1.29695522e-01  9.83076675e-01 
 9.94375000e-01  8.75000000e-03  1.39670556e-01  9.83076671e-01 
 9.94687500e-01  9.37500000e-03  1.49645220e-01  9.83076666e-01 
 9.95000000e-01  1.00000000e-02  1.59619477e-01  9.83076661e-01 
 9.95312500e-01  1.06250000e-02  1.69593286e-01  9.83076655e-01 
 9.95625000e-01  1.12500000e-02  1.79566607e-01  9.83076649e-01 
 9.95937500e-01  1.18750000e-02  1.89539392e-01  9.83076643e-01 
 9.96250000e-01  1.25000000e-02  1.99511592e-01  9.83076636e-01 
 9.96562500e-01  1.31250000e-02  2.09483153e-01  9.83076629e-01 
 9.96875000e-01  1.37500000e-02  2.19454016e-01  9.83076622e-01 
 9.97187500e-01  1.43750000e-02  2.29424116e-01  9.83076614e-01 
 9.97500000e-01  1.50000000e-02  2.39393382e-01  9.83076606e-01 
 9.97812500e-01  1.56250000e-02  2.49361734e-01  9.83076597e-01 
 9.98125000e-01  1.62500000e-02  2.59329086e-01  9.83076588e-01 
 9.98437500e-01  1.68750000e-02  2.69295340e-01  9.83076579e-01 
 9.98750000e-01  1.75000000e-02  2.79260388e-01  9.83076569e-01 
 9.99062500e-01  1.81250000e-02  2.89224106e-01  9.83076559e-01 
 9.99375000e-01  1.87500000e-02  2.99186358e-01  9.83076548e-01 
 9.99687500e-01  1.93750000e-02  3.09146987e-01  9.83076536e-01 
 1.00000000e+00  2.00000000e-02  3.19105814e-01  9.83076525e-01 
 1.00031250e+00  2.06250000e-02  3.29062638e-01  9.83076512e-01 
 1.00062500e+00  2.12500000e-02  3.39017222e-01  9.83076500e-01 
 1.00093750e+00  2.18750000e-02  3.48969296e-01  9.83076486e-01 
 1.00125000e+00  2.25000000e-02  3.58918544e-01  9.83076472e-01 
 1.00156250e+00  2.31250000e-02  3.68864599e-01  9.83076458e-01 
 1.00187500e+00  2.37500000e-02  3.78807024e-01  9.83076442e-01 
 1.00218750e+00  2.43750000e-02  3.88745304e-01  9.83076426e-01 
 1.00250000e+00  2.50000000e-02  3.98678824e-01  9.83076410e-01 
