 v-sweep         id              od              cm             
 7.97500000e-01 -2.50000000e-02 -3.99001193e-01  8.39724100e-01 
 7.97812500e-01 -2.43750000e-02 -3.89038422e-01  8.39725435e-01 
 7.98125000e-01 -2.37500000e-02 -3.79074226e-01  8.39726736e-01 
 7.98437500e-01 -2.31250000e-02 -3.69108731e-01  8.39728002e-01 
 7.98750000e-01 -2.25000000e-02 -3.59142054e-01  8.39729235e-01 
 7.99062500e-01 -2.18750000e-02 -3.49174297e-01  8.39730434e-01 
 7.99375000e-01 -2.12500000e-02 -3.39205550e-01  8.39731599e-01 
 7.99687500e-01 -2.06250000e-02 -3.29235895e-01  8.39732730e-01 
 8.00000000e-01 -2.00000000e-02 -3.19265406e-01  8.39733827e-01 
 8.00312500e-01 -1.93750000e-02 -3.09294149e-01  8.39734891e-01 
 8.00625000e-01 -1.87500000e-02 -2.99322183e-01  8.39735920e-01 
 8.00937500e-01 -1.81250000e-02 -2.89349564e-01  8.39736916e-01 
 8.01250000e-01 -1.75000000e-02 -2.79376342e-01  8.39737878e-01 
 8.01562500e-01 -1.68750000e-02 -2.69402560e-01  8.39738806e-01 
 8.01875000e-01 -1.62500000e-02 -2.59428261e-01  8.39739700e-01 
 8.02187500e-01 -1.56250000e-02 -2.49453484e-01  8.39740561e-01 
 8.02500000e-01 -1.50000000e-02 -2.39478262e-01  8.39741388e-01 
 8.02812500e-01 -1.43750000e-02 -2.29502628e-01  8.39742180e-01 
 8.03125000e-01 -1.37500000e-02 -2.19526613e-01  8.39742940e-01 
 8.03437500e-01 -1.31250000e-02 -2.09550244e-01  8.39743665e-01 
 8.03750000e-01 -1.25000000e-02 -1.99573547e-01  8.39744357e-01 
 8.04062500e-01 -1.18750000e-02 -1.89596546e-01  8.39745015e-01 
 8.04375000e-01 -1.12500000e-02 -1.79619265e-01  8.39745639e-01 
 8.04687500e-01 -1.06250000e-02 -1.69641724e-01  8.39746229e-01 
 8.05000000e-01 -1.00000000e-02 -1.59663943e-01  8.39746786e-01 
 8.05312500e-01 -9.37500000e-03 -1.49685942e-01  8.39747309e-01 
 8.05625000e-01 -8.75000000e-03 -1.39707738e-01  8.39747798e-01 
 8.05937500e-01 -8.12500000e-03 -1.29729348e-01  8.39748253e-01 
 8.06250000e-01 -7.50000000e-03 -1.19750789e-01  8.39748675e-01 
 8.06562500e-01 -6.87500000e-03 -1.09772076e-01  8.39749063e-01 
 8.06875000e-01 -6.25000000e-03 -9.97932234e-02  8.39749417e-01 
 8.07187500e-01 -5.62500000e-03 -8.98142466e-02  8.39749738e-01 
 8.07500000e-01 -5.00000000e-03 -7.98351586e-02  8.39750024e-01 
 8.07812500e-01 -4.37500000e-03 -6.98559733e-02  8.39750277e-01 
 8.08125000e-01 -3.75000000e-03 -5.98767030e-02  8.39750497e-01 
 8.08437500e-01 -3.12500000e-03 -4.98973613e-02  8.39750682e-01 
 8.08750000e-01 -2.50000000e-03 -3.99179598e-02  8.39750834e-01 
 8.09062500e-01 -1.87500000e-03 -2.99385111e-02  8.39750952e-01 
 8.09375000e-01 -1.25000000e-03 -1.99590270e-02  8.39751036e-01 
 8.09687500e-01 -6.25000000e-04 -9.97951925e-03  8.39751087e-01 
 8.10000000e-01  3.99680289e-15 -4.25481872e-12  8.39751104e-01 
 8.10312500e-01  6.25000000e-04  9.97951945e-03  8.39751087e-01 
 8.10625000e-01  1.25000000e-03  1.99590270e-02  8.39751036e-01 
 8.10937500e-01  1.87500000e-03  2.99385109e-02  8.39750952e-01 
 8.11250000e-01  2.50000000e-03  3.99179599e-02  8.39750834e-01 
 8.11562500e-01  3.12500000e-03  4.98973612e-02  8.39750682e-01 
 8.11875000e-01  3.75000000e-03  5.98767031e-02  8.39750497e-01 
 8.12187500e-01  4.37500000e-03  6.98559733e-02  8.39750277e-01 
 8.12500000e-01  5.00000000e-03  7.98351586e-02  8.39750024e-01 
 8.12812500e-01  5.62500000e-03  8.98142466e-02  8.39749738e-01 
 8.13125000e-01  6.25000000e-03  9.97932236e-02  8.39749417e-01 
 8.13437500e-01  6.87500000e-03  1.09772076e-01  8.39749063e-01 
 8.13750000e-01  7.50000000e-03  1.19750789e-01  8.39748675e-01 
 8.14062500e-01  8.12500000e-03  1.29729348e-01  8.39748253e-01 
 8.14375000e-01  8.75000000e-03  1.39707738e-01  8.39747798e-01 
 8.14687500e-01  9.37500000e-03  1.49685942e-01  8.39747309e-01 
 8.15000000e-01  1.00000000e-02  1.59663943e-01  8.39746786e-01 
 8.15312500e-01  1.06250000e-02  1.69641724e-01  8.39746229e-01 
 8.15625000e-01  1.12500000e-02  1.79619265e-01  8.39745639e-01 
 8.15937500e-01  1.18750000e-02  1.89596547e-01  8.39745015e-01 
 8.16250000e-01  1.25000000e-02  1.99573547e-01  8.39744357e-01 
 8.16562500e-01  1.31250000e-02  2.09550244e-01  8.39743665e-01 
 8.16875000e-01  1.37500000e-02  2.19526613e-01  8.39742940e-01 
 8.17187500e-01  1.43750000e-02  2.29502628e-01  8.39742180e-01 
 8.17500000e-01  1.50000000e-02  2.39478262e-01  8.39741388e-01 
 8.17812500e-01  1.56250000e-02  2.49453484e-01  8.39740561e-01 
 8.18125000e-01  1.62500000e-02  2.59428261e-01  8.39739700e-01 
 8.18437500e-01  1.68750000e-02  2.69402560e-01  8.39738806e-01 
 8.18750000e-01  1.75000000e-02  2.79376342e-01  8.39737878e-01 
 8.19062500e-01  1.81250000e-02  2.89349565e-01  8.39736916e-01 
 8.19375000e-01  1.87500000e-02  2.99322183e-01  8.39735920e-01 
 8.19687500e-01  1.93750000e-02  3.09294148e-01  8.39734891e-01 
 8.20000000e-01  2.00000000e-02  3.19265406e-01  8.39733827e-01 
 8.20312500e-01  2.06250000e-02  3.29235895e-01  8.39732730e-01 
 8.20625000e-01  2.12500000e-02  3.39205550e-01  8.39731599e-01 
 8.20937500e-01  2.18750000e-02  3.49174297e-01  8.39730434e-01 
 8.21250000e-01  2.25000000e-02  3.59142054e-01  8.39729235e-01 
 8.21562500e-01  2.31250000e-02  3.69108731e-01  8.39728002e-01 
 8.21875000e-01  2.37500000e-02  3.79074226e-01  8.39726736e-01 
 8.22187500e-01  2.43750000e-02  3.89038422e-01  8.39725435e-01 
 8.22500000e-01  2.50000000e-02  3.99001193e-01  8.39724100e-01 
