 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.99000446e-01  9.88908574e-01 
 9.77812500e-01 -2.43750000e-02 -3.89055525e-01  9.88908602e-01 
 9.78125000e-01 -2.37500000e-02 -3.79106058e-01  9.88908630e-01 
 9.78437500e-01 -2.31250000e-02 -3.69152681e-01  9.88908656e-01 
 9.78750000e-01 -2.25000000e-02 -3.59195920e-01  9.88908682e-01 
 9.79062500e-01 -2.18750000e-02 -3.49236215e-01  9.88908706e-01 
 9.79375000e-01 -2.12500000e-02 -3.39273934e-01  9.88908730e-01 
 9.79687500e-01 -2.06250000e-02 -3.29309388e-01  9.88908752e-01 
 9.80000000e-01 -2.00000000e-02 -3.19342843e-01  9.88908774e-01 
 9.80312500e-01 -1.93750000e-02 -3.09374523e-01  9.88908795e-01 
 9.80625000e-01 -1.87500000e-02 -2.99404625e-01  9.88908815e-01 
 9.80937500e-01 -1.81250000e-02 -2.89433317e-01  9.88908834e-01 
 9.81250000e-01 -1.75000000e-02 -2.79460744e-01  9.88908852e-01 
 9.81562500e-01 -1.68750000e-02 -2.69487035e-01  9.88908870e-01 
 9.81875000e-01 -1.62500000e-02 -2.59512302e-01  9.88908887e-01 
 9.82187500e-01 -1.56250000e-02 -2.49536643e-01  9.88908903e-01 
 9.82500000e-01 -1.50000000e-02 -2.39560147e-01  9.88908918e-01 
 9.82812500e-01 -1.43750000e-02 -2.29582892e-01  9.88908933e-01 
 9.83125000e-01 -1.37500000e-02 -2.19604946e-01  9.88908947e-01 
 9.83437500e-01 -1.31250000e-02 -2.09626373e-01  9.88908960e-01 
 9.83750000e-01 -1.25000000e-02 -1.99647230e-01  9.88908973e-01 
 9.84062500e-01 -1.18750000e-02 -1.89667566e-01  9.88908985e-01 
 9.84375000e-01 -1.12500000e-02 -1.79687428e-01  9.88908996e-01 
 9.84687500e-01 -1.06250000e-02 -1.69706859e-01  9.88909006e-01 
 9.85000000e-01 -1.00000000e-02 -1.59725897e-01  9.88909016e-01 
 9.85312500e-01 -9.37500000e-03 -1.49744577e-01  9.88909026e-01 
 9.85625000e-01 -8.75000000e-03 -1.39762933e-01  9.88909035e-01 
 9.85937500e-01 -8.12500000e-03 -1.29780995e-01  9.88909043e-01 
 9.86250000e-01 -7.50000000e-03 -1.19798791e-01  9.88909050e-01 
 9.86562500e-01 -6.87500000e-03 -1.09816348e-01  9.88909057e-01 
 9.86875000e-01 -6.25000000e-03 -9.98336909e-02  9.88909063e-01 
 9.87187500e-01 -5.62500000e-03 -8.98508421e-02  9.88909069e-01 
 9.87500000e-01 -5.00000000e-03 -7.98678248e-02  9.88909074e-01 
 9.87812500e-01 -4.37500000e-03 -6.98846602e-02  9.88909078e-01 
 9.88125000e-01 -3.75000000e-03 -5.99013681e-02  9.88909082e-01 
 9.88437500e-01 -3.12500000e-03 -4.99179684e-02  9.88909085e-01 
 9.88750000e-01 -2.50000000e-03 -3.99344802e-02  9.88909088e-01 
 9.89062500e-01 -1.87500000e-03 -2.99509211e-02  9.88909090e-01 
 9.89375000e-01 -1.25000000e-03 -1.99673097e-02  9.88909092e-01 
 9.89687500e-01 -6.25000000e-04 -9.98366371e-03  9.88909093e-01 
 9.90000000e-01  3.99680289e-15  5.84597926e-11  9.88909093e-01 
 9.90312500e-01  6.25000000e-04  9.98366358e-03  9.88909093e-01 
 9.90625000e-01  1.25000000e-03  1.99673099e-02  9.88909092e-01 
 9.90937500e-01  1.87500000e-03  2.99509211e-02  9.88909090e-01 
 9.91250000e-01  2.50000000e-03  3.99344801e-02  9.88909088e-01 
 9.91562500e-01  3.12500000e-03  4.99179685e-02  9.88909085e-01 
 9.91875000e-01  3.75000000e-03  5.99013682e-02  9.88909082e-01 
 9.92187500e-01  4.37500000e-03  6.98846601e-02  9.88909078e-01 
 9.92500000e-01  5.00000000e-03  7.98678249e-02  9.88909074e-01 
 9.92812500e-01  5.62500000e-03  8.98508423e-02  9.88909069e-01 
 9.93125000e-01  6.25000000e-03  9.98336908e-02  9.88909063e-01 
 9.93437500e-01  6.87500000e-03  1.09816348e-01  9.88909057e-01 
 9.93750000e-01  7.50000000e-03  1.19798791e-01  9.88909050e-01 
 9.94062500e-01  8.12500000e-03  1.29780995e-01  9.88909043e-01 
 9.94375000e-01  8.75000000e-03  1.39762933e-01  9.88909035e-01 
 9.94687500e-01  9.37500000e-03  1.49744577e-01  9.88909026e-01 
 9.95000000e-01  1.00000000e-02  1.59725897e-01  9.88909016e-01 
 9.95312500e-01  1.06250000e-02  1.69706859e-01  9.88909006e-01 
 9.95625000e-01  1.12500000e-02  1.79687428e-01  9.88908996e-01 
 9.95937500e-01  1.18750000e-02  1.89667566e-01  9.88908985e-01 
 9.96250000e-01  1.25000000e-02  1.99647230e-01  9.88908973e-01 
 9.96562500e-01  1.31250000e-02  2.09626373e-01  9.88908960e-01 
