 v-sweep         id              od              cm             
 7.97500000e-01 -2.50000000e-02 -3.98446603e-01  8.23756754e-01 
 7.97812500e-01 -2.43750000e-02 -3.88584455e-01  8.23757965e-01 
 7.98125000e-01 -2.37500000e-02 -3.78702055e-01  8.23759143e-01 
 7.98437500e-01 -2.31250000e-02 -3.68803524e-01  8.23760286e-01 
 7.98750000e-01 -2.25000000e-02 -3.58892019e-01  8.23761396e-01 
 7.99062500e-01 -2.18750000e-02 -3.48969977e-01  8.23762474e-01 
 7.99375000e-01 -2.12500000e-02 -3.39039301e-01  8.23763520e-01 
 7.99687500e-01 -2.06250000e-02 -3.29101485e-01  8.23764534e-01 
 8.00000000e-01 -2.00000000e-02 -3.19157714e-01  8.23765516e-01 
 8.00312500e-01 -1.93750000e-02 -3.09208939e-01  8.23766466e-01 
 8.00625000e-01 -1.87500000e-02 -2.99255925e-01  8.23767385e-01 
 8.00937500e-01 -1.81250000e-02 -2.89299296e-01  8.23768273e-01 
 8.01250000e-01 -1.75000000e-02 -2.79339564e-01  8.23769131e-01 
 8.01562500e-01 -1.68750000e-02 -2.69377153e-01  8.23769957e-01 
 8.01875000e-01 -1.62500000e-02 -2.59412415e-01  8.23770753e-01 
 8.02187500e-01 -1.56250000e-02 -2.49445647e-01  8.23771517e-01 
 8.02500000e-01 -1.50000000e-02 -2.39477099e-01  8.23772252e-01 
 8.02812500e-01 -1.43750000e-02 -2.29506984e-01  8.23772956e-01 
 8.03125000e-01 -1.37500000e-02 -2.19535485e-01  8.23773629e-01 
 8.03437500e-01 -1.31250000e-02 -2.09562759e-01  8.23774273e-01 
 8.03750000e-01 -1.25000000e-02 -1.99588943e-01  8.23774886e-01 
 8.04062500e-01 -1.18750000e-02 -1.89614155e-01  8.23775469e-01 
 8.04375000e-01 -1.12500000e-02 -1.79638500e-01  8.23776021e-01 
 8.04687500e-01 -1.06250000e-02 -1.69662069e-01  8.23776544e-01 
 8.05000000e-01 -1.00000000e-02 -1.59684945e-01  8.23777036e-01 
 8.05312500e-01 -9.37500000e-03 -1.49707200e-01  8.23777499e-01 
 8.05625000e-01 -8.75000000e-03 -1.39728899e-01  8.23777931e-01 
 8.05937500e-01 -8.12500000e-03 -1.29750101e-01  8.23778334e-01 
 8.06250000e-01 -7.50000000e-03 -1.19770859e-01  8.23778706e-01 
 8.06562500e-01 -6.87500000e-03 -1.09791222e-01  8.23779049e-01 
 8.06875000e-01 -6.25000000e-03 -9.98112349e-02  8.23779362e-01 
 8.07187500e-01 -5.62500000e-03 -8.98309384e-02  8.23779645e-01 
 8.07500000e-01 -5.00000000e-03 -7.98503707e-02  8.23779898e-01 
 8.07812500e-01 -4.37500000e-03 -6.98695682e-02  8.23780121e-01 
