 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.98897284e-01  9.04792846e-01 
 8.87812500e-01 -2.43750000e-02 -3.88950758e-01  9.04792927e-01 
 8.88125000e-01 -2.37500000e-02 -3.79000675e-01  9.04793005e-01 
 8.88437500e-01 -2.31250000e-02 -3.69047461e-01  9.04793081e-01 
 8.88750000e-01 -2.25000000e-02 -3.59091483e-01  9.04793154e-01 
 8.89062500e-01 -2.18750000e-02 -3.49133052e-01  9.04793225e-01 
 8.89375000e-01 -2.12500000e-02 -3.39172438e-01  9.04793293e-01 
 8.89687500e-01 -2.06250000e-02 -3.29209873e-01  9.04793360e-01 
 8.90000000e-01 -2.00000000e-02 -3.19245558e-01  9.04793424e-01 
 8.90312500e-01 -1.93750000e-02 -3.09279671e-01  9.04793486e-01 
 8.90625000e-01 -1.87500000e-02 -2.99312364e-01  9.04793546e-01 
 8.90937500e-01 -1.81250000e-02 -2.89343776e-01  9.04793603e-01 
 8.91250000e-01 -1.75000000e-02 -2.79374024e-01  9.04793659e-01 
 8.91562500e-01 -1.68750000e-02 -2.69403218e-01  9.04793712e-01 
 8.91875000e-01 -1.62500000e-02 -2.59431450e-01  9.04793763e-01 
 8.92187500e-01 -1.56250000e-02 -2.49458807e-01  9.04793813e-01 
 8.92500000e-01 -1.50000000e-02 -2.39485364e-01  9.04793860e-01 
 8.92812500e-01 -1.43750000e-02 -2.29511191e-01  9.04793905e-01 
 8.93125000e-01 -1.37500000e-02 -2.19536350e-01  9.04793948e-01 
 8.93437500e-01 -1.31250000e-02 -2.09560897e-01  9.04793989e-01 
 8.93750000e-01 -1.25000000e-02 -1.99584884e-01  9.04794029e-01 
 8.94062500e-01 -1.18750000e-02 -1.89608358e-01  9.04794066e-01 
 8.94375000e-01 -1.12500000e-02 -1.79631362e-01  9.04794101e-01 
 8.94687500e-01 -1.06250000e-02 -1.69653935e-01  9.04794134e-01 
 8.95000000e-01 -1.00000000e-02 -1.59676116e-01  9.04794166e-01 
 8.95312500e-01 -9.37500000e-03 -1.49697937e-01  9.04794195e-01 
 8.95625000e-01 -8.75000000e-03 -1.39719430e-01  9.04794223e-01 
 8.95937500e-01 -8.12500000e-03 -1.29740626e-01  9.04794248e-01 
 8.96250000e-01 -7.50000000e-03 -1.19761551e-01  9.04794272e-01 
 8.96562500e-01 -6.87500000e-03 -1.09782232e-01  9.04794293e-01 
 8.96875000e-01 -6.25000000e-03 -9.98026946e-02  9.04794313e-01 
 8.97187500e-01 -5.62500000e-03 -8.98229610e-02  9.04794331e-01 
 8.97500000e-01 -5.00000000e-03 -7.98430546e-02  9.04794347e-01 
 8.97812500e-01 -4.37500000e-03 -6.98629962e-02  9.04794361e-01 
 8.98125000e-01 -3.75000000e-03 -5.98828066e-02  9.04794374e-01 
 8.98437500e-01 -3.12500000e-03 -4.99025059e-02  9.04794384e-01 
 8.98750000e-01 -2.50000000e-03 -3.99221138e-02  9.04794392e-01 
 8.99062500e-01 -1.87500000e-03 -2.99416485e-02  9.04794399e-01 
 8.99375000e-01 -1.25000000e-03 -1.99611291e-02  9.04794404e-01 
 8.99687500e-01 -6.25000000e-04 -9.98057353e-03  9.04794406e-01 
 9.00000000e-01  3.99680289e-15  1.18259180e-10  9.04794407e-01 
 9.00312500e-01  6.25000000e-04  9.98057367e-03  9.04794406e-01 
 9.00625000e-01  1.25000000e-03  1.99611290e-02  9.04794404e-01 
 9.00937500e-01  1.87500000e-03  2.99416487e-02  9.04794399e-01 
 9.01250000e-01  2.50000000e-03  3.99221137e-02  9.04794392e-01 
 9.01562500e-01  3.12500000e-03  4.99025060e-02  9.04794384e-01 
 9.01875000e-01  3.75000000e-03  5.98828067e-02  9.04794374e-01 
 9.02187500e-01  4.37500000e-03  6.98629961e-02  9.04794361e-01 
 9.02500000e-01  5.00000000e-03  7.98430546e-02  9.04794347e-01 
 9.02812500e-01  5.62500000e-03  8.98229611e-02  9.04794331e-01 
 9.03125000e-01  6.25000000e-03  9.98026946e-02  9.04794313e-01 
 9.03437500e-01  6.87500000e-03  1.09782232e-01  9.04794293e-01 
 9.03750000e-01  7.50000000e-03  1.19761551e-01  9.04794272e-01 
 9.04062500e-01  8.12500000e-03  1.29740625e-01  9.04794248e-01 
 9.04375000e-01  8.75000000e-03  1.39719430e-01  9.04794223e-01 
 9.04687500e-01  9.37500000e-03  1.49697937e-01  9.04794195e-01 
 9.05000000e-01  1.00000000e-02  1.59676116e-01  9.04794166e-01 
 9.05312500e-01  1.06250000e-02  1.69653936e-01  9.04794134e-01 
 9.05625000e-01  1.12500000e-02  1.79631362e-01  9.04794101e-01 
 9.05937500e-01  1.18750000e-02  1.89608358e-01  9.04794066e-01 
 9.06250000e-01  1.25000000e-02  1.99584884e-01  9.04794029e-01 
 9.06562500e-01  1.31250000e-02  2.09560897e-01  9.04793989e-01 
 9.06875000e-01  1.37500000e-02  2.19536350e-01  9.04793948e-01 
 9.07187500e-01  1.43750000e-02  2.29511191e-01  9.04793905e-01 
 9.07500000e-01  1.50000000e-02  2.39485364e-01  9.04793860e-01 
 9.07812500e-01  1.56250000e-02  2.49458807e-01  9.04793813e-01 
 9.08125000e-01  1.62500000e-02  2.59431450e-01  9.04793763e-01 
 9.08437500e-01  1.68750000e-02  2.69403217e-01  9.04793712e-01 
 9.08750000e-01  1.75000000e-02  2.79374024e-01  9.04793659e-01 
 9.09062500e-01  1.81250000e-02  2.89343775e-01  9.04793603e-01 
 9.09375000e-01  1.87500000e-02  2.99312364e-01  9.04793546e-01 
 9.09687500e-01  1.93750000e-02  3.09279671e-01  9.04793486e-01 
 9.10000000e-01  2.00000000e-02  3.19245558e-01  9.04793424e-01 
 9.10312500e-01  2.06250000e-02  3.29209873e-01  9.04793360e-01 
 9.10625000e-01  2.12500000e-02  3.39172438e-01  9.04793293e-01 
 9.10937500e-01  2.18750000e-02  3.49133052e-01  9.04793225e-01 
 9.11250000e-01  2.25000000e-02  3.59091483e-01  9.04793154e-01 
 9.11562500e-01  2.31250000e-02  3.69047461e-01  9.04793081e-01 
 9.11875000e-01  2.37500000e-02  3.79000675e-01  9.04793005e-01 
 9.12187500e-01  2.43750000e-02  3.88950758e-01  9.04792927e-01 
 9.12500000e-01  2.50000000e-02  3.98897284e-01  9.04792846e-01 
