 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.98304409e-01  9.90364302e-01 
 9.77812500e-01 -2.43750000e-02 -3.88439371e-01  9.90364338e-01 
 9.78125000e-01 -2.37500000e-02 -3.78557842e-01  9.90364372e-01 
 9.78437500e-01 -2.31250000e-02 -3.68662589e-01  9.90364405e-01 
 9.78750000e-01 -2.25000000e-02 -3.58755853e-01  9.90364436e-01 
 9.79062500e-01 -2.18750000e-02 -3.48839453e-01  9.90364466e-01 
 9.79375000e-01 -2.12500000e-02 -3.38914875e-01  9.90364495e-01 
 9.79687500e-01 -2.06250000e-02 -3.28983338e-01  9.90364522e-01 
 9.80000000e-01 -2.00000000e-02 -3.19045847e-01  9.90364548e-01 
 9.80312500e-01 -1.93750000e-02 -3.09103237e-01  9.90364574e-01 
 9.80625000e-01 -1.87500000e-02 -2.99156202e-01  9.90364598e-01 
 9.80937500e-01 -1.81250000e-02 -2.89205327e-01  9.90364621e-01 
 9.81250000e-01 -1.75000000e-02 -2.79251102e-01  9.90364643e-01 
 9.81562500e-01 -1.68750000e-02 -2.69293942e-01  9.90364664e-01 
 9.81875000e-01 -1.62500000e-02 -2.59334204e-01  9.90364684e-01 
 9.82187500e-01 -1.56250000e-02 -2.49372189e-01  9.90364703e-01 
 9.82500000e-01 -1.50000000e-02 -2.39408159e-01  9.90364722e-01 
 9.82812500e-01 -1.43750000e-02 -2.29442340e-01  9.90364739e-01 
 9.83125000e-01 -1.37500000e-02 -2.19474928e-01  9.90364756e-01 
 9.83437500e-01 -1.31250000e-02 -2.09506094e-01  9.90364772e-01 
 9.83750000e-01 -1.25000000e-02 -1.99535989e-01  9.90364787e-01 
 9.84062500e-01 -1.18750000e-02 -1.89564744e-01  9.90364801e-01 
 9.84375000e-01 -1.12500000e-02 -1.79592478e-01  9.90364814e-01 
 9.84687500e-01 -1.06250000e-02 -1.69619295e-01  9.90364827e-01 
 9.85000000e-01 -1.00000000e-02 -1.59645288e-01  9.90364839e-01 
 9.85312500e-01 -9.37500000e-03 -1.49670541e-01  9.90364850e-01 
 9.85625000e-01 -8.75000000e-03 -1.39695129e-01  9.90364860e-01 
 9.85937500e-01 -8.12500000e-03 -1.29719123e-01  9.90364870e-01 
 9.86250000e-01 -7.50000000e-03 -1.19742583e-01  9.90364879e-01 
 9.86562500e-01 -6.87500000e-03 -1.09765568e-01  9.90364887e-01 
 9.86875000e-01 -6.25000000e-03 -9.97881299e-02  9.90364894e-01 
 9.87187500e-01 -5.62500000e-03 -8.98103188e-02  9.90364901e-01 
 9.87500000e-01 -5.00000000e-03 -7.98321799e-02  9.90364907e-01 
 9.87812500e-01 -4.37500000e-03 -6.98537563e-02  9.90364912e-01 
 9.88125000e-01 -3.75000000e-03 -5.98750882e-02  9.90364917e-01 
 9.88437500e-01 -3.12500000e-03 -4.98962142e-02  9.90364921e-01 
 9.88750000e-01 -2.50000000e-03 -3.99171708e-02  9.90364924e-01 
 9.89062500e-01 -1.87500000e-03 -2.99379939e-02  9.90364926e-01 
 9.89375000e-01 -1.25000000e-03 -1.99587174e-02  9.90364928e-01 
 9.89687500e-01 -6.25000000e-04 -9.97937517e-03  9.90364929e-01 
 9.90000000e-01  3.99680289e-15  5.99055250e-11  9.90364929e-01 
 9.90312500e-01  6.25000000e-04  9.97937509e-03  9.90364929e-01 
 9.90625000e-01  1.25000000e-03  1.99587174e-02  9.90364928e-01 
 9.90937500e-01  1.87500000e-03  2.99379939e-02  9.90364926e-01 
 9.91250000e-01  2.50000000e-03  3.99171709e-02  9.90364924e-01 
 9.91562500e-01  3.12500000e-03  4.98962140e-02  9.90364920e-01 
 9.91875000e-01  3.75000000e-03  5.98750882e-02  9.90364917e-01 
 9.92187500e-01  4.37500000e-03  6.98537560e-02  9.90364912e-01 
 9.92500000e-01  5.00000000e-03  7.98321800e-02  9.90364907e-01 
 9.92812500e-01  5.62500000e-03  8.98103188e-02  9.90364901e-01 
 9.93125000e-01  6.25000000e-03  9.97881299e-02  9.90364894e-01 
 9.93437500e-01  6.87500000e-03  1.09765568e-01  9.90364887e-01 
 9.93750000e-01  7.50000000e-03  1.19742583e-01  9.90364879e-01 
 9.94062500e-01  8.12500000e-03  1.29719123e-01  9.90364870e-01 
