 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.96057169e-01  9.96990121e-01 
 9.77812500e-01 -2.43750000e-02 -3.86225869e-01  9.96990158e-01 
 9.78125000e-01 -2.37500000e-02 -3.76386543e-01  9.96990194e-01 
 9.78437500e-01 -2.31250000e-02 -3.66539890e-01  9.96990229e-01 
 9.78750000e-01 -2.25000000e-02 -3.56686535e-01  9.96990262e-01 
 9.79062500e-01 -2.18750000e-02 -3.46827037e-01  9.96990295e-01 
 9.79375000e-01 -2.12500000e-02 -3.36961899e-01  9.96990326e-01 
 9.79687500e-01 -2.06250000e-02 -3.27091573e-01  9.96990357e-01 
 9.80000000e-01 -2.00000000e-02 -3.17216470e-01  9.96990386e-01 
 9.80312500e-01 -1.93750000e-02 -3.07336960e-01  9.96990414e-01 
 9.80625000e-01 -1.87500000e-02 -2.97453380e-01  9.96990442e-01 
 9.80937500e-01 -1.81250000e-02 -2.87566036e-01  9.96990468e-01 
 9.81250000e-01 -1.75000000e-02 -2.77675210e-01  9.96990493e-01 
 9.81562500e-01 -1.68750000e-02 -2.67781158e-01  9.96990518e-01 
 9.81875000e-01 -1.62500000e-02 -2.57884116e-01  9.96990541e-01 
 9.82187500e-01 -1.56250000e-02 -2.47984300e-01  9.96990564e-01 
 9.82500000e-01 -1.50000000e-02 -2.38081911e-01  9.96990585e-01 
 9.82812500e-01 -1.43750000e-02 -2.28177134e-01  9.96990606e-01 
 9.83125000e-01 -1.37500000e-02 -2.18270142e-01  9.96990626e-01 
 9.83437500e-01 -1.31250000e-02 -2.08361094e-01  9.96990645e-01 
 9.83750000e-01 -1.25000000e-02 -1.98450139e-01  9.96990662e-01 
 9.84062500e-01 -1.18750000e-02 -1.88537417e-01  9.96990679e-01 
 9.84375000e-01 -1.12500000e-02 -1.78623060e-01  9.96990696e-01 
 9.84687500e-01 -1.06250000e-02 -1.68707189e-01  9.96990711e-01 
 9.85000000e-01 -1.00000000e-02 -1.58789921e-01  9.96990725e-01 
 9.85312500e-01 -9.37500000e-03 -1.48871366e-01  9.96990738e-01 
 9.85625000e-01 -8.75000000e-03 -1.38951628e-01  9.96990751e-01 
 9.85937500e-01 -8.12500000e-03 -1.29030806e-01  9.96990763e-01 
 9.86250000e-01 -7.50000000e-03 -1.19108993e-01  9.96990773e-01 
 9.86562500e-01 -6.87500000e-03 -1.09186282e-01  9.96990783e-01 
 9.86875000e-01 -6.25000000e-03 -9.92627566e-02  9.96990792e-01 
 9.87187500e-01 -5.62500000e-03 -8.93385025e-02  9.96990801e-01 
 9.87500000e-01 -5.00000000e-03 -7.94135991e-02  9.96990808e-01 
 9.87812500e-01 -4.37500000e-03 -6.94881250e-02  9.96990814e-01 
 9.88125000e-01 -3.75000000e-03 -5.95621557e-02  9.96990820e-01 
 9.88437500e-01 -3.12500000e-03 -4.96357659e-02  9.96990825e-01 
 9.88750000e-01 -2.50000000e-03 -3.97090274e-02  9.96990828e-01 
 9.89062500e-01 -1.87500000e-03 -2.97820118e-02  9.96990831e-01 
 9.89375000e-01 -1.25000000e-03 -1.98547892e-02  9.96990834e-01 
 9.89687500e-01 -6.25000000e-04 -9.92742900e-03  9.96990835e-01 
 9.90000000e-01  3.99680289e-15 -7.66189334e-11  9.96990835e-01 
 9.90312500e-01  6.25000000e-04  9.92742898e-03  9.96990835e-01 
 9.90625000e-01  1.25000000e-03  1.98547893e-02  9.96990834e-01 
 9.90937500e-01  1.87500000e-03  2.97820119e-02  9.96990831e-01 
 9.91250000e-01  2.50000000e-03  3.97090275e-02  9.96990828e-01 
 9.91562500e-01  3.12500000e-03  4.96357660e-02  9.96990825e-01 
 9.91875000e-01  3.75000000e-03  5.95621558e-02  9.96990820e-01 
 9.92187500e-01  4.37500000e-03  6.94881250e-02  9.96990814e-01 
 9.92500000e-01  5.00000000e-03  7.94135990e-02  9.96990808e-01 
 9.92812500e-01  5.62500000e-03  8.93385025e-02  9.96990801e-01 
 9.93125000e-01  6.25000000e-03  9.92627566e-02  9.96990792e-01 
 9.93437500e-01  6.87500000e-03  1.09186282e-01  9.96990783e-01 
 9.93750000e-01  7.50000000e-03  1.19108993e-01  9.96990773e-01 
 9.94062500e-01  8.12500000e-03  1.29030806e-01  9.96990763e-01 
 9.94375000e-01  8.75000000e-03  1.38951628e-01  9.96990751e-01 
 9.94687500e-01  9.37500000e-03  1.48871366e-01  9.96990738e-01 
 9.95000000e-01  1.00000000e-02  1.58789921e-01  9.96990725e-01 
 9.95312500e-01  1.06250000e-02  1.68707189e-01  9.96990711e-01 
 9.95625000e-01  1.12500000e-02  1.78623060e-01  9.96990696e-01 
 9.95937500e-01  1.18750000e-02  1.88537417e-01  9.96990679e-01 
 9.96250000e-01  1.25000000e-02  1.98450139e-01  9.96990662e-01 
 9.96562500e-01  1.31250000e-02  2.08361094e-01  9.96990645e-01 
 9.96875000e-01  1.37500000e-02  2.18270142e-01  9.96990626e-01 
 9.97187500e-01  1.43750000e-02  2.28177134e-01  9.96990606e-01 
 9.97500000e-01  1.50000000e-02  2.38081911e-01  9.96990585e-01 
 9.97812500e-01  1.56250000e-02  2.47984300e-01  9.96990564e-01 
 9.98125000e-01  1.62500000e-02  2.57884116e-01  9.96990541e-01 
 9.98437500e-01  1.68750000e-02  2.67781158e-01  9.96990518e-01 
 9.98750000e-01  1.75000000e-02  2.77675210e-01  9.96990493e-01 
 9.99062500e-01  1.81250000e-02  2.87566036e-01  9.96990468e-01 
 9.99375000e-01  1.87500000e-02  2.97453380e-01  9.96990442e-01 
 9.99687500e-01  1.93750000e-02  3.07336960e-01  9.96990414e-01 
 1.00000000e+00  2.00000000e-02  3.17216470e-01  9.96990386e-01 
 1.00031250e+00  2.06250000e-02  3.27091573e-01  9.96990356e-01 
 1.00062500e+00  2.12500000e-02  3.36961899e-01  9.96990326e-01 
 1.00093750e+00  2.18750000e-02  3.46827037e-01  9.96990295e-01 
 1.00125000e+00  2.25000000e-02  3.56686535e-01  9.96990262e-01 
 1.00156250e+00  2.31250000e-02  3.66539890e-01  9.96990229e-01 
 1.00187500e+00  2.37500000e-02  3.76386543e-01  9.96990194e-01 
 1.00218750e+00  2.43750000e-02  3.86225869e-01  9.96990158e-01 
 1.00250000e+00  2.50000000e-02  3.96057169e-01  9.96990121e-01 
