 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  5.00789685e-05  1.61006810e-06 
 1.02329299e+00  4.95504892e-05  1.59307718e-06 
 1.04712855e+00  4.90276702e-05  1.57626825e-06 
 1.07151931e+00  4.85104502e-05  1.55963932e-06 
 1.09647820e+00  4.79987682e-05  1.54318845e-06 
 1.12201845e+00  4.74925642e-05  1.52691369e-06 
 1.14815362e+00  4.69917787e-05  1.51081315e-06 
 1.17489755e+00  4.64963528e-05  1.49488492e-06 
 1.20226443e+00  4.60062284e-05  1.47912713e-06 
 1.23026877e+00  4.55213480e-05  1.46353794e-06 
 1.25892541e+00  4.50416546e-05  1.44811552e-06 
 1.28824955e+00  4.45670920e-05  1.43285805e-06 
 1.31825674e+00  4.40976045e-05  1.41776375e-06 
 1.34896288e+00  4.36331370e-05  1.40283085e-06 
 1.38038426e+00  4.31736351e-05  1.38805760e-06 
 1.41253754e+00  4.27190451e-05  1.37344226e-06 
 1.44543977e+00  4.22693135e-05  1.35898313e-06 
 1.47910839e+00  4.18243878e-05  1.34467851e-06 
 1.51356125e+00  4.13842158e-05  1.33052672e-06 
 1.54881662e+00  4.09487461e-05  1.31652612e-06 
 1.58489319e+00  4.05179276e-05  1.30267505e-06 
 1.62181010e+00  4.00917101e-05  1.28897191e-06 
 1.65958691e+00  3.96700435e-05  1.27541508e-06 
 1.69824365e+00  3.92528788e-05  1.26200299e-06 
 1.73780083e+00  3.88401670e-05  1.24873407e-06 
 1.77827941e+00  3.84318600e-05  1.23560676e-06 
 1.81970086e+00  3.80279102e-05  1.22261954e-06 
 1.86208714e+00  3.76282702e-05  1.20977088e-06 
 1.90546072e+00  3.72328935e-05  1.19705929e-06 
 1.94984460e+00  3.68417340e-05  1.18448328e-06 
 1.99526231e+00  3.64547460e-05  1.17204139e-06 
 2.04173794e+00  3.60718844e-05  1.15973216e-06 
 2.08929613e+00  3.56931045e-05  1.14755417e-06 
 2.13796209e+00  3.53183622e-05  1.13550599e-06 
 2.18776162e+00  3.49476139e-05  1.12358621e-06 
 2.23872114e+00  3.45808163e-05  1.11179345e-06 
 2.29086765e+00  3.42179267e-05  1.10012634e-06 
 2.34422882e+00  3.38589030e-05  1.08858352e-06 
 2.39883292e+00  3.35037033e-05  1.07716364e-06 
 2.45470892e+00  3.31522863e-05  1.06586538e-06 
 2.51188643e+00  3.28046111e-05  1.05468742e-06 
 2.57039578e+00  3.24606373e-05  1.04362846e-06 
 2.63026799e+00  3.21203249e-05  1.03268722e-06 
 2.69153480e+00  3.17836344e-05  1.02186242e-06 
 2.75422870e+00  3.14505267e-05  1.01115281e-06 
 2.81838293e+00  3.11209631e-05  1.00055715e-06 
 2.88403150e+00  3.07949053e-05  9.90074201e-07 
 2.95120923e+00  3.04723155e-05  9.79702751e-07 
 3.01995172e+00  3.01531563e-05  9.69441595e-07 
 3.09029543e+00  2.98373906e-05  9.59289544e-07 
 3.16227766e+00  2.95249818e-05  9.49245421e-07 
 3.23593657e+00  2.92158938e-05  9.39308061e-07 
 3.31131121e+00  2.89100908e-05  9.29476313e-07 
 3.38844156e+00  2.86075372e-05  9.19749038e-07 
 3.46736850e+00  2.83081980e-05  9.10125110e-07 
 3.54813389e+00  2.80120387e-05  9.00603414e-07 
 3.63078055e+00  2.77190249e-05  8.91182849e-07 
 3.71535229e+00  2.74291227e-05  8.81862324e-07 
 3.80189396e+00  2.71422986e-05  8.72640763e-07 
 3.89045145e+00  2.68585195e-05  8.63517097e-07 
 3.98107171e+00  2.65777525e-05  8.54490274e-07 
 4.07380278e+00  2.62999652e-05  8.45559250e-07 
 4.16869383e+00  2.60251255e-05  8.36722992e-07 
 4.26579519e+00  2.57532016e-05  8.27980482e-07 
 4.36515832e+00  2.54841623e-05  8.19330709e-07 
 4.46683592e+00  2.52179763e-05  8.10772676e-07 
 4.57088190e+00  2.49546131e-05  8.02305395e-07 
 4.67735141e+00  2.46940422e-05  7.93927889e-07 
 4.78630092e+00  2.44362336e-05  7.85639192e-07 
 4.89778819e+00  2.41811577e-05  7.77438350e-07 
 5.01187234e+00  2.39287849e-05  7.69324417e-07 
 5.12861384e+00  2.36790862e-05  7.61296459e-07 
 5.24807460e+00  2.34320329e-05  7.53353550e-07 
 5.37031796e+00  2.31875965e-05  7.45494778e-07 
 5.49540874e+00  2.29457489e-05  7.37719237e-07 
 5.62341325e+00  2.27064623e-05  7.30026033e-07 
 5.75439937e+00  2.24697092e-05  7.22414280e-07 
 5.88843655e+00  2.22354622e-05  7.14883105e-07 
 6.02559586e+00  2.20036946e-05  7.07431641e-07 
 6.16595002e+00  2.17743797e-05  7.00059033e-07 
 6.30957344e+00  2.15474911e-05  6.92764432e-07 
 6.45654229e+00  2.13230028e-05  6.85547003e-07 
 6.60693448e+00  2.11008891e-05  6.78405915e-07 
 6.76082975e+00  2.08811243e-05  6.71340350e-07 
 6.91830971e+00  2.06636834e-05  6.64349498e-07 
 7.07945784e+00  2.04485414e-05  6.57432556e-07 
 7.24435960e+00  2.02356736e-05  6.50588731e-07 
 7.41310241e+00  2.00250556e-05  6.43817239e-07 
 7.58577575e+00  1.98166633e-05  6.37117305e-07 
 7.76247117e+00  1.96104728e-05  6.30488160e-07 
 7.94328235e+00  1.94064605e-05  6.23929047e-07 
 8.12830516e+00  1.92046031e-05  6.17439213e-07 
 8.31763771e+00  1.90048775e-05  6.11017917e-07 
 8.51138038e+00  1.88072607e-05  6.04664424e-07 
 8.70963590e+00  1.86117303e-05  5.98378007e-07 
 8.91250938e+00  1.84182639e-05  5.92157947e-07 
 9.12010839e+00  1.82268393e-05  5.86003535e-07 
 9.33254301e+00  1.80374347e-05  5.79914066e-07 
 9.54992586e+00  1.78500284e-05  5.73888845e-07 
 9.77237221e+00  1.76645991e-05  5.67927185e-07 
 1.00000000e+01  1.74811256e-05  5.62028404e-07 
 1.02329299e+01  1.72995870e-05  5.56191831e-07 
 1.04712855e+01  1.71199625e-05  5.50416798e-07 
 1.07151931e+01  1.69422316e-05  5.44702648e-07 
 1.09647820e+01  1.67663742e-05  5.39048730e-07 
 1.12201845e+01  1.65923702e-05  5.33454398e-07 
 1.14815362e+01  1.64201997e-05  5.27919015e-07 
 1.17489755e+01  1.62498431e-05  5.22441952e-07 
 1.20226443e+01  1.60812811e-05  5.17022585e-07 
 1.23026877e+01  1.59144944e-05  5.11660297e-07 
 1.25892541e+01  1.57494642e-05  5.06354477e-07 
 1.28824955e+01  1.55861715e-05  5.01104523e-07 
 1.31825674e+01  1.54245979e-05  4.95909838e-07 
 1.34896288e+01  1.52647250e-05  4.90769830e-07 
 1.38038426e+01  1.51065346e-05  4.85683917e-07 
 1.41253754e+01  1.49500088e-05  4.80651519e-07 
 1.44543977e+01  1.47951297e-05  4.75672067e-07 
 1.47910839e+01  1.46418799e-05  4.70744994e-07 
 1.51356125e+01  1.44902418e-05  4.65869742e-07 
 1.54881662e+01  1.43401983e-05  4.61045757e-07 
 1.58489319e+01  1.41917325e-05  4.56272492e-07 
 1.62181010e+01  1.40448274e-05  4.51549407e-07 
 1.65958691e+01  1.38994663e-05  4.46875966e-07 
 1.69824365e+01  1.37556330e-05  4.42251639e-07 
 1.73780083e+01  1.36133109e-05  4.37675902e-07 
 1.77827941e+01  1.34724841e-05  4.33148239e-07 
 1.81970086e+01  1.33331366e-05  4.28668135e-07 
 1.86208714e+01  1.31952527e-05  4.24235085e-07 
 1.90546072e+01  1.30588166e-05  4.19848586e-07 
 1.94984460e+01  1.29238131e-05  4.15508143e-07 
 1.99526231e+01  1.27902268e-05  4.11213265e-07 
 2.04173794e+01  1.26580426e-05  4.06963467e-07 
 2.08929613e+01  1.25272456e-05  4.02758268e-07 
 2.13796209e+01  1.23978211e-05  3.98597194e-07 
 2.18776162e+01  1.22697544e-05  3.94479775e-07 
 2.23872114e+01  1.21430311e-05  3.90405547e-07 
 2.29086765e+01  1.20176369e-05  3.86374049e-07 
 2.34422882e+01  1.18935576e-05  3.82384827e-07 
 2.39883292e+01  1.17707792e-05  3.78437431e-07 
 2.45470892e+01  1.16492880e-05  3.74531416e-07 
 2.51188643e+01  1.15290701e-05  3.70666342e-07 
 2.57039578e+01  1.14101122e-05  3.66841774e-07 
 2.63026799e+01  1.12924007e-05  3.63057282e-07 
 2.69153480e+01  1.11759224e-05  3.59312438e-07 
 2.75422870e+01  1.10606643e-05  3.55606822e-07 
 2.81838293e+01  1.09466133e-05  3.51940016e-07 
 2.88403150e+01  1.08337567e-05  3.48311609e-07 
 2.95120923e+01  1.07220817e-05  3.44721193e-07 
 3.01995172e+01  1.06115758e-05  3.41168364e-07 
 3.09029543e+01  1.05022266e-05  3.37652722e-07 
 3.16227766e+01  1.03940217e-05  3.34173874e-07 
 3.23593657e+01  1.02869492e-05  3.30731427e-07 
 3.31131121e+01  1.01809968e-05  3.27324997e-07 
 3.38844156e+01  1.00761528e-05  3.23954201e-07 
 3.46736850e+01  9.97240538e-06  3.20618661e-07 
 3.54813389e+01  9.86974290e-06  3.17318002e-07 
 3.63078055e+01  9.76815386e-06  3.14051855e-07 
 3.71535229e+01  9.66762688e-06  3.10819854e-07 
 3.80189396e+01  9.56815069e-06  3.07621637e-07 
 3.89045145e+01  9.46971416e-06  3.04456845e-07 
 3.98107171e+01  9.37230627e-06  3.01325124e-07 
 4.07380278e+01  9.27591612e-06  2.98226124e-07 
 4.16869383e+01  9.18053291e-06  2.95159498e-07 
 4.26579519e+01  9.08614599e-06  2.92124904e-07 
 4.36515832e+01  8.99274481e-06  2.89122001e-07 
 4.46683592e+01  8.90031891e-06  2.86150455e-07 
 4.57088190e+01  8.80885798e-06  2.83209932e-07 
 4.67735141e+01  8.71835181e-06  2.80300106e-07 
 4.78630092e+01  8.62879027e-06  2.77420650e-07 
 4.89778819e+01  8.54016339e-06  2.74571244e-07 
 5.01187234e+01  8.45246126e-06  2.71751569e-07 
