 time            v(vdd)          cm              v(xpga.xamp.bn) v(xpga.xamp.bp) v(xpga.xamp.start) i(vdd)         
 2.00000000e-10  3.60000000e-04  1.53504828e-07  2.53424692e-05  3.37310175e-04  2.40472924e-05 -4.54781796e-07 
 4.00000000e-10  7.20000000e-04  3.25956354e-07  5.01573414e-05  6.76035513e-04  4.76130990e-05 -4.55710032e-07 
 8.00000000e-10  1.44000000e-03  7.16826850e-07  9.87318092e-05  1.35419174e-03  9.34570597e-05 -4.52406888e-07 
 1.60000000e-09  2.88000000e-03  1.84577623e-06  1.92211075e-04  2.71284949e-03  1.80451825e-04 -4.49994280e-07 
 3.20000000e-09  5.76000000e-03  5.78373205e-06  3.67176960e-04  5.43742645e-03  3.38510580e-04 -4.44025127e-07 
 6.40000000e-09  1.15200000e-02  2.06189126e-05  6.82425614e-04  1.09065781e-02  6.07543453e-04 -4.37296228e-07 
 1.28000000e-08  2.30400000e-02  7.73394340e-05  1.23473511e-03  2.18897501e-02  1.03711818e-03 -4.25851330e-07 
 2.00000000e-08  3.60000000e-02  1.83567236e-04  1.79815918e-03  3.42797780e-02  1.43896667e-03 -4.19649913e-07 
 2.12800000e-08  3.83040000e-02  2.07836886e-04  1.89492955e-03  3.64845313e-02  1.50571110e-03 -4.18405136e-07 
 2.38400000e-08  4.29120000e-02  2.59184209e-04  2.08643315e-03  4.08952981e-02  1.63637117e-03 -4.15011505e-07 
 2.89600000e-08  5.21280000e-02  3.78685513e-04  2.46306620e-03  4.97209035e-02  1.88909481e-03 -4.11912633e-07 
 3.92000000e-08  7.05600000e-02  6.84439728e-04  3.20001819e-03  6.73831938e-02  2.37334993e-03 -4.03215923e-07 
 5.92000000e-08  1.06560000e-01  1.53484130e-03  4.60639188e-03  1.01905063e-01  3.27941086e-03 -3.91289131e-07 
 7.92000000e-08  1.42560000e-01  2.71490122e-03  5.98917102e-03  1.36448632e-01  4.15667324e-03 -3.78799415e-07 
 9.92000000e-08  1.78560000e-01  4.21788697e-03  7.35683372e-03  1.71009101e-01  5.00851444e-03 -3.69229001e-07 
 1.19200000e-07  2.14560000e-01  6.03735921e-03  8.71308972e-03  2.05584501e-01  5.82884571e-03 -3.58604629e-07 
 1.39200000e-07  2.50560000e-01  8.16709967e-03  1.00601911e-02  2.40173653e-01  6.60654127e-03 -3.50628264e-07 
 1.59200000e-07  2.86560000e-01  1.06010731e-02  1.13996854e-02  2.74775704e-01  7.32580030e-03 -3.41414672e-07 
 1.79200000e-07  3.22560000e-01  1.33333971e-02  1.27326965e-02  3.09389925e-01  7.96545271e-03 -3.34711644e-07 
 1.99200000e-07  3.58560000e-01  1.63583262e-02  1.40599791e-02  3.44015691e-01  8.49778146e-03 -3.26672049e-07 
 2.19200000e-07  3.94560000e-01  1.96702384e-02  1.53819776e-02  3.78652418e-01  8.88714850e-03 -3.21072951e-07 
 2.39200000e-07  4.30560000e-01  2.32636280e-02  1.66987975e-02  4.13299587e-01  9.08858694e-03 -3.14098346e-07 
 2.59200000e-07  4.66560000e-01  2.71330990e-02  1.80102115e-02  4.47956694e-01  9.04678816e-03 -3.09554204e-07 
 2.79200000e-07  5.02560000e-01  3.12733605e-02  1.93155959e-02  4.82623285e-01  8.69615043e-03 -3.03659036e-07 
 2.99200000e-07  5.38560000e-01  3.56792232e-02  2.06139012e-02  5.17298909e-01  7.96320900e-03 -3.00257620e-07 
 3.19200000e-07  5.74560000e-01  4.03456001e-02  2.19006138e-02  5.51983119e-01  6.77226184e-03 -2.95620993e-07 
 3.39200000e-07  6.10560000e-01  4.52675078e-02  2.31755945e-02  5.86675535e-01  5.06248412e-03 -2.93695255e-07 
 3.59200000e-07  6.46560000e-01  5.04400628e-02  2.44360656e-02  6.21375800e-01  2.81283908e-03 -2.90920638e-07 
 3.79200000e-07  6.82560000e-01  5.58584921e-02  2.56776348e-02  6.56083547e-01  6.54928800e-05 -2.91617854e-07 
 3.99200000e-07  7.18560000e-01  6.15181746e-02  2.69991448e-02  6.90799178e-01 -6.01083262e-03 -2.93012325e-07 
 4.19200000e-07  7.54560000e-01  6.74147175e-02  2.82887353e-02  7.25521556e-01 -1.26976967e-02 -3.01242593e-07 
 4.39200000e-07  7.90560000e-01  7.35440984e-02  2.95579567e-02  7.60250620e-01 -1.99698557e-02 -3.16549167e-07 
 4.59200000e-07  8.26560000e-01  7.99029034e-02  3.08209329e-02  7.94986433e-01 -2.75596070e-02 -3.50335162e-07 
 4.79200000e-07  8.62560000e-01  8.64886772e-02  3.20990953e-02  8.29729295e-01 -3.48324909e-02 -4.10515535e-07 
 4.99200000e-07  8.98560000e-01  9.33004107e-02  3.34262584e-02  8.64479843e-01 -4.06543557e-02 -5.19222620e-07 
 5.19200000e-07  9.34560000e-01  1.00339240e-01  3.48545573e-02  8.99239213e-01 -4.32366849e-02 -6.99743328e-07 
 5.39200000e-07  9.70560000e-01  1.07609490e-01  3.64526361e-02  9.34009097e-01 -3.99070433e-02 -9.96859854e-07 
 5.59200000e-07  1.00656000e+00  1.15120133e-01  3.82915386e-02  9.68791751e-01 -2.67665231e-02 -1.46498519e-06 
 5.79200000e-07  1.04256000e+00  1.22886432e-01  4.03283103e-02  1.00358883e+00  2.58819980e-03 -2.18266281e-06 
 5.99200000e-07  1.07856000e+00  1.30930757e-01  4.29286239e-02  1.03840779e+00  4.88860597e-02 -3.21697086e-06 
 6.19200000e-07  1.11456000e+00  1.39280511e-01  4.58561665e-02  1.07325721e+00  1.31559720e-01 -4.59542975e-06 
 6.39200000e-07  1.15056000e+00  1.47961322e-01  4.93249040e-02  1.10816364e+00  2.50898044e-01 -6.23593828e-06 
 6.59200000e-07  1.18656000e+00  1.56987027e-01  5.33553917e-02  1.14316908e+00  4.06637843e-01 -7.96246066e-06 
 6.79200000e-07  1.22256000e+00  1.66352456e-01  5.78286690e-02  1.17669060e+00  5.93578756e-01 -9.66656424e-06 
 6.99200000e-07  1.25856000e+00  1.76024201e-01  6.20623714e-02  1.18241167e+00  8.12503449e-01 -1.26793962e-05 
 7.19200000e-07  1.29456000e+00  1.85966215e-01  6.37212859e-02  1.09141123e+00  1.03093252e+00 -1.74741634e-05 
 7.39200000e-07  1.33056000e+00  1.96130260e-01  5.96687437e-02  8.31345906e-01  1.18046676e+00 -2.13515741e-05 
 7.59200000e-07  1.36656000e+00  2.06489361e-01  5.28631142e-02  4.90320851e-01  1.27632365e+00 -2.35425239e-05 
 7.79200000e-07  1.40256000e+00  2.20598485e-01  1.49056245e-01  3.23154243e-01  1.35335392e+00 -8.51548697e-05 
 7.94238734e-07  1.42962972e+00  2.37810116e-01  3.77367354e-01  2.85798906e-01  1.44508403e+00 -1.74764353e-04 
 8.10011152e-07  1.45802007e+00  2.58878712e-01  5.58304107e-01  3.26320390e-01  6.16181828e-01 -1.48639212e-04 
 8.21043522e-07  1.47787834e+00  2.71534347e-01  6.02280742e-01  3.71417246e-01  3.16069714e-03 -1.18510351e-04 
 8.22111920e-07  1.47980146e+00  2.72612662e-01  6.04894514e-01  3.73902657e-01  3.30985003e-03 -1.17695809e-04 
 8.24248716e-07  1.48364769e+00  2.74743024e-01  6.08782627e-01  3.78682920e-01  3.00042770e-03 -1.17075806e-04 
 8.28522307e-07  1.49134015e+00  2.78868604e-01  6.14339024e-01  3.87217009e-01  2.60021680e-03 -1.17038504e-04 
 8.33468764e-07  1.50024377e+00  2.83515551e-01  6.18604486e-01  3.95879498e-01  2.42018484e-03 -1.18087467e-04 
 8.41440070e-07  1.51459213e+00  2.90955429e-01  6.22287066e-01  4.08774049e-01  2.25268766e-03 -1.20838044e-04 
 8.49688669e-07  1.52943960e+00  2.98678600e-01  6.24614007e-01  4.21769368e-01  2.31320615e-03 -1.23783651e-04 
 8.66185867e-07  1.55913456e+00  3.14270027e-01  6.27464004e-01  4.48274192e-01  2.35826573e-03 -1.28969603e-04 
 8.86185867e-07  1.59513456e+00  3.33383103e-01  6.29791701e-01  4.81558077e-01  2.59139808e-03 -1.33463545e-04 
 9.06185867e-07  1.63113456e+00  3.52629875e-01  6.31183663e-01  5.15795285e-01  2.75548057e-03 -1.36597272e-04 
 9.26185867e-07  1.66713456e+00  3.71943695e-01  6.32153234e-01  5.50634411e-01  3.05409815e-03 -1.38679564e-04 
 9.46185867e-07  1.70313456e+00  3.91292250e-01  6.32704969e-01  5.85844981e-01  3.27728279e-03 -1.40240367e-04 
 9.66185867e-07  1.73913456e+00  4.10668177e-01  6.33153826e-01  6.21281098e-01  3.61990363e-03 -1.41339358e-04 
 9.83092933e-07  1.76956728e+00  4.27078163e-01  6.33381037e-01  6.51341811e-01  3.83604659e-03 -1.42171238e-04 
 1.00000000e-06  1.80000000e+00  4.43536942e-01  6.33612358e-01  6.81464020e-01  4.15833898e-03 -1.42809925e-04 
 1.00200000e-06  1.80000000e+00  4.45480520e-01  6.33507041e-01  6.81522152e-01  4.18431959e-03 -1.41756147e-04 
 1.00600000e-06  1.80000000e+00  4.49353063e-01  6.33322282e-01  6.81639704e-01  4.20380627e-03 -1.40444746e-04 
 1.01400000e-06  1.80000000e+00  4.57008759e-01  6.33035502e-01  6.81868626e-01  4.21844209e-03 -1.38288344e-04 
 1.03000000e-06  1.80000000e+00  4.72000000e-01  6.32599021e-01  6.82258635e-01  4.24982305e-03 -1.35238128e-04 
 1.05000000e-06  1.80000000e+00  4.90238647e-01  6.32098227e-01  6.82648066e-01  4.27458524e-03 -1.32732848e-04 
 1.07000000e-06  1.80000000e+00  5.08028651e-01  6.31585860e-01  6.82999233e-01  4.30883706e-03 -1.30935575e-04 
 1.09000000e-06  1.80000000e+00  5.25464223e-01  6.31103950e-01  6.83339142e-01  4.33466598e-03 -1.29510833e-04 
 1.11000000e-06  1.80000000e+00  5.42639560e-01  6.30841914e-01  6.83613045e-01  4.35910716e-03 -1.28441134e-04 
 1.13000000e-06  1.80000000e+00  5.59649657e-01  6.30858202e-01  6.83740393e-01  4.35746349e-03 -1.27777451e-04 
 1.15000000e-06  1.80000000e+00  5.76558053e-01  6.31043287e-01  6.83714950e-01  4.35144508e-03 -1.27464975e-04 
 1.17000000e-06  1.80000000e+00  5.93380508e-01  6.31266557e-01  6.83599365e-01  4.33424661e-03 -1.27355321e-04 
 1.19000000e-06  1.80000000e+00  6.10097615e-01  6.31489411e-01  6.83453758e-01  4.32444653e-03 -1.27338895e-04 
 1.21000000e-06  1.80000000e+00  6.26676837e-01  6.31678376e-01  6.83310367e-01  4.30899790e-03 -1.27348249e-04 
 1.23000000e-06  1.80000000e+00  6.43084914e-01  6.31838762e-01  6.83184207e-01  4.30265005e-03 -1.27356249e-04 
 1.25000000e-06  1.80000000e+00  6.59293655e-01  6.31962424e-01  6.83079027e-01  4.29139945e-03 -1.27348314e-04 
 1.27000000e-06  1.80000000e+00  6.75280939e-01  6.32062403e-01  6.82994627e-01  4.28855901e-03 -1.27324131e-04 
 1.29000000e-06  1.80000000e+00  6.91030795e-01  6.32136575e-01  6.82927811e-01  4.28064480e-03 -1.27283570e-04 
 1.31000000e-06  1.80000000e+00  7.06532224e-01  6.32196253e-01  6.82875650e-01  4.28007439e-03 -1.27231428e-04 
 1.33000000e-06  1.80000000e+00  7.21778441e-01  6.32240172e-01  6.82834647e-01  4.27432246e-03 -1.27169839e-04 
 1.35000000e-06  1.80000000e+00  7.36765691e-01  6.32276306e-01  6.82802415e-01  4.27496828e-03 -1.27103008e-04 
 1.37000000e-06  1.80000000e+00  7.51492734e-01  6.32303925e-01  6.82776384e-01  4.27052893e-03 -1.27033585e-04 
 1.39000000e-06  1.80000000e+00  7.65960065e-01  6.32328062e-01  6.82754955e-01  4.27166565e-03 -1.26965717e-04 
 1.41000000e-06  1.80000000e+00  7.80169639e-01  6.32348575e-01  6.82736404e-01  4.26797479e-03 -1.26904760e-04 
 1.43000000e-06  1.80000000e+00  7.94124483e-01  6.32368913e-01  6.82719545e-01  4.26911270e-03 -1.26861364e-04 
 1.45000000e-06  1.80000000e+00  8.07828688e-01  6.32389994e-01  6.82702917e-01  4.26571341e-03 -1.26852931e-04 
 1.47000000e-06  1.80000000e+00  8.21287385e-01  6.32415207e-01  6.82685104e-01  4.26637601e-03 -1.26915100e-04 
 1.49000000e-06  1.80000000e+00  8.34507247e-01  6.32448781e-01  6.82663772e-01  4.26262675e-03 -1.27115184e-04 
 1.51000000e-06  1.80000000e+00  8.47497307e-01  6.32497975e-01  6.82635400e-01  4.26183467e-03 -1.27578655e-04 
 1.53000000e-06  1.80000000e+00  8.60270768e-01  6.32576245e-01  6.82593776e-01  4.25607538e-03 -1.28530417e-04 
 1.55000000e-06  1.80000000e+00  8.72847693e-01  6.32702496e-01  6.82529004e-01  4.25108925e-03 -1.30329711e-04 
 1.57000000e-06  1.80000000e+00  8.85257877e-01  6.32898797e-01  6.82428076e-01  4.23929627e-03 -1.33417134e-04 
 1.59000000e-06  1.80000000e+00  8.97540118e-01  6.33165940e-01  6.82281901e-01  4.22605137e-03 -1.38043918e-04 
 1.61000000e-06  1.80000000e+00  9.09734320e-01  6.33469366e-01  6.82097267e-01  4.20747469e-03 -1.43916278e-04 
