 v-sweep         id              od              cm             
 7.97500000e-01 -2.50000000e-02 -3.71860564e-01  8.86596943e-01 
 7.97812500e-01 -2.43750000e-02 -3.62703748e-01  8.86599081e-01 
 7.98125000e-01 -2.37500000e-02 -3.53532890e-01  8.86601135e-01 
 7.98437500e-01 -2.31250000e-02 -3.44348930e-01  8.86603108e-01 
 7.98750000e-01 -2.25000000e-02 -3.35152834e-01  8.86605003e-01 
 7.99062500e-01 -2.18750000e-02 -3.25945087e-01  8.86606822e-01 
 7.99375000e-01 -2.12500000e-02 -3.16726727e-01  8.86608570e-01 
 7.99687500e-01 -2.06250000e-02 -3.07498326e-01  8.86610248e-01 
 8.00000000e-01 -2.00000000e-02 -2.98260508e-01  8.86611858e-01 
 8.00312500e-01 -1.93750000e-02 -2.89013856e-01  8.86613402e-01 
 8.00625000e-01 -1.87500000e-02 -2.79758908e-01  8.86614884e-01 
 8.00937500e-01 -1.81250000e-02 -2.70496169e-01  8.86616303e-01 
 8.01250000e-01 -1.75000000e-02 -2.61226110e-01  8.86617662e-01 
 8.01562500e-01 -1.68750000e-02 -2.51949174e-01  8.86618963e-01 
 8.01875000e-01 -1.62500000e-02 -2.42665776e-01  8.86620206e-01 
 8.02187500e-01 -1.56250000e-02 -2.33376306e-01  8.86621394e-01 
 8.02500000e-01 -1.50000000e-02 -2.24081133e-01  8.86622527e-01 
 8.02812500e-01 -1.43750000e-02 -2.14780606e-01  8.86623607e-01 
 8.03125000e-01 -1.37500000e-02 -2.05475055e-01  8.86624634e-01 
 8.03437500e-01 -1.31250000e-02 -1.96164794e-01  8.86625609e-01 
 8.03750000e-01 -1.25000000e-02 -1.86850122e-01  8.86626534e-01 
 8.04062500e-01 -1.18750000e-02 -1.77531323e-01  8.86627409e-01 
 8.04375000e-01 -1.12500000e-02 -1.68208669e-01  8.86628235e-01 
 8.04687500e-01 -1.06250000e-02 -1.58882420e-01  8.86629013e-01 
 8.05000000e-01 -1.00000000e-02 -1.49552828e-01  8.86629743e-01 
 8.05312500e-01 -9.37500000e-03 -1.40220131e-01  8.86630426e-01 
 8.05625000e-01 -8.75000000e-03 -1.30884562e-01  8.86631062e-01 
 8.05937500e-01 -8.12500000e-03 -1.21546344e-01  8.86631653e-01 
 8.06250000e-01 -7.50000000e-03 -1.12205694e-01  8.86632198e-01 
 8.06562500e-01 -6.87500000e-03 -1.02862823e-01  8.86632698e-01 
 8.06875000e-01 -6.25000000e-03 -9.35179343e-02  8.86633153e-01 
 8.07187500e-01 -5.62500000e-03 -8.41712270e-02  8.86633560e-01 
 8.07500000e-01 -5.00000000e-03 -7.48228958e-02  8.86633931e-01 
 8.07812500e-01 -4.37500000e-03 -6.54731313e-02  8.86634254e-01 
 8.08125000e-01 -3.75000000e-03 -5.61221199e-02  8.86634533e-01 
 8.08437500e-01 -3.12500000e-03 -4.67700455e-02  8.86634769e-01 
 8.08750000e-01 -2.50000000e-03 -3.74170891e-02  8.86634962e-01 
 8.09062500e-01 -1.87500000e-03 -2.80634298e-02  8.86635111e-01 
 8.09375000e-01 -1.25000000e-03 -1.87092446e-02  8.86635219e-01 
 8.09687500e-01 -6.25000000e-04 -9.35470963e-03  8.86635283e-01 
 8.10000000e-01  3.99680289e-15  1.72704073e-11  8.86635305e-01 
 8.10312500e-01  6.25000000e-04  9.35470974e-03  8.86635283e-01 
 8.10625000e-01  1.25000000e-03  1.87092446e-02  8.86635219e-01 
 8.10937500e-01  1.87500000e-03  2.80634297e-02  8.86635112e-01 
 8.11250000e-01  2.50000000e-03  3.74170892e-02  8.86634962e-01 
 8.11562500e-01  3.12500000e-03  4.67700455e-02  8.86634769e-01 
 8.11875000e-01  3.75000000e-03  5.61221199e-02  8.86634533e-01 
 8.12187500e-01  4.37500000e-03  6.54731312e-02  8.86634254e-01 
 8.12500000e-01  5.00000000e-03  7.48228958e-02  8.86633931e-01 
 8.12812500e-01  5.62500000e-03  8.41712270e-02  8.86633564e-01 
 8.13125000e-01  6.25000000e-03  9.35179342e-02  8.86633153e-01 
 8.13437500e-01  6.87500000e-03  1.02862823e-01  8.86632698e-01 
 8.13750000e-01  7.50000000e-03  1.12205694e-01  8.86632198e-01 
 8.14062500e-01  8.12500000e-03  1.21546344e-01  8.86631653e-01 
 8.14375000e-01  8.75000000e-03  1.30884562e-01  8.86631062e-01 
 8.14687500e-01  9.37500000e-03  1.40220131e-01  8.86630426e-01 
 8.15000000e-01  1.00000000e-02  1.49552828e-01  8.86629743e-01 
 8.15312500e-01  1.06250000e-02  1.58882420e-01  8.86629013e-01 
 8.15625000e-01  1.12500000e-02  1.68208669e-01  8.86628235e-01 
 8.15937500e-01  1.18750000e-02  1.77531323e-01  8.86627409e-01 
 8.16250000e-01  1.25000000e-02  1.86850122e-01  8.86626534e-01 
 8.16562500e-01  1.31250000e-02  1.96164794e-01  8.86625609e-01 
 8.16875000e-01  1.37500000e-02  2.05475055e-01  8.86624634e-01 
 8.17187500e-01  1.43750000e-02  2.14780606e-01  8.86623607e-01 
 8.17500000e-01  1.50000000e-02  2.24081133e-01  8.86622527e-01 
 8.17812500e-01  1.56250000e-02  2.33376306e-01  8.86621394e-01 
 8.18125000e-01  1.62500000e-02  2.42665776e-01  8.86620206e-01 
 8.18437500e-01  1.68750000e-02  2.51949174e-01  8.86618963e-01 
 8.18750000e-01  1.75000000e-02  2.61226110e-01  8.86617662e-01 
 8.19062500e-01  1.81250000e-02  2.70496169e-01  8.86616303e-01 
 8.19375000e-01  1.87500000e-02  2.79758908e-01  8.86614884e-01 
 8.19687500e-01  1.93750000e-02  2.89013856e-01  8.86613402e-01 
 8.20000000e-01  2.00000000e-02  2.98260508e-01  8.86611858e-01 
 8.20312500e-01  2.06250000e-02  3.07498326e-01  8.86610248e-01 
 8.20625000e-01  2.12500000e-02  3.16726727e-01  8.86608570e-01 
 8.20937500e-01  2.18750000e-02  3.25945087e-01  8.86606822e-01 
 8.21250000e-01  2.25000000e-02  3.35152732e-01  8.86605003e-01 
 8.21562500e-01  2.31250000e-02  3.44348930e-01  8.86603108e-01 
 8.21875000e-01  2.37500000e-02  3.53532889e-01  8.86601135e-01 
 8.22187500e-01  2.43750000e-02  3.62703748e-01  8.86599081e-01 
 8.22500000e-01  2.50000000e-02  3.71860563e-01  8.86596943e-01 
