 v-sweep         id              od              cm             
 9.77500000e-01 -2.50000000e-02 -3.72760514e-01  1.04344014e+00 
 9.77812500e-01 -2.43750000e-02 -3.63690969e-01  1.04344160e+00 
 9.78125000e-01 -2.37500000e-02 -3.54591540e-01  1.04344297e+00 
 9.78437500e-01 -2.31250000e-02 -3.45465187e-01  1.04344427e+00 
 9.78750000e-01 -2.25000000e-02 -3.36314480e-01  1.04344549e+00 
 9.79062500e-01 -2.18750000e-02 -3.27141661e-01  1.04344664e+00 
 9.79375000e-01 -2.12500000e-02 -3.17948705e-01  1.04344773e+00 
 9.79687500e-01 -2.06250000e-02 -3.08737353e-01  1.04344876e+00 
 9.80000000e-01 -2.00000000e-02 -2.99509154e-01  1.04344973e+00 
 9.80312500e-01 -1.93750000e-02 -2.90265490e-01  1.04345066e+00 
 9.80625000e-01 -1.87500000e-02 -2.81007600e-01  1.04345153e+00 
 9.80937500e-01 -1.81250000e-02 -2.71736601e-01  1.04345236e+00 
 9.81250000e-01 -1.75000000e-02 -2.62453502e-01  1.04345315e+00 
 9.81562500e-01 -1.68750000e-02 -2.53159220e-01  1.04345389e+00 
 9.81875000e-01 -1.62500000e-02 -2.43854591e-01  1.04345460e+00 
 9.82187500e-01 -1.56250000e-02 -2.34540379e-01  1.04345526e+00 
 9.82500000e-01 -1.50000000e-02 -2.25217286e-01  1.04345590e+00 
 9.82812500e-01 -1.43750000e-02 -2.15885958e-01  1.04345649e+00 
 9.83125000e-01 -1.37500000e-02 -2.06546995e-01  1.04345706e+00 
 9.83437500e-01 -1.31250000e-02 -1.97200949e-01  1.04345759e+00 
 9.83750000e-01 -1.25000000e-02 -1.87848338e-01  1.04345809e+00 
 9.84062500e-01 -1.18750000e-02 -1.78489641e-01  1.04345856e+00 
 9.84375000e-01 -1.12500000e-02 -1.69125311e-01  1.04345900e+00 
 9.84687500e-01 -1.06250000e-02 -1.59755771e-01  1.04345942e+00 
 9.85000000e-01 -1.00000000e-02 -1.50381420e-01  1.04345981e+00 
 9.85312500e-01 -9.37500000e-03 -1.41002634e-01  1.04346017e+00 
 9.85625000e-01 -8.75000000e-03 -1.31619771e-01  1.04346050e+00 
