 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  9.92100655e-06  3.12891249e-07 
 1.02329299e+00  9.81952416e-06  3.09690671e-07 
 1.04712855e+00  9.71909500e-06  3.06523311e-07 
 1.07151931e+00  9.61970798e-06  3.03388818e-07 
 1.09647820e+00  9.52135213e-06  3.00286846e-07 
 1.12201845e+00  9.42401660e-06  2.97217053e-07 
 1.14815362e+00  9.32769064e-06  2.94179100e-07 
 1.17489755e+00  9.23236364e-06  2.91172652e-07 
 1.20226443e+00  9.13802507e-06  2.88197378e-07 
 1.23026877e+00  9.04466455e-06  2.85252950e-07 
 1.25892541e+00  8.95227179e-06  2.82339044e-07 
 1.28824955e+00  8.86083660e-06  2.79455337e-07 
 1.31825674e+00  8.77034893e-06  2.76601514e-07 
 1.34896288e+00  8.68079880e-06  2.73777259e-07 
 1.38038426e+00  8.59217638e-06  2.70982262e-07 
 1.41253754e+00  8.50447189e-06  2.68216216e-07 
 1.44543977e+00  8.41767571e-06  2.65478815e-07 
 1.47910839e+00  8.33177829e-06  2.62769761e-07 
 1.51356125e+00  8.24677018e-06  2.60088753e-07 
 1.54881662e+00  8.16264206e-06  2.57435499e-07 
 1.58489319e+00  8.07938468e-06  2.54809706e-07 
 1.62181010e+00  7.99698889e-06  2.52211087e-07 
 1.65958691e+00  7.91544566e-06  2.49639355e-07 
 1.69824365e+00  7.83474603e-06  2.47094230e-07 
 1.73780083e+00  7.75488117e-06  2.44575431e-07 
 1.77827941e+00  7.67584230e-06  2.42082683e-07 
 1.81970086e+00  7.59762076e-06  2.39615712e-07 
 1.86208714e+00  7.52020799e-06  2.37174248e-07 
 1.90546072e+00  7.44359550e-06  2.34758024e-07 
 1.94984460e+00  7.36777490e-06  2.32366774e-07 
 1.99526231e+00  7.29273789e-06  2.30000238e-07 
 2.04173794e+00  7.21847626e-06  2.27658156e-07 
 2.08929613e+00  7.14498189e-06  2.25340271e-07 
 2.13796209e+00  7.07224673e-06  2.23046331e-07 
 2.18776162e+00  7.00026284e-06  2.20776085e-07 
 2.23872114e+00  6.92902234e-06  2.18529284e-07 
 2.29086765e+00  6.85851746e-06  2.16305683e-07 
 2.34422882e+00  6.78874048e-06  2.14105039e-07 
 2.39883292e+00  6.71968380e-06  2.11927111e-07 
 2.45470892e+00  6.65133987e-06  2.09771663e-07 
 2.51188643e+00  6.58370124e-06  2.07638458e-07 
 2.57039578e+00  6.51676052e-06  2.05527265e-07 
 2.63026799e+00  6.45051042e-06  2.03437852e-07 
 2.69153480e+00  6.38494371e-06  2.01369992e-07 
 2.75422870e+00  6.32005325e-06  1.99323460e-07 
 2.81838293e+00  6.25583196e-06  1.97298033e-07 
 2.88403150e+00  6.19227286e-06  1.95293490e-07 
 2.95120923e+00  6.12936902e-06  1.93309612e-07 
 3.01995172e+00  6.06711360e-06  1.91346185e-07 
 3.09029543e+00  6.00549982e-06  1.89402994e-07 
 3.16227766e+00  5.94452098e-06  1.87479827e-07 
 3.23593657e+00  5.88417045e-06  1.85576477e-07 
 3.31131121e+00  5.82444166e-06  1.83692735e-07 
 3.38844156e+00  5.76532813e-06  1.81828397e-07 
 3.46736850e+00  5.70682344e-06  1.79983261e-07 
 3.54813389e+00  5.64892122e-06  1.78157126e-07 
 3.63078055e+00  5.59161520e-06  1.76349794e-07 
 3.71535229e+00  5.53489916e-06  1.74561069e-07 
 3.80189396e+00  5.47876694e-06  1.72790757e-07 
 3.89045145e+00  5.42321245e-06  1.71038665e-07 
 3.98107171e+00  5.36822966e-06  1.69304604e-07 
 4.07380278e+00  5.31381263e-06  1.67588386e-07 
 4.16869383e+00  5.25995545e-06  1.65889824e-07 
