 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.96287350e-01  9.09184117e-01 
 8.87812500e-01 -2.43750000e-02 -3.86380967e-01  9.09184387e-01 
 8.88125000e-01 -2.37500000e-02 -3.76474520e-01  9.09184651e-01 
 8.88437500e-01 -2.31250000e-02 -3.66568012e-01  9.09184907e-01 
 8.88750000e-01 -2.25000000e-02 -3.56661445e-01  9.09185157e-01 
 8.89062500e-01 -2.18750000e-02 -3.46754820e-01  9.09185400e-01 
 8.89375000e-01 -2.12500000e-02 -3.36848140e-01  9.09185636e-01 
 8.89687500e-01 -2.06250000e-02 -3.26941406e-01  9.09185865e-01 
 8.90000000e-01 -2.00000000e-02 -3.17034620e-01  9.09186088e-01 
 8.90312500e-01 -1.93750000e-02 -3.07127784e-01  9.09186303e-01 
 8.90625000e-01 -1.87500000e-02 -2.97220900e-01  9.09186512e-01 
 8.90937500e-01 -1.81250000e-02 -2.87313968e-01  9.09186713e-01 
 8.91250000e-01 -1.75000000e-02 -2.77406993e-01  9.09186908e-01 
 8.91562500e-01 -1.68750000e-02 -2.67499973e-01  9.09187096e-01 
 8.91875000e-01 -1.62500000e-02 -2.57592913e-01  9.09187278e-01 
 8.92187500e-01 -1.56250000e-02 -2.47685812e-01  9.09187452e-01 
 8.92500000e-01 -1.50000000e-02 -2.37778674e-01  9.09187620e-01 
 8.92812500e-01 -1.43750000e-02 -2.27871499e-01  9.09187780e-01 
 8.93125000e-01 -1.37500000e-02 -2.17964289e-01  9.09187934e-01 
 8.93437500e-01 -1.31250000e-02 -2.08057046e-01  9.09188081e-01 
 8.93750000e-01 -1.25000000e-02 -1.98149771e-01  9.09188221e-01 
 8.94062500e-01 -1.18750000e-02 -1.88242466e-01  9.09188355e-01 
 8.94375000e-01 -1.12500000e-02 -1.78335132e-01  9.09188481e-01 
 8.94687500e-01 -1.06250000e-02 -1.68427772e-01  9.09188601e-01 
 8.95000000e-01 -1.00000000e-02 -1.58520386e-01  9.09188713e-01 
 8.95312500e-01 -9.37500000e-03 -1.48612977e-01  9.09188819e-01 
 8.95625000e-01 -8.75000000e-03 -1.38705545e-01  9.09188919e-01 
 8.95937500e-01 -8.12500000e-03 -1.28798092e-01  9.09189011e-01 
 8.96250000e-01 -7.50000000e-03 -1.18890621e-01  9.09189096e-01 
 8.96562500e-01 -6.87500000e-03 -1.08983131e-01  9.09189175e-01 
 8.96875000e-01 -6.25000000e-03 -9.90756251e-02  9.09189247e-01 
 8.97187500e-01 -5.62500000e-03 -8.91681046e-02  9.09189312e-01 
 8.97500000e-01 -5.00000000e-03 -7.92605706e-02  9.09189370e-01 
 8.97812500e-01 -4.37500000e-03 -6.93530250e-02  9.09189421e-01 
 8.98125000e-01 -3.75000000e-03 -5.94454691e-02  9.09189465e-01 
 8.98437500e-01 -3.12500000e-03 -4.95379044e-02  9.09189503e-01 
 8.98750000e-01 -2.50000000e-03 -3.96303323e-02  9.09189534e-01 
 8.99062500e-01 -1.87500000e-03 -2.97227544e-02  9.09189558e-01 
 8.99375000e-01 -1.25000000e-03 -1.98151720e-02  9.09189575e-01 
 8.99687500e-01 -6.25000000e-04 -9.90758671e-03  9.09189585e-01 
 9.00000000e-01  3.99680289e-15  5.69519987e-11  9.09189588e-01 
 9.00312500e-01  6.25000000e-04  9.90758667e-03  9.09189585e-01 
 9.00625000e-01  1.25000000e-03  1.98151719e-02  9.09189575e-01 
 9.00937500e-01  1.87500000e-03  2.97227544e-02  9.09189558e-01 
 9.01250000e-01  2.50000000e-03  3.96303324e-02  9.09189534e-01 
 9.01562500e-01  3.12500000e-03  4.95379044e-02  9.09189503e-01 
 9.01875000e-01  3.75000000e-03  5.94454691e-02  9.09189465e-01 
 9.02187500e-01  4.37500000e-03  6.93530251e-02  9.09189421e-01 
 9.02500000e-01  5.00000000e-03  7.92605707e-02  9.09189370e-01 
 9.02812500e-01  5.62500000e-03  8.91681046e-02  9.09189312e-01 
 9.03125000e-01  6.25000000e-03  9.90756252e-02  9.09189247e-01 
 9.03437500e-01  6.87500000e-03  1.08983131e-01  9.09189175e-01 
 9.03750000e-01  7.50000000e-03  1.18890621e-01  9.09189096e-01 
 9.04062500e-01  8.12500000e-03  1.28798092e-01  9.09189011e-01 
 9.04375000e-01  8.75000000e-03  1.38705545e-01  9.09188919e-01 
 9.04687500e-01  9.37500000e-03  1.48612977e-01  9.09188819e-01 
 9.05000000e-01  1.00000000e-02  1.58520386e-01  9.09188713e-01 
 9.05312500e-01  1.06250000e-02  1.68427772e-01  9.09188601e-01 
 9.05625000e-01  1.12500000e-02  1.78335132e-01  9.09188481e-01 
 9.05937500e-01  1.18750000e-02  1.88242466e-01  9.09188355e-01 
 9.06250000e-01  1.25000000e-02  1.98149771e-01  9.09188221e-01 
 9.06562500e-01  1.31250000e-02  2.08057046e-01  9.09188081e-01 
 9.06875000e-01  1.37500000e-02  2.17964289e-01  9.09187934e-01 
 9.07187500e-01  1.43750000e-02  2.27871499e-01  9.09187780e-01 
 9.07500000e-01  1.50000000e-02  2.37778674e-01  9.09187620e-01 
 9.07812500e-01  1.56250000e-02  2.47685812e-01  9.09187452e-01 
 9.08125000e-01  1.62500000e-02  2.57592913e-01  9.09187278e-01 
 9.08437500e-01  1.68750000e-02  2.67499973e-01  9.09187096e-01 
 9.08750000e-01  1.75000000e-02  2.77406993e-01  9.09186908e-01 
 9.09062500e-01  1.81250000e-02  2.87313969e-01  9.09186713e-01 
 9.09375000e-01  1.87500000e-02  2.97220900e-01  9.09186512e-01 
 9.09687500e-01  1.93750000e-02  3.07127784e-01  9.09186303e-01 
 9.10000000e-01  2.00000000e-02  3.17034620e-01  9.09186088e-01 
 9.10312500e-01  2.06250000e-02  3.26941406e-01  9.09185865e-01 
 9.10625000e-01  2.12500000e-02  3.36848140e-01  9.09185636e-01 
 9.10937500e-01  2.18750000e-02  3.46754820e-01  9.09185400e-01 
 9.11250000e-01  2.25000000e-02  3.56661445e-01  9.09185157e-01 
 9.11562500e-01  2.31250000e-02  3.66568012e-01  9.09184907e-01 
 9.11875000e-01  2.37500000e-02  3.76474520e-01  9.09184651e-01 
 9.12187500e-01  2.43750000e-02  3.86380967e-01  9.09184387e-01 
 9.12500000e-01  2.50000000e-02  3.96287350e-01  9.09184117e-01 
