 v-sweep         id              od              cm             
 8.87500000e-01 -2.50000000e-02 -3.99303990e-01  8.99161507e-01 
 8.87812500e-01 -2.43750000e-02 -3.89320533e-01  8.99161518e-01 
 8.88125000e-01 -2.37500000e-02 -3.79337102e-01  8.99161528e-01 
 8.88437500e-01 -2.31250000e-02 -3.69353699e-01  8.99161538e-01 
 8.88750000e-01 -2.25000000e-02 -3.59370324e-01  8.99161548e-01 
 8.89062500e-01 -2.18750000e-02 -3.49386980e-01  8.99161557e-01 
 8.89375000e-01 -2.12500000e-02 -3.39403669e-01  8.99161566e-01 
 8.89687500e-01 -2.06250000e-02 -3.29420390e-01  8.99161575e-01 
 8.90000000e-01 -2.00000000e-02 -3.19437147e-01  8.99161584e-01 
 8.90312500e-01 -1.93750000e-02 -3.09453941e-01  8.99161592e-01 
 8.90625000e-01 -1.87500000e-02 -2.99470772e-01  8.99161600e-01 
 8.90937500e-01 -1.81250000e-02 -2.89487643e-01  8.99161608e-01 
 8.91250000e-01 -1.75000000e-02 -2.79504555e-01  8.99161616e-01 
 8.91562500e-01 -1.68750000e-02 -2.69521508e-01  8.99161623e-01 
 8.91875000e-01 -1.62500000e-02 -2.59538506e-01  8.99161630e-01 
 8.92187500e-01 -1.56250000e-02 -2.49555548e-01  8.99161637e-01 
 8.92500000e-01 -1.50000000e-02 -2.39572637e-01  8.99161644e-01 
 8.92812500e-01 -1.43750000e-02 -2.29589773e-01  8.99161650e-01 
 8.93125000e-01 -1.37500000e-02 -2.19606958e-01  8.99161656e-01 
 8.93437500e-01 -1.31250000e-02 -2.09624193e-01  8.99161662e-01 
 8.93750000e-01 -1.25000000e-02 -1.99641480e-01  8.99161667e-01 
 8.94062500e-01 -1.18750000e-02 -1.89658820e-01  8.99161673e-01 
 8.94375000e-01 -1.12500000e-02 -1.79676214e-01  8.99161677e-01 
 8.94687500e-01 -1.06250000e-02 -1.69693663e-01  8.99161682e-01 
 8.95000000e-01 -1.00000000e-02 -1.59711170e-01  8.99161687e-01 
 8.95312500e-01 -9.37500000e-03 -1.49728734e-01  8.99161691e-01 
 8.95625000e-01 -8.75000000e-03 -1.39746357e-01  8.99161695e-01 
 8.95937500e-01 -8.12500000e-03 -1.29764041e-01  8.99161698e-01 
 8.96250000e-01 -7.50000000e-03 -1.19781787e-01  8.99161702e-01 
 8.96562500e-01 -6.87500000e-03 -1.09799596e-01  8.99161705e-01 
