 v-sweep         id              od              cm             
 7.97500000e-01 -2.50000000e-02 -3.84168238e-01  8.06689649e-01 
 7.97812500e-01 -2.43750000e-02 -3.74560497e-01  8.06689659e-01 
 7.98125000e-01 -2.37500000e-02 -3.64952917e-01  8.06689670e-01 
 7.98437500e-01 -2.31250000e-02 -3.55345500e-01  8.06689680e-01 
 7.98750000e-01 -2.25000000e-02 -3.45738248e-01  8.06689691e-01 
 7.99062500e-01 -2.18750000e-02 -3.36131163e-01  8.06689700e-01 
 7.99375000e-01 -2.12500000e-02 -3.26524246e-01  8.06689710e-01 
 7.99687500e-01 -2.06250000e-02 -3.16917499e-01  8.06689719e-01 
 8.00000000e-01 -2.00000000e-02 -3.07310925e-01  8.06689728e-01 
 8.00312500e-01 -1.93750000e-02 -2.97704523e-01  8.06689737e-01 
 8.00625000e-01 -1.87500000e-02 -2.88098297e-01  8.06689746e-01 
 8.00937500e-01 -1.81250000e-02 -2.78492247e-01  8.06689754e-01 
 8.01250000e-01 -1.75000000e-02 -2.68886376e-01  8.06689762e-01 
 8.01562500e-01 -1.68750000e-02 -2.59280685e-01  8.06689770e-01 
 8.01875000e-01 -1.62500000e-02 -2.49675175e-01  8.06689777e-01 
 8.02187500e-01 -1.56250000e-02 -2.40069847e-01  8.06689784e-01 
 8.02500000e-01 -1.50000000e-02 -2.30464705e-01  8.06689791e-01 
 8.02812500e-01 -1.43750000e-02 -2.20859747e-01  8.06689798e-01 
 8.03125000e-01 -1.37500000e-02 -2.11254977e-01  8.06689804e-01 
 8.03437500e-01 -1.31250000e-02 -2.01650396e-01  8.06689810e-01 
 8.03750000e-01 -1.25000000e-02 -1.92046004e-01  8.06689816e-01 
 8.04062500e-01 -1.18750000e-02 -1.82441804e-01  8.06689822e-01 
 8.04375000e-01 -1.12500000e-02 -1.72837797e-01  8.06689827e-01 
 8.04687500e-01 -1.06250000e-02 -1.63233983e-01  8.06689832e-01 
 8.05000000e-01 -1.00000000e-02 -1.53630364e-01  8.06689837e-01 
 8.05312500e-01 -9.37500000e-03 -1.44026942e-01  8.06689841e-01 
 8.05625000e-01 -8.75000000e-03 -1.34423718e-01  8.06689845e-01 
 8.05937500e-01 -8.12500000e-03 -1.24820693e-01  8.06689849e-01 
 8.06250000e-01 -7.50000000e-03 -1.15217869e-01  8.06689852e-01 
 8.06562500e-01 -6.87500000e-03 -1.05615246e-01  8.06689856e-01 
 8.06875000e-01 -6.25000000e-03 -9.60128255e-02  8.06689859e-01 
 8.07187500e-01 -5.62500000e-03 -8.64106094e-02  8.06689861e-01 
 8.07500000e-01 -5.00000000e-03 -7.68085985e-02  8.06689864e-01 
 8.07812500e-01 -4.37500000e-03 -6.72067940e-02  8.06689866e-01 
 8.08125000e-01 -3.75000000e-03 -5.76051973e-02  8.06689868e-01 
 8.08437500e-01 -3.12500000e-03 -4.80038095e-02  8.06689869e-01 
 8.08750000e-01 -2.50000000e-03 -3.84026317e-02  8.06689871e-01 
 8.09062500e-01 -1.87500000e-03 -2.88016653e-02  8.06689872e-01 
 8.09375000e-01 -1.25000000e-03 -1.92009112e-02  8.06689872e-01 
 8.09687500e-01 -6.25000000e-04 -9.60037078e-03  8.06689873e-01 
 8.10000000e-01  3.99680289e-15  4.02011757e-12  8.06689873e-01 
 8.10312500e-01  6.25000000e-04  9.60037078e-03  8.06689873e-01 
