 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  7.51485427e-06  2.35277021e-07 
 1.02329299e+00  7.43793437e-06  2.32868793e-07 
 1.04712855e+00  7.36181332e-06  2.30485575e-07 
 1.07151931e+00  7.28648271e-06  2.28127105e-07 
 1.09647820e+00  7.21193421e-06  2.25793121e-07 
 1.12201845e+00  7.13815958e-06  2.23483365e-07 
 1.14815362e+00  7.06515066e-06  2.21197583e-07 
 1.17489755e+00  6.99289939e-06  2.18935522e-07 
 1.20226443e+00  6.92139781e-06  2.16696931e-07 
 1.23026877e+00  6.85063800e-06  2.14481565e-07 
 1.25892541e+00  6.78061218e-06  2.12289178e-07 
 1.28824955e+00  6.71131260e-06  2.10119529e-07 
 1.31825674e+00  6.64273164e-06  2.07972378e-07 
 1.34896288e+00  6.57486172e-06  2.05847489e-07 
 1.38038426e+00  6.50769538e-06  2.03744627e-07 
 1.41253754e+00  6.44122521e-06  2.01663562e-07 
 1.44543977e+00  6.37544389e-06  1.99604063e-07 
 1.47910839e+00  6.31034418e-06  1.97565904e-07 
 1.51356125e+00  6.24591891e-06  1.95548861e-07 
 1.54881662e+00  6.18216100e-06  1.93552712e-07 
 1.58489319e+00  6.11906344e-06  1.91577237e-07 
 1.62181010e+00  6.05661928e-06  1.89622219e-07 
 1.65958691e+00  5.99482167e-06  1.87687443e-07 
 1.69824365e+00  5.93366381e-06  1.85772697e-07 
 1.73780083e+00  5.87313898e-06  1.83877770e-07 
 1.77827941e+00  5.81324054e-06  1.82002454e-07 
 1.81970086e+00  5.75396192e-06  1.80146543e-07 
 1.86208714e+00  5.69529661e-06  1.78309834e-07 
 1.90546072e+00  5.63723817e-06  1.76492126e-07 
 1.94984460e+00  5.57978023e-06  1.74693218e-07 
 1.99526231e+00  5.52291651e-06  1.72912913e-07 
 2.04173794e+00  5.46664075e-06  1.71151017e-07 
 2.08929613e+00  5.41094681e-06  1.69407337e-07 
 2.13796209e+00  5.35582858e-06  1.67681681e-07 
 2.18776162e+00  5.30128002e-06  1.65973860e-07 
 2.23872114e+00  5.24729517e-06  1.64283688e-07 
 2.29086765e+00  5.19386811e-06  1.62610980e-07 
 2.34422882e+00  5.14099301e-06  1.60955553e-07 
 2.39883292e+00  5.08866408e-06  1.59317225e-07 
 2.45470892e+00  5.03687560e-06  1.57695817e-07 
 2.51188643e+00  4.98562191e-06  1.56091154e-07 
 2.57039578e+00  4.93489742e-06  1.54503058e-07 
 2.63026799e+00  4.88469657e-06  1.52931357e-07 
 2.69153480e+00  4.83501390e-06  1.51375879e-07 
 2.75422870e+00  4.78584398e-06  1.49836454e-07 
 2.81838293e+00  4.73718145e-06  1.48312915e-07 
 2.88403150e+00  4.68902100e-06  1.46805095e-07 
 2.95120923e+00  4.64135737e-06  1.45312829e-07 
 3.01995172e+00  4.59418537e-06  1.43835956e-07 
 3.09029543e+00  4.54749986e-06  1.42374314e-07 
 3.16227766e+00  4.50129577e-06  1.40927744e-07 
 3.23593657e+00  4.45556804e-06  1.39496088e-07 
 3.31131121e+00  4.41031171e-06  1.38079192e-07 
