 time            d6              h6              c6              p6             
 0.00000000e+00 -3.61637015e-01 -4.77395901e-15  9.89537294e-01  1.20725520e-03 
 5.00000000e-11 -3.61637015e-01 -4.77395901e-15  9.89537294e-01  1.20725520e-03 
 1.00000000e-10 -3.61637015e-01 -4.77395901e-15  9.89537294e-01  1.20725520e-03 
 2.00000000e-10 -3.61637015e-01 -4.88498131e-15  9.89537294e-01  1.20725520e-03 
 4.00000000e-10 -3.61637015e-01 -5.21804822e-15  9.89537294e-01  1.20725520e-03 
 8.00000000e-10 -3.61637015e-01 -5.55111512e-15  9.89537294e-01  1.20725520e-03 
 1.60000000e-09 -3.61637015e-01 -5.77315973e-15  9.89537294e-01  1.20725520e-03 
 3.20000000e-09 -3.61637015e-01 -5.88418203e-15  9.89537294e-01  1.20725520e-03 
 6.40000000e-09 -3.61637015e-01 -5.88418203e-15  9.89537294e-01  1.20725520e-03 
 1.14000000e-08 -3.61637015e-01 -4.55191440e-15  9.89537294e-01  1.20725520e-03 
 1.64000000e-08 -3.61637015e-01 -2.66453526e-15  9.89537294e-01  1.20725520e-03 
 2.14000000e-08 -3.61637015e-01 -8.88178420e-16  9.89537294e-01  1.20725520e-03 
 2.64000000e-08 -3.61637015e-01  8.88178420e-16  9.89537294e-01  1.20725520e-03 
 3.14000000e-08 -3.61637015e-01  2.66453526e-15  9.89537294e-01  1.20725520e-03 
 3.64000000e-08 -3.61637015e-01  4.44089210e-15  9.89537294e-01  1.20725520e-03 
 4.14000000e-08 -3.61637015e-01  6.32827124e-15  9.89537294e-01  1.20725520e-03 
 4.64000000e-08 -3.61637015e-01  8.21565038e-15  9.89537294e-01  1.20725520e-03 
 5.14000000e-08 -3.61637015e-01  9.99200722e-15  9.89537294e-01  1.20725520e-03 
 5.64000000e-08 -3.61637015e-01  1.16573418e-14  9.89537294e-01  1.20725520e-03 
 6.14000000e-08 -3.61637015e-01  1.34336986e-14  9.89537294e-01  1.20725520e-03 
 6.64000000e-08 -3.61637015e-01  1.48769885e-14  9.89537294e-01  1.20725520e-03 
 7.14000000e-08 -3.61637015e-01  1.62092562e-14  9.89537294e-01  1.20725520e-03 
 7.64000000e-08 -3.61637015e-01  1.82076576e-14  9.89537294e-01  1.20725520e-03 
 8.14000000e-08 -3.61637015e-01  2.02060590e-14  9.89537294e-01  1.20725520e-03 
 8.64000000e-08 -3.61637015e-01  2.16493490e-14  9.89537294e-01  1.20725520e-03 
 9.14000000e-08 -3.61637015e-01  2.32036612e-14  9.89537294e-01  1.20725520e-03 
 9.64000000e-08 -3.61637015e-01  2.50910404e-14  9.89537294e-01  1.20725520e-03 
 1.01400000e-07 -3.61637015e-01  2.68673972e-14  9.89537294e-01  1.20725520e-03 
 1.06400000e-07 -3.61637015e-01  2.87547763e-14  9.89537294e-01  1.20725520e-03 
 1.11400000e-07 -3.61637015e-01  3.06421555e-14  9.89537294e-01  1.20725520e-03 
 1.16400000e-07 -3.61637015e-01  3.25295346e-14  9.89537294e-01  1.20725520e-03 
 1.21400000e-07 -3.61637015e-01  3.45279361e-14  9.89537294e-01  1.20725520e-03 
 1.26400000e-07 -3.61637015e-01  3.65263375e-14  9.89537294e-01  1.20725520e-03 
 1.31400000e-07 -3.61637015e-01  3.83026943e-14  9.89537294e-01  1.20725520e-03 
 1.36400000e-07 -3.61637015e-01  4.00790512e-14  9.89537294e-01  1.20725520e-03 
 1.41400000e-07 -3.61637015e-01  4.18554080e-14  9.89537294e-01  1.20725520e-03 
 1.46400000e-07 -3.61637015e-01  4.36317649e-14  9.89537294e-01  1.20725520e-03 
 1.51400000e-07 -3.61637015e-01  4.54081217e-14  9.89537294e-01  1.20725520e-03 
 1.56400000e-07 -3.61637015e-01  4.70734562e-14  9.89537294e-01  1.20725520e-03 
 1.61400000e-07 -3.61637015e-01  4.85167462e-14  9.89537294e-01  1.20725520e-03 
 1.66400000e-07 -3.61637015e-01  5.01820807e-14  9.89537294e-01  1.20725520e-03 
 1.71400000e-07 -3.61637015e-01  5.21804822e-14  9.89537294e-01  1.20725520e-03 
 1.76400000e-07 -3.61637015e-01  5.38458167e-14  9.89537294e-01  1.20725520e-03 
 1.81400000e-07 -3.61637015e-01  5.56221735e-14  9.89537294e-01  1.20725520e-03 
 1.86400000e-07 -3.61637015e-01  5.73985304e-14  9.89537294e-01  1.20725520e-03 
 1.91400000e-07 -3.61637015e-01  5.91748872e-14  9.89537294e-01  1.20725520e-03 
 1.96400000e-07 -3.61637015e-01  6.09512441e-14  9.89537294e-01  1.20725520e-03 
 2.01400000e-07 -3.61637015e-01  6.26165786e-14  9.89537294e-01  1.20725520e-03 
 2.06400000e-07 -3.61637015e-01  6.42819131e-14  9.89537294e-01  1.20725520e-03 
 2.11400000e-07 -3.61637015e-01  6.59472477e-14  9.89537294e-01  1.20725520e-03 
 2.16400000e-07 -3.61637015e-01  6.76125822e-14  9.89537294e-01  1.20725520e-03 
 2.21400000e-07 -3.61637015e-01  6.92779167e-14  9.89537294e-01  1.20725520e-03 
 2.26400000e-07 -3.61637015e-01  7.12763182e-14  9.89537294e-01  1.20725520e-03 
 2.31400000e-07 -3.61637015e-01  7.33857419e-14  9.89537294e-01  1.20725520e-03 
 2.36400000e-07 -3.61637015e-01  7.51620988e-14  9.89537294e-01  1.20725520e-03 
 2.41400000e-07 -3.61637015e-01  7.67164110e-14  9.89537294e-01  1.20725520e-03 
 2.46400000e-07 -3.61637015e-01  7.83817455e-14  9.89537294e-01  1.20725520e-03 
 2.51400000e-07 -3.61637015e-01  8.01581024e-14  9.89537294e-01  1.20725520e-03 
 2.56400000e-07 -3.61637015e-01  8.20454815e-14  9.89537294e-01  1.20725520e-03 
 2.61400000e-07 -3.61637015e-01  8.40438830e-14  9.89537294e-01  1.20725520e-03 
 2.66400000e-07 -3.61637015e-01  8.59312621e-14  9.89537294e-01  1.20725520e-03 
 2.71400000e-07 -3.61637015e-01  8.75965966e-14  9.89537294e-01  1.20725520e-03 
 2.76400000e-07 -3.61637015e-01  8.90398866e-14  9.89537294e-01  1.20725520e-03 
 2.81400000e-07 -3.61637015e-01  9.02611319e-14  9.89537294e-01  1.20725520e-03 
 2.86400000e-07 -3.61637015e-01  9.13713549e-14  9.89537294e-01  1.20725520e-03 
 2.91400000e-07 -3.61637015e-01  9.25926003e-14  9.89537294e-01  1.20725520e-03 
 2.96400000e-07 -3.61637015e-01  9.44799794e-14  9.89537294e-01  1.20725520e-03 
 3.01400000e-07 -3.61637015e-01  9.64783808e-14  9.89537294e-01  1.20725520e-03 
 3.06400000e-07 -3.61637015e-01  9.81437154e-14  9.89537294e-01  1.20725520e-03 
 3.11400000e-07 -3.61637015e-01  9.99200722e-14  9.89537294e-01  1.20725520e-03 
 3.16400000e-07 -3.61637015e-01  1.01585407e-13  9.89537294e-01  1.20725520e-03 
 3.21400000e-07 -3.61637015e-01  1.03250741e-13  9.89537294e-01  1.20725520e-03 
 3.26400000e-07 -3.61637015e-01  1.05027098e-13  9.89537294e-01  1.20725520e-03 
 3.31400000e-07 -3.61637015e-01  1.06581410e-13  9.89537294e-01  1.20725520e-03 
 3.36400000e-07 -3.61637015e-01  1.08246745e-13  9.89537294e-01  1.20725520e-03 
 3.41400000e-07 -3.61637015e-01  1.10023102e-13  9.89537294e-01  1.20725520e-03 
 3.46400000e-07 -3.61637015e-01  1.11577414e-13  9.89537294e-01  1.20725520e-03 
 3.51400000e-07 -3.61637015e-01  1.12909682e-13  9.89537294e-01  1.20725520e-03 
 3.56400000e-07 -3.61637015e-01  1.14241949e-13  9.89537294e-01  1.20725520e-03 
 3.61400000e-07 -3.61637015e-01  1.16129328e-13  9.89537294e-01  1.20725520e-03 
 3.66400000e-07 -3.61637015e-01  1.18016708e-13  9.89537294e-01  1.20725520e-03 
 3.71400000e-07 -3.61637015e-01  1.19348975e-13  9.89537294e-01  1.20725520e-03 
 3.76400000e-07 -3.61637015e-01  1.20681243e-13  9.89537294e-01  1.20725520e-03 
 3.81400000e-07 -3.61637015e-01  1.22346577e-13  9.89537294e-01  1.20725520e-03 
 3.86400000e-07 -3.61637015e-01  1.24011912e-13  9.89537294e-01  1.20725520e-03 
 3.91400000e-07 -3.61637015e-01  1.25677246e-13  9.89537294e-01  1.20725520e-03 
 3.96400000e-07 -3.61637015e-01  1.27564626e-13  9.89537294e-01  1.20725520e-03 
 4.01400000e-07 -3.61637015e-01  1.29452005e-13  9.89537294e-01  1.20725520e-03 
 4.06400000e-07 -3.61637015e-01  1.31117339e-13  9.89537294e-01  1.20725520e-03 
 4.11400000e-07 -3.61637015e-01  1.32560629e-13  9.89537294e-01  1.20725520e-03 
 4.16400000e-07 -3.61637015e-01  1.33781874e-13  9.89537294e-01  1.20725520e-03 
 4.21400000e-07 -3.61637015e-01  1.35114142e-13  9.89537294e-01  1.20725520e-03 
 4.26400000e-07 -3.61637015e-01  1.37112544e-13  9.89537294e-01  1.20725520e-03 
 4.31400000e-07 -3.61637015e-01  1.39332990e-13  9.89537294e-01  1.20725520e-03 
 4.36400000e-07 -3.61637015e-01  1.40887302e-13  9.89537294e-01  1.20725520e-03 
 4.41400000e-07 -3.61637015e-01  1.42441614e-13  9.89537294e-01  1.20725520e-03 
 4.46400000e-07 -3.61637015e-01  1.44217971e-13  9.89537294e-01  1.20725520e-03 
 4.51400000e-07 -3.61637015e-01  1.46105350e-13  9.89537294e-01  1.20725520e-03 
 4.56400000e-07 -3.61637015e-01  1.48103751e-13  9.89537294e-01  1.20725520e-03 
 4.61400000e-07 -3.61637015e-01  1.49658064e-13  9.89537294e-01  1.20725520e-03 
 4.66400000e-07 -3.61637015e-01  1.51323398e-13  9.89537294e-01  1.20725520e-03 
