 time            d8              h8              c8              p8             
 0.00000000e+00 -3.69918203e-01  1.98729921e-14  9.89581432e-01  1.24823698e-03 
 5.00000000e-11 -3.69918203e-01  1.99840144e-14  9.89581432e-01  1.24823698e-03 
 1.00000000e-10 -3.69918203e-01  2.02060590e-14  9.89581432e-01  1.24823698e-03 
 2.00000000e-10 -3.69918203e-01  2.05391260e-14  9.89581432e-01  1.24823698e-03 
 4.00000000e-10 -3.69918203e-01  2.08721929e-14  9.89581432e-01  1.24823698e-03 
 8.00000000e-10 -3.69918203e-01  2.09832152e-14  9.89581432e-01  1.24823698e-03 
 1.60000000e-09 -3.69918203e-01  2.07611706e-14  9.89581432e-01  1.24823698e-03 
 3.20000000e-09 -3.69918203e-01  2.08721929e-14  9.89581432e-01  1.24823698e-03 
 6.40000000e-09 -3.69918203e-01  2.12052598e-14  9.89581432e-01  1.24823698e-03 
 1.14000000e-08 -3.69918203e-01  2.05391260e-14  9.89581432e-01  1.24823698e-03 
 1.64000000e-08 -3.69918203e-01  1.89848137e-14  9.89581432e-01  1.24823698e-03 
 2.14000000e-08 -3.69918203e-01  1.78745907e-14  9.89581432e-01  1.24823698e-03 
 2.64000000e-08 -3.69918203e-01  1.69864123e-14  9.89581432e-01  1.24823698e-03 
 3.14000000e-08 -3.69918203e-01  1.57651669e-14  9.89581432e-01  1.24823698e-03 
 3.64000000e-08 -3.69918203e-01  1.44328993e-14  9.89581432e-01  1.24823698e-03 
 4.14000000e-08 -3.69918203e-01  1.34336986e-14  9.89581432e-01  1.24823698e-03 
 4.64000000e-08 -3.69918203e-01  1.25455202e-14  9.89581432e-01  1.24823698e-03 
 5.14000000e-08 -3.69918203e-01  1.17683641e-14  9.89581432e-01  1.24823698e-03 
 5.64000000e-08 -3.69918203e-01  1.11022302e-14  9.89581432e-01  1.24823698e-03 
 6.14000000e-08 -3.69918203e-01  1.02140518e-14  9.89581432e-01  1.24823698e-03 
 6.64000000e-08 -3.69918203e-01  9.21485110e-15  9.89581432e-01  1.24823698e-03 
 7.14000000e-08 -3.69918203e-01  8.21565038e-15  9.89581432e-01  1.24823698e-03 
 7.64000000e-08 -3.69918203e-01  7.32747196e-15  9.89581432e-01  1.24823698e-03 
 8.14000000e-08 -3.69918203e-01  6.43929354e-15  9.89581432e-01  1.24823698e-03 
 8.64000000e-08 -3.69918203e-01  5.55111512e-15  9.89581432e-01  1.24823698e-03 
 9.14000000e-08 -3.69918203e-01  4.77395901e-15  9.89581432e-01  1.24823698e-03 
 9.64000000e-08 -3.69918203e-01  3.88578059e-15  9.89581432e-01  1.24823698e-03 
 1.01400000e-07 -3.69918203e-01  2.88657986e-15  9.89581432e-01  1.24823698e-03 
 1.06400000e-07 -3.69918203e-01  1.88737914e-15  9.89581432e-01  1.24823698e-03 
 1.11400000e-07 -3.69918203e-01  1.22124533e-15  9.89581432e-01  1.24823698e-03 
 1.16400000e-07 -3.69918203e-01  5.55111512e-16  9.89581432e-01  1.24823698e-03 
 1.21400000e-07 -3.69918203e-01 -2.22044605e-16  9.89581432e-01  1.24823698e-03 
 1.26400000e-07 -3.69918203e-01 -9.99200722e-16  9.89581432e-01  1.24823698e-03 
 1.31400000e-07 -3.69918203e-01 -1.88737914e-15  9.89581432e-01  1.24823698e-03 
