 time            d1              h1              c1              p1             
 0.00000000e+00 -3.38608447e-01 -4.21884749e-15  8.08472291e-01  9.14973907e-04 
 5.00000000e-11 -3.38608447e-01 -4.21884749e-15  8.08472291e-01  9.14973907e-04 
 1.00000000e-10 -3.38608447e-01 -4.21884749e-15  8.08472291e-01  9.14973907e-04 
 2.00000000e-10 -3.38608447e-01 -4.10782519e-15  8.08472291e-01  9.14973907e-04 
 4.00000000e-10 -3.38608447e-01 -3.77475828e-15  8.08472291e-01  9.14973907e-04 
 8.00000000e-10 -3.38608447e-01 -3.55271368e-15  8.08472291e-01  9.14973907e-04 
 1.60000000e-09 -3.38608447e-01 -3.33066907e-15  8.08472291e-01  9.14973907e-04 
 3.20000000e-09 -3.38608447e-01 -2.66453526e-15  8.08472291e-01  9.14973907e-04 
 6.40000000e-09 -3.38608447e-01 -2.33146835e-15  8.08472291e-01  9.14973907e-04 
 1.14000000e-08 -3.38608447e-01 -2.44249065e-15  8.08472291e-01  9.14973907e-04 
 1.64000000e-08 -3.38608447e-01 -2.33146835e-15  8.08472291e-01  9.14973907e-04 
 2.14000000e-08 -3.38608447e-01 -2.10942375e-15  8.08472291e-01  9.14973907e-04 
 2.64000000e-08 -3.38608447e-01 -1.77635684e-15  8.08472291e-01  9.14973907e-04 
 3.14000000e-08 -3.38608447e-01 -1.44328993e-15  8.08472291e-01  9.14973907e-04 
 3.64000000e-08 -3.38608447e-01 -1.11022302e-15  8.08472291e-01  9.14973907e-04 
 4.14000000e-08 -3.38608447e-01 -7.77156117e-16  8.08472291e-01  9.14973907e-04 
 4.64000000e-08 -3.38608447e-01 -5.55111512e-16  8.08472291e-01  9.14973907e-04 
 5.14000000e-08 -3.38608447e-01 -4.44089210e-16  8.08472291e-01  9.14973907e-04 
 5.64000000e-08 -3.38608447e-01 -3.33066907e-16  8.08472291e-01  9.14973907e-04 
 6.14000000e-08 -3.38608447e-01 -4.44089210e-16  8.08472291e-01  9.14973907e-04 
 6.64000000e-08 -3.38608447e-01 -4.44089210e-16  8.08472291e-01  9.14973907e-04 
 7.14000000e-08 -3.38608447e-01 -3.33066907e-16  8.08472291e-01  9.14973907e-04 
 7.64000000e-08 -3.38608447e-01 -2.22044605e-16  8.08472291e-01  9.14973907e-04 
 8.14000000e-08 -3.38608447e-01  1.11022302e-16  8.08472291e-01  9.14973907e-04 
 8.64000000e-08 -3.38608447e-01  4.44089210e-16  8.08472291e-01  9.14973907e-04 
 9.14000000e-08 -3.38608447e-01  7.77156117e-16  8.08472291e-01  9.14973907e-04 
 9.64000000e-08 -3.38608447e-01  9.99200722e-16  8.08472291e-01  9.14973907e-04 
 1.01400000e-07 -3.38608447e-01  1.22124533e-15  8.08472291e-01  9.14973907e-04 
 1.06400000e-07 -3.38608447e-01  1.55431223e-15  8.08472291e-01  9.14973907e-04 
 1.11400000e-07 -3.38608447e-01  1.88737914e-15  8.08472291e-01  9.14973907e-04 
 1.16400000e-07 -3.38608447e-01  2.22044605e-15  8.08472291e-01  9.14973907e-04 
 1.21400000e-07 -3.38608447e-01  2.44249065e-15  8.08472291e-01  9.14973907e-04 
 1.26400000e-07 -3.38608447e-01  2.66453526e-15  8.08472291e-01  9.14973907e-04 
 1.31400000e-07 -3.38608447e-01  2.99760217e-15  8.08472291e-01  9.14973907e-04 
 1.36400000e-07 -3.38608447e-01  3.21964677e-15  8.08472291e-01  9.14973907e-04 
 1.41400000e-07 -3.38608447e-01  3.33066907e-15  8.08472291e-01  9.14973907e-04 
 1.46400000e-07 -3.38608447e-01  3.44169138e-15  8.08472291e-01  9.14973907e-04 
 1.51400000e-07 -3.38608447e-01  3.66373598e-15  8.08472291e-01  9.14973907e-04 
 1.56400000e-07 -3.38608447e-01  3.99680289e-15  8.08472291e-01  9.14973907e-04 
 1.61400000e-07 -3.38608447e-01  4.32986980e-15  8.08472291e-01  9.14973907e-04 
 1.66400000e-07 -3.38608447e-01  4.66293670e-15  8.08472291e-01  9.14973907e-04 
 1.71400000e-07 -3.38608447e-01  4.99600361e-15  8.08472291e-01  9.14973907e-04 
 1.76400000e-07 -3.38608447e-01  5.32907052e-15  8.08472291e-01  9.14973907e-04 
 1.81400000e-07 -3.38608447e-01  5.66213743e-15  8.08472291e-01  9.14973907e-04 
 1.86400000e-07 -3.38608447e-01  5.88418203e-15  8.08472291e-01  9.14973907e-04 
 1.91400000e-07 -3.38608447e-01  6.10622664e-15  8.08472291e-01  9.14973907e-04 
 1.96400000e-07 -3.38608447e-01  6.32827124e-15  8.08472291e-01  9.14973907e-04 
 2.01400000e-07 -3.38608447e-01  6.55031585e-15  8.08472291e-01  9.14973907e-04 
 2.06400000e-07 -3.38608447e-01  6.66133815e-15  8.08472291e-01  9.14973907e-04 
 2.11400000e-07 -3.38608447e-01  6.77236045e-15  8.08472291e-01  9.14973907e-04 
 2.16400000e-07 -3.38608447e-01  6.99440506e-15  8.08472291e-01  9.14973907e-04 
 2.21400000e-07 -3.38608447e-01  7.21644966e-15  8.08472291e-01  9.14973907e-04 
 2.26400000e-07 -3.38608447e-01  7.43849426e-15  8.08472291e-01  9.14973907e-04 
 2.31400000e-07 -3.38608447e-01  7.54951657e-15  8.08472291e-01  9.14973907e-04 
 2.36400000e-07 -3.38608447e-01  7.66053887e-15  8.08472291e-01  9.14973907e-04 
 2.41400000e-07 -3.38608447e-01  7.77156117e-15  8.08472291e-01  9.14973907e-04 
 2.46400000e-07 -3.38608447e-01  7.88258347e-15  8.08472291e-01  9.14973907e-04 
 2.51400000e-07 -3.38608447e-01  7.88258347e-15  8.08472291e-01  9.14973907e-04 
 2.56400000e-07 -3.38608447e-01  7.99360578e-15  8.08472291e-01  9.14973907e-04 
 2.61400000e-07 -3.38608447e-01  8.21565038e-15  8.08472291e-01  9.14973907e-04 
 2.66400000e-07 -3.38608447e-01  8.54871729e-15  8.08472291e-01  9.14973907e-04 
 2.71400000e-07 -3.38608447e-01  8.88178420e-15  8.08472291e-01  9.14973907e-04 
 2.76400000e-07 -3.38608447e-01  9.10382880e-15  8.08472291e-01  9.14973907e-04 
 2.81400000e-07 -3.38608447e-01  9.43689571e-15  8.08472291e-01  9.14973907e-04 
 2.86400000e-07 -3.38608447e-01  9.65894031e-15  8.08472291e-01  9.14973907e-04 
 2.91400000e-07 -3.38608447e-01  9.88098492e-15  8.08472291e-01  9.14973907e-04 
 2.96400000e-07 -3.38608447e-01  1.02140518e-14  8.08472291e-01  9.14973907e-04 
 3.01400000e-07 -3.38608447e-01  1.04360964e-14  8.08472291e-01  9.14973907e-04 
 3.06400000e-07 -3.38608447e-01  1.06581410e-14  8.08472291e-01  9.14973907e-04 
 3.11400000e-07 -3.38608447e-01  1.08801856e-14  8.08472291e-01  9.14973907e-04 
 3.16400000e-07 -3.38608447e-01  1.09912079e-14  8.08472291e-01  9.14973907e-04 
 3.21400000e-07 -3.38608447e-01  1.12132525e-14  8.08472291e-01  9.14973907e-04 
 3.26400000e-07 -3.38608447e-01  1.15463195e-14  8.08472291e-01  9.14973907e-04 
 3.31400000e-07 -3.38608447e-01  1.18793864e-14  8.08472291e-01  9.14973907e-04 
 3.36400000e-07 -3.38608447e-01  1.21014310e-14  8.08472291e-01  9.14973907e-04 
 3.41400000e-07 -3.38608447e-01  1.22124533e-14  8.08472291e-01  9.14973907e-04 
 3.46400000e-07 -3.38608447e-01  1.22124533e-14  8.08472291e-01  9.14973907e-04 
 3.51400000e-07 -3.38608447e-01  1.22124533e-14  8.08472291e-01  9.14973907e-04 
 3.56400000e-07 -3.38608447e-01  1.24344979e-14  8.08472291e-01  9.14973907e-04 
 3.61400000e-07 -3.38608447e-01  1.26565425e-14  8.08472291e-01  9.14973907e-04 
 3.66400000e-07 -3.38608447e-01  1.26565425e-14  8.08472291e-01  9.14973907e-04 
 3.71400000e-07 -3.38608447e-01  1.26565425e-14  8.08472291e-01  9.14973907e-04 
 3.76400000e-07 -3.38608447e-01  1.27675648e-14  8.08472291e-01  9.14973907e-04 
 3.81400000e-07 -3.38608447e-01  1.28785871e-14  8.08472291e-01  9.14973907e-04 
 3.86400000e-07 -3.38608447e-01  1.31006317e-14  8.08472291e-01  9.14973907e-04 
 3.91400000e-07 -3.38608447e-01  1.33226763e-14  8.08472291e-01  9.14973907e-04 
 3.96400000e-07 -3.38608447e-01  1.35447209e-14  8.08472291e-01  9.14973907e-04 
 4.01400000e-07 -3.38608447e-01  1.37667655e-14  8.08472291e-01  9.14973907e-04 
 4.06400000e-07 -3.38608447e-01  1.39888101e-14  8.08472291e-01  9.14973907e-04 
 4.11400000e-07 -3.38608447e-01  1.42108547e-14  8.08472291e-01  9.14973907e-04 
 4.16400000e-07 -3.38608447e-01  1.44328993e-14  8.08472291e-01  9.14973907e-04 
 4.21400000e-07 -3.38608447e-01  1.46549439e-14  8.08472291e-01  9.14973907e-04 
 4.26400000e-07 -3.38608447e-01  1.48769885e-14  8.08472291e-01  9.14973907e-04 
 4.31400000e-07 -3.38608447e-01  1.52100554e-14  8.08472291e-01  9.14973907e-04 
 4.36400000e-07 -3.38608447e-01  1.55431223e-14  8.08472291e-01  9.14973907e-04 
 4.41400000e-07 -3.38608447e-01  1.56541446e-14  8.08472291e-01  9.14973907e-04 
 4.46400000e-07 -3.38608447e-01  1.57651669e-14  8.08472291e-01  9.14973907e-04 
 4.51400000e-07 -3.38608447e-01  1.59872116e-14  8.08472291e-01  9.14973907e-04 
 4.56400000e-07 -3.38608447e-01  1.62092562e-14  8.08472291e-01  9.14973907e-04 
